Organisation Name,Organisation Code,Payment Date,Invoice Amount Paid,Supplier or Party Name,Directorate,Service Area,Subjective Code Description,BVACOP class
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,04/02/2025,2750,Mentimeter AB,Corporate Director People,SEND Inclusion,Education Fees,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,11/02/2025,386.56,SpeedAdmin ApS,Corporate Director People,Schools Traded Services,ICT Support,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,17/02/2025,33916.4,White Horse Education Partnership,Corporate Director Resources,PFI,PFI PPP  Service Contracts,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,17/02/2025,5204.99,White Horse Education Partnership,Corporate Director Resources,PFI,PFI PPP  Service Contracts,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,17/02/2025,9509.1,White Horse Education Partnership,Corporate Director Resources,PFI,PFI PPP  Service Contracts,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,17/02/2025,7430.66,White Horse Education Partnership,Corporate Director Resources,PFI,PFI PPP  Service Contracts,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,17/02/2025,650934.34,White Horse Education Partnership,Corporate Director Resources,PFI,PFI PPP  Service Contracts,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,17/02/2025,22023.17,White Horse Education Partnership,Corporate Director Resources,PFI,PFI PPP  Service Contracts,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,19/02/2025,10000,Via Technologies Europe Ltd,Corporate Director Place,Group Manager Passenger Transport,Transport Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,19/02/2025,160200,REDACTED - PERSONAL DATA,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,20/02/2025,307,A Plan Holdings,Corporate Director People,18+ Care,Adult Residential Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,21/02/2025,2722.44,REDACTED - PERSONAL DATA,Corporate Director People,Placements,Fostering Fees,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,25/02/2025,39000,Awdry Law,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,26/02/2025,7428.57,REDACTED - PERSONAL DATA,Corporate Director People,18+ Care,Shared Lives,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,27/02/2025,227515,Batt BroadBent,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,28/02/2025,153800,Parker Bullen General Client ac,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,28/02/2025,25000,Barker Son & Isherwood LLP,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,28/02/2025,230017.79,Atwells Solicitors,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,28/02/2025,200000,Aviva Insurance Ltd,Corporate,Corporate Costs,Legal Fees Other,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,14/02/2025,670,REDACTED - PERSONAL DATA,Corporate Director Place,Local Highways & Streetscene,Highways Planned Maintenance,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,14/02/2025,402.47,REDACTED - PERSONAL DATA,Corporate Director People,LDAS and Moving On Service,Volunteer Expenses,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,14/02/2025,364.08,REDACTED - PERSONAL DATA,Corporate Director People,LDAS and Moving On Service,Volunteer Expenses,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,14/02/2025,300,REDACTED - PERSONAL DATA,Corporate Director People,Migration & Resettlement,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,14/02/2025,300,REDACTED - PERSONAL DATA,Corporate Director People,Migration & Resettlement,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,14/02/2025,300,REDACTED - PERSONAL DATA,Corporate Director People,Migration & Resettlement,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,28/02/2025,420,REDACTED - PERSONAL DATA,Corporate Director Place,Local Highways & Streetscene,Highways Planned Maintenance,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,28/02/2025,432.33,Seend Shuttle,Corporate Director Place,Policy Development,Transport Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,28/02/2025,317.97,REDACTED - PERSONAL DATA,Corporate Director People,18+ Care,Direct Payments,Capital charges and Expenditure
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,2590.3,Chelsea & Westminster Hospital,Corporate Director People,Risky Behaviour B,Public Health Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,419.12,Wessex Electricals (Shaftesbury) Ltd,HRA,HRA Repairs & Maintenance,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,273.77,Wessex Electricals (Shaftesbury) Ltd,HRA,HRA Repairs & Maintenance,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,555.98,Wessex Electricals (Shaftesbury) Ltd,HRA,HRA Repairs & Maintenance,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,322.78,Wessex Electricals (Shaftesbury) Ltd,HRA,HRA Repairs & Maintenance,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,253.13,Wessex Electricals (Shaftesbury) Ltd,HRA,HRA Repairs & Maintenance,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,419.12,Wessex Electricals (Shaftesbury) Ltd,HRA,HRA Repairs & Maintenance,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3180.6,Clearstone Solutions Ltd,HRA,HRA Supervision & Management Special,Cleaning,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,5955.21,REDACTED - PERSONAL DATA,Corporate Director People,SEND Placements,Childrens Residential Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,856.97,Blast Event Hire,Corporate Director Resources,HR Management,Promotions/Marketing Expenses,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3000,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3000,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,1850,Bentley Mobility Services Ltd,Not Reported to Cabinet,Capital Project Codes,Other Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,8218.8,Usherline Limited,Corporate Director Resources,Information Services,ICT Support,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,2008,Paypoint,Corporate Director Resources,Social Fund,Other Grants,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,4280.08,Abicare Services Ltd Homecare,Corporate Director People,Mental Health Older People,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,4600.96,Abicare Services Ltd Homecare,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,5600,Abicare Services Ltd Homecare,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,4280.08,Abicare Services Ltd Homecare,Corporate Director People,Mental Health Older People,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,4280.08,Abicare Services Ltd Homecare,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3764.33,National Fostering Agency,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3788.82,National Fostering Agency,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,2370.56,National Fostering Agency,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3764.33,National Fostering Agency,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3587.01,National Fostering Agency,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,6421.34,National Fostering Agency,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,6166.52,National Fostering Agency,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,431.93,REDACTED - PERSONAL DATA,Corporate Director Place,leisure Culture and Communities Developm,Professional Fees,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,322,Larkrise Community Farm,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,1748,Larkrise Community Farm,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,644,Larkrise Community Farm,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,432,Larkrise Community Farm,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,276,Larkrise Community Farm,Corporate Director People,LDAS and Moving On Service,AdDayCare-SpotCont,Income
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,6326,Liftability Ltd - DFG Only,Not Reported to Cabinet,Capital Project Codes,Other Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,505.31,Lyreco UK Ltd,Corporate Director Place,Leisure Centres,Chemicals,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,2515.92,Glasdon Uk Ltd,Not Reported to Cabinet,Capital Project Codes,Equipment and Furniture,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,2408.7,Park Healthcare Ltd,Corporate Director People,18+ Care,Adult Nursing Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,680941.01,Hills Waste Solutions Limited,Corporate Director Place,Waste Services,Waste Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,21175.1,Hills Waste Solutions Limited,Corporate Director Place,Waste Services,Waste Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,89211.07,Hills Waste Solutions Limited,Corporate Director Place,Waste Services,Waste Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,947796.84,Hills Waste Solutions Limited,Corporate Director Place,Waste Services,Waste Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,153776.56,Hills Waste Solutions Limited,Corporate Director Place,Waste Services,Waste Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,18293.41,Hills Waste Solutions Limited,Corporate Director Place,Waste Services,Waste Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,111166.67,Salisbury NHS Foundation Trust,Corporate Director People,Risky Behaviour B,Public Health Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,6448.55,Initial Washroom Solutions,Corporate Director Resources,Operational Portfolio (FM),Cleaning,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,10000,JCR Construction,Not Reported to Cabinet,Capital Project Codes,Other Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,24991.64,Cedar Care Homes Ltd,Corporate Director People,Adults Loans,Adult Residential Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,130995.48,Sunfield Children's Home,Corporate Director People,SEND Placements,Childrens Residential Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,55835.6,Sunfield Children's Home,Corporate Director People,SEND Placements,Childrens Residential Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,132225.2,Sunfield Children's Home,Corporate Director People,SEND Placements,Childrens Residential Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,24440.71,Phoenix Child Care Ltd,Corporate Director People,Placements,Childrens Residential Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,365,Central & North West London NHS FT,Corporate Director People,Risky Behaviour B,Public Health Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,359.79,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3944.11,Askews & Holts Library Services Ltd,Corporate Director Place,Libraries,Books Newspapers and Periodicals ,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,1013.51,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,1100,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,1900,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,463.05,Nurture Pest Control (Rokill),Not Reported to Cabinet,Capital Project Codes,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,378,Nurture Pest Control (Rokill),Not Reported to Cabinet,Capital Project Codes,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,300,Chalke Valley Roofing,HRA,HRA Repairs & Maintenance,Property Maintenance,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,1870,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3230,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,2885.74,Abicare Services Ltd Homecare,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3510.92,Abicare Services Ltd Homecare,Corporate Director People,Mental Health Older People,3rd Party Payments,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,6421.34,Fostering Solutions Ltd_110059,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3486.42,Fostering Solutions Ltd_110059,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,4152.14,Fostering Solutions Ltd_110059,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,810.81,REDACTED - PERSONAL DATA,Corporate Director People,Funding Schools,Supply Teacher Ins,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,270,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,315,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,315,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,AdDayCare-SpotCont,Income
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,315,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,450,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,360,Alabare Christian Care Centre,Corporate Director People,Mental Health Adults of Working Age,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,315,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,450,Alabare Christian Care Centre,Corporate Director People,Mental Health Adults of Working Age,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,315,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,270,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,630,Alabare Christian Care Centre,Corporate Director People,18+ Care,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,315,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,315,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,315,Alabare Christian Care Centre,Corporate Director People,LDAS and Moving On Service,Adult Day Care,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,342,RTPI London Centre,Corporate Director Place,Spatial Planning,Staff Training - Gen,Employee Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,537.5,REDACTED - PERSONAL DATA,Corporate Director People,Support & Safeguarding,Other Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,3649.32,REDACTED - PERSONAL DATA,Corporate Director People,Placements,External Fostering,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,16925,Great Western Hospitals NHS Trust,Corporate Director People,Risky Behaviour B,Public Health Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,347.94,Eastern Shire Purchasing Organisation,Corporate Director Resources,Operational Portfolio (FM),Cleaning,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,7599,Les Mills Fitness UK Ltd,Corporate Director Place,Leisure Centres,Licences and Permits,Supplies and Services
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,17528.4,idverde,HRA,HRA Supervision & Management Special,Cleaning,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/02/2025,2974.97,C.A.P. Security,Not Reported to Cabinet,Capital Project Codes,Other Contracts,Third Party Payments
