Organisation Name,Organisation Code,Payment Date,Invoice Amount Paid,Supplier or Party Name,Directorate,Service Area,Subjective Code Description,BVACOP class
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,03/03/2025,180000,Sampson Coward Solicitors,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,04/03/2025,351000,Awdry Law,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,05/03/2025,48706.5,Goughs Solicitors,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,10/03/2025,355000,Goughs Solicitors,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,11/03/2025,2805.45,Via Technologies Europe Ltd,Corporate Director Place,Group Manager Passenger Transport,Transport Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,17/03/2025,24990,Via Technologies Europe Ltd,Corporate Director Place,Bus Network Manager,Transport Contracts,Third Party Payments
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03/2025,1500,Woolley and Wallis,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03/2025,2400,Myddelton and Major,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03/2025,15000,Sampson Coward Solicitors,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03/2025,3101.76,Sampson Coward Solicitors,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03/2025,2381,Plainlaw Solicitors,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03/2025,15000,Plainlaw Solicitors,Not Reported to Cabinet,Capital Project Codes,Land & Building Acquisition,Premises Related
