Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
CORP,LIQU02,Liquidlogic Ltd,10921642,176843.31,2024-07-17 00:00:00,Supplies,Software Maintenance
CORP,10001542,YourNRG Ltd,10918801,11097,2024-06-14 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,10001542,YourNRG Ltd,10918814,3329.1,2024-06-14 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,10001542,YourNRG Ltd,10920102,1650,2024-06-20 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,10001542,YourNRG Ltd,10920996,33995.93,2024-07-03 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,10001542,YourNRG Ltd,10921037,4534,2024-07-04 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,DENN02,Dennis Eagle Ltd,10919157,935.4,2024-06-21 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,DENN02,Dennis Eagle Ltd,10920188,1557.95,2024-07-02 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,DENN02,Dennis Eagle Ltd,10921216,448.35,2024-07-10 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,DENN02,Dennis Eagle Ltd,10921659,1223.71,2024-07-16 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,TAYL12,Taylor Engineering and Fabrications Ltd,10919345,495,2024-06-26 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,TAYL12,Taylor Engineering and Fabrications Ltd,10920069,790.43,2024-07-02 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,ZIEB01,Ziebe Ltd,10921225,1091.4,2024-07-10 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,DAIS06,Daisy Corporate Services Trading Limited,10920923,1721.28,2024-07-01 00:00:00,Supplies,"Telephone, Mobiles and Broadband Costs"
CORP,10001370,Comensura Ltd,10919336,330711.54,2024-06-26 00:00:00,Employees,Agency Salaries
CORP,10001370,Comensura Ltd,10920288,317852.11,2024-07-03 00:00:00,Employees,Agency Salaries
CORP,10001370,Comensura Ltd,10920926,306712.2,2024-07-10 00:00:00,Employees,Agency Salaries
CORP,10001370,Comensura Ltd,10921579,348423.04,2024-07-17 00:00:00,Employees,Agency Salaries
CORP,10001370,Comensura Ltd,10922339,309463.89,2024-07-24 00:00:00,Employees,Agency Salaries
CORP,GIBB01,Gibbs & Dandy Plc,10919208,29890.45,2024-06-23 00:00:00,Balance Sheet,Travis Perkins Contra
CORP,GIBB01,Gibbs & Dandy Plc,10919825,30230.9,2024-06-30 00:00:00,Balance Sheet,Travis Perkins Contra
CORP,GIBB01,Gibbs & Dandy Plc,10920678,7182.75,2024-07-07 00:00:00,Balance Sheet,Travis Perkins Contra
CORP,GIBB01,Gibbs & Dandy Plc,10920823,-256,2024-07-08 00:00:00,Balance Sheet,Travis Perkins Contra
CORP,GIBB01,Gibbs & Dandy Plc,10921354,22814.47,2024-07-14 00:00:00,Balance Sheet,Travis Perkins Contra
CORP,GIBB01,Gibbs & Dandy Plc,10922108,9994.87,2024-07-21 00:00:00,Balance Sheet,Travis Perkins Contra
CORP,GIBB01,Gibbs & Dandy Plc,10922847,31041.14,2024-07-28 00:00:00,Balance Sheet,Travis Perkins Contra
CORP,C99999, ,10921793,1395.61,2024-07-19 00:00:00,Supplies,Project Costs
CORP,C99999, ,10920816,300,2024-07-09 00:00:00,Supplies,Project Costs
CORP,C99999,All Saints Church,10921276,1500,2024-07-15 00:00:00,Contractual costs,Member Ward Fund Payment
CHILDRENS,C99999,BRI UK Limited LAR Record - E - Spired CIC,10920909,17666,2024-07-10 00:00:00,Supplies,Professional Fees
CAPITAL,C99999,Great Barford Village Hall,10923024,7250,2024-07-31 00:00:00,Capital,Grants & Contributions to 3rd Parties
CORP,C99999,Harrold and Odell Country Park,10921277,500,2024-07-15 00:00:00,Contractual costs,Member Ward Fund Payment
CHILDRENS,C99999,Holistic Thinking Holidays Limited,10920368,315,2024-07-04 00:00:00,Contractual costs,Family Assistance
ENVIRON,C99999,J W Clark Limited,10921873,700,2024-07-19 00:00:00,Balance Sheet,Highways Bonds
CHILDRENS,C99999, ,10921930,291.2,2024-07-22 00:00:00,Contractual costs,Transport & Meals (Social Services Care)
CHILDRENS,C99999, ,10922667,291.2,2024-07-29 00:00:00,Contractual costs,Transport & Meals (Social Services Care)
CORP,C99999,Jayne Beard Associates,10922655,1830,2024-07-26 00:00:00,Contractual costs,Accommodation
ENVIRON,C99999, ,10921448,261.5,2024-07-17 00:00:00,Customer & Client Receipts,Fee Income
CORP,C99999, ,10920821,270,2024-07-10 00:00:00,Supplies,Project Costs
CORP,C99999, ,10922166,2195.93,2024-07-23 00:00:00,Supplies,Project Costs
CORP,C99999, ,10920246,1442.94,2024-07-04 00:00:00,Contractual costs,Accommodation
CORP,C99999, ,10920405,1575,2024-07-05 00:00:00,Contractual costs,Accommodation
CORP,C99999, ,10921076,446.19,2024-07-11 00:00:00,Contractual costs,Accommodation
CORP,C99999, ,10922165,464.62,2024-07-23 00:00:00,Supplies,Project Costs
CAPITAL,C99999,MY FOOT MEDIC LIMITED,10923023,19887.84,2024-07-31 00:00:00,Capital,Grants & Contributions to 3rd Parties
CORP,C99999, ,10920247,250,2024-07-04 00:00:00,Supplies,Project Costs
CORP,C99999, ,10920050,300,2024-07-03 00:00:00,Contractual costs,Accommodation
CHILDRENS,C99999, ,10920905,519.48,2024-07-10 00:00:00,Contractual costs,Family Assistance
CORP,C99999, ,10921929,300,2024-07-22 00:00:00,Contractual costs,Accommodation
CORP,C99999,Stagsden Parish Council,10921447,8250,2024-07-16 00:00:00,Supplies,Payment of Grant
CHILDRENS,C99999,The Share Foundation,10920056,1229,2024-07-02 00:00:00,Contractual costs,Family Assistance
PUBHEALTH,10000008,Whaddon Medical Centre,10921206,1060,2024-07-11 00:00:00,Contractual costs,Contract Payments - Private Contractors
PUBHEALTH,10000009,Wolverton Health Centre,10922808,950,2024-07-26 00:00:00,Contractual costs,Contract Payments - Private Contractors
PUBHEALTH,10000013,The Stonedean Practice,10919740,540,2024-06-28 00:00:00,Contractual costs,Contract Payments - Private Contractors
PUBHEALTH,10000015,Fishermead Medical Centre,10919917,560,2024-07-01 00:00:00,Contractual costs,Contract Payments - Private Contractors
PUBHEALTH,10000018,Red House Surgery,10920483,750,2024-07-04 00:00:00,Contractual costs,Contract Payments - Private Contractors
PUBHEALTH,10000019,Bedford Street & Furzton Medical Centre,10920156,1465,2024-07-02 00:00:00,Contractual costs,Contract Payments - Private Contractors
PUBHEALTH,10000022,MoreLife (UK) Ltd,10920129,105305.63,2024-07-01 00:00:00,Contractual costs,Contract Payments - Private Contractors
