Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10943170,300,2025-02-28 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10943778,300,2025-03-04 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10945851,300,2025-03-24 00:00:00,Supplies,Professional Fees
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20743990,4796,2025-03-03 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000365,Barbara Grell Consultancy Ltd,10942974,600,2025-02-26 00:00:00,Supplies,Professional Fees
ADULTS,10000365,Barbara Grell Consultancy Ltd,10944951,300,2025-03-16 00:00:00,Supplies,Professional Fees
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20743224,2315,2025-03-03 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20743225,-1488.22,2025-03-03 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20743226,-2315,2025-03-03 00:00:00,Contractual costs,Supported Living Packages
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20745105,428.88,2025-03-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20745107,4326,2025-03-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20745108,934.08,2025-03-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20745109,1701.28,2025-03-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20745110,383.6,2025-03-10 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20745111,1680,2025-03-10 00:00:00,Contractual costs,Home Care
