Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
CORP,10001542,YourNRG Ltd,10916181,1500,2024-05-16 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,10001542,YourNRG Ltd,10916874,33301.11,2024-05-29 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,10001542,YourNRG Ltd,10917758,3886.11,2024-05-28 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,10001542,YourNRG Ltd,10918013,3313.56,2024-06-07 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,10001542,YourNRG Ltd,10918272,21774.91,2024-06-10 00:00:00,Transport Related Expenditure,Fuel Issues - Stores
CORP,DENN02,Dennis Eagle Ltd,10916585,969.31,2024-05-29 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,SPAL01,Spaldings (UK) Limited,10916376,358.08,2024-05-24 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,SPAL01,Spaldings (UK) Limited,10916823,424.49,2024-05-30 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,SPAL01,Spaldings (UK) Limited,10917810,424.8,2024-06-07 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,SPAL01,Spaldings (UK) Limited,10918364,2054.75,2024-06-13 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,TAYL12,Taylor Engineering and Fabrications Ltd,10917359,412.28,2024-06-05 00:00:00,Transport Related Expenditure,Vehicle Costs
CORP,DAIS06,Daisy Corporate Services Trading Limited,10918002,1728.87,2024-06-01 00:00:00,Supplies,"Telephone, Mobiles and Broadband Costs"
CORP,10001370,Comensura Ltd,10916340,313646.06,2024-05-29 00:00:00,Employees,Agency Salaries
CORP,10001370,Comensura Ltd,10917381,322467.11,2024-06-05 00:00:00,Employees,Agency Salaries
CORP,10001370,Comensura Ltd,10917983,369003.52,2024-06-12 00:00:00,Employees,Agency Salaries
CORP,10001370,Comensura Ltd,10918696,327160.19,2024-06-19 00:00:00,Employees,Agency Salaries
CORP,GIBB01,Gibbs & Dandy Plc,10916944,10953.26,2024-06-02 00:00:00,Balance Sheet,Travis Perkins Contra
