Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
ADULTS,10000063,Orchard Lodge Care Home,20718017,3600,2024-11-12 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10932379,600,2024-11-04 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10932566,300,2024-11-05 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10934004,600,2024-11-20 00:00:00,Supplies,Professional Fees
ADULTS,10000286,Helen McKeown T/A HPM Social Care Consultancy LTD,10934430,600,2024-11-26 00:00:00,Supplies,Professional Fees
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20718074,4796,2024-11-12 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20718075,4796,2024-11-12 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20718076,-4796,2024-11-12 00:00:00,Contractual costs,Nursing Home Payments
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20718077,-4796,2024-11-12 00:00:00,Contractual costs,Nursing Home Payments
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20718078,-4796,2024-11-12 00:00:00,Contractual costs,Nursing Home Payments
ADULTS,10000322,Bondcare (London) Ltd Moorlands Main,20718079,4796,2024-11-12 00:00:00,Contractual costs,Residential Care Home Placements
ADULTS,10000365,Barbara Grell Consultancy Ltd,10932309,700,2024-11-03 00:00:00,Supplies,Professional Fees
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717088,428.88,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717090,4326,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717091,1767.69,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717092,1317.68,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717093,383.6,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717094,1701.28,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717095,2194.08,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717096,4975.88,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717097,550.48,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717098,1291.22,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717099,4309.52,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000489,Lightbulb Bespoke Care Ltd,20717100,4975.88,2024-11-11 00:00:00,Contractual costs,Home Care
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10931817,300,2024-10-29 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10931819,300,2024-10-29 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10932359,300,2024-11-04 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10932403,300,2024-11-04 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10933158,300,2024-11-11 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10933162,300,2024-11-11 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10934242,300,2024-11-23 00:00:00,Supplies,Professional Fees
ADULTS,10000499,Ann Maria Corrigan T/A Social Care Limited,10934390,300,2024-11-23 00:00:00,Supplies,Professional Fees
ADULTS,10000517,Line of Sight Care Limited,20717300,724.08,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20717301,815.64,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20717323,1501.92,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20717324,2014.48,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20717325,810.56,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20717326,1501.92,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20717327,667.52,2024-11-06 00:00:00,Contractual costs,Home Care
ADULTS,10000517,Line of Sight Care Limited,20717328,1335.04,2024-11-06 00:00:00,Contractual costs,Home Care
