Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
CORP,FACE04,FACES Bedford,10941548,500,2025-02-11 00:00:00,Contractual costs,Member Ward Fund Payment
CORP,FACE04,FACES Bedford,10941548,500,2025-02-11 00:00:00,Contractual costs,Member Ward Fund Payment
CORP,FELM02,Felmersham Parish Council,10942720,599,2025-02-25 00:00:00,Contractual costs,Member Ward Fund Payment
CORP,FIRE02,Fire Risk Consultancy,10940587,550,2025-01-31 00:00:00,Employees,Training
CORP,FREE08,Freeths LLP,10940846,956,2024-12-31 00:00:00,Supplies,Consultants Fees
CORP,FREE08,Freeths LLP,10940860,956,2024-12-31 00:00:00,Supplies,Consultants Fees
CORP,FREE08,Freeths LLP,10941615,2044.8,2024-08-30 00:00:00,Supplies,Consultants Fees
CORP,FREE08,Freeths LLP,10941743,781.6,2025-02-11 00:00:00,Supplies,Consultants Fees
CORP,FREE08,Freeths LLP,10942888,500,2025-01-30 00:00:00,Supplies,Consultants Fees
CORP,FREE08,Freeths LLP,10942915,890,2025-01-30 00:00:00,Supplies,Consultants Fees
CORP,GAMM03,Gamma Telecom Ltd,10942009,2481,2025-02-10 00:00:00,Supplies,Telephone Call Charges
CORP,GRAN02,Grant Palmer Ltd,10940849,27809.8,2025-01-31 00:00:00,Supplies,Contribution to Scheme
CORP,HUNT09,Huntersjoy Ltd,10940675,780,2025-02-03 00:00:00,Employees,Training
CORP,ICPH01,ICPhygiene,10941827,1927.53,2025-02-06 00:00:00,Supplies,Fees Paid
CORP,ICPH01,ICPhygiene,10942368,399,2025-02-19 00:00:00,Supplies,Fees Paid
CORP,INIT13,Initial Washroom Solutions,10941585,624.78,2025-02-10 00:00:00,Supplies,Project Costs
CORP,INNS99,Innsite UK Ltd,10942155,8132,2025-02-17 00:00:00,Premises,Maintenance of Buildings
CORP,IVAN01,Ivanti UK Limited,10941389,2927.87,2025-02-03 00:00:00,Supplies,Software Maintenance
CORP,JFLI99,J Flint (Electrical Contractors) Lt,10940960,315,2025-02-03 00:00:00,Premises,Maintenance of Buildings
CORP,JFLI99,J Flint (Electrical Contractors) Lt,10940967,480,2025-02-03 00:00:00,Premises,Maintenance of Buildings
CORP,JFLI99,J Flint (Electrical Contractors) Lt,10941063,3277,2025-02-03 00:00:00,Premises,Maintenance of Buildings
CORP,KING91,Kings Arms Project,10941267,33974,2025-02-01 00:00:00,Contractual costs,Contract Payments - Private Contractors
CORP,KING91,Kings Arms Project,10941268,285,2024-11-11 00:00:00,Contractual costs,Contract Payments - Private Contractors
CORP,KING91,Kings Arms Project,10941271,5344,2025-02-06 00:00:00,Contractual costs,Contract Payments - Private Contractors
CORP,LGSS01,Pathfinder Legal Servcies Ltd,10942651,1800.9,2025-02-21 00:00:00,Supplies,Professional Fees
CORP,LGSS01,Pathfinder Legal Servcies Ltd,10942673,753.1,2025-02-21 00:00:00,Supplies,Professional Fees
CORP,LOCA21,Local Government Association,10941763,297,2025-02-12 00:00:00,Employees,Training
CORP,LONG02,Long Marsh Ltd,10940672,680,2025-01-31 00:00:00,Supplies,Miscellaneous Expenditure
CORP,METR01,Metrosigns 2000 Limited,10941849,498.6,2025-02-13 00:00:00,Supplies,External Printing
CORP,NATW02,Nat West One Card Bank (DD),30288898,258.62,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,333.71,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,322.86,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,634.12,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,511.98,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,545.88,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,778.07,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,458.08,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,259.81,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,417.16,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,381.94,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,322.72,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,437.47,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,278.09,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,501.17,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,342.66,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,334.59,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,555.12,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,399.35,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,603.57,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,322.86,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,634.12,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,347.63,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,260.13,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,268.98,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,388.48,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,376.05,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,255.79,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,260.13,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,462.97,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,553.48,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,292.76,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,328.81,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,252.08,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,312,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,601.4,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,506.43,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,372.01,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,530.28,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,261.17,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,372.01,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,555.12,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,-1816,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,554.45,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,312.74,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,264.93,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,462.97,2025-02-20 00:00:00,Contractual costs,Accommodation
CORP,NATW02,Nat West One Card Bank (DD),30288898,392.85,2025-02-20 00:00:00,Contractual costs,Accommodation
