Service_Label,Service_Code,Service_Division_Label,Service_Division_Code,Organisational_Unit_Label,Organisational_Unit_Code,Merchant_Category,Summary_of_the_purpose_of_the_expenditure,Date,Transaction_Number,Capital_and_Revenue,Supplier_Name,Supplier_ID,Net_Amount
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Care Market Oversight,COMCM,Direct Payment Support Service,AQ0210,Services,Purchased Services,25/09/2024,3703896,Revenue - General Fund,People Places Lives Limited (Public Consulting Group),37942,17931.62
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,01/08/2024,3694245,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,8295
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,05/07/2024,3684733,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,2551.21
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,15/07/2024,3691411,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,8015.9
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,15/07/2024,3691430,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,216824.99
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,19/09/2024,3698067,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,192571.73
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,19/09/2024,3703673,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,3254.25
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,23/09/2024,3701605,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,-4356.55
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,26/07/2024,3693888,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,-216824.99
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,28/08/2024,3698723,Revenue - General Fund,DM Orthotics Ltd,14545,654.09
