Service_Label,Service_Code,Service_Division_Label,Service_Division_Code,Organisational_Unit_Label,Organisational_Unit_Code,Merchant_Category,Summary_of_the_purpose_of_the_expenditure,Date,Transaction_Number,Capital_and_Revenue,Supplier_Name,Supplier_ID,Net_Amount
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Care Market Oversight,COMCM,Direct Payment Support Service,AQ0210,Services,Purchased Services,11/02/2025,3730782,Revenue - General Fund,People Places Lives Limited (Public Consulting Group),37942,752.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,12/03/2025,3741921,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,1443.49
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,13/03/2025,3741924,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,1188.04
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,14/02/2025,3735654,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,3693.84
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,14/03/2025,3741920,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,181411.54
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,17/01/2025,3728313,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,13227.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,17/01/2025,3728320,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,194946.65
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,17/01/2025,3728322,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,16185
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,21/02/2025,3736650,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,3229.1
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,27/03/2025,3743646,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,-181411.54
