Service_Label,Service_Code,Service_Division_Label,Service_Division_Code,Organisational_Unit_Label,Organisational_Unit_Code,Merchant_Category,Summary_of_the_purpose_of_the_expenditure,Date,Transaction_Number,Capital_and_Revenue,Supplier_Name,Supplier_ID,Net_Amount
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Care Market Oversight,COMCM,Direct Payment Support Service,AQ0210,Services,Purchased Services,13/06/2024,3682719,Revenue - General Fund,Aster Group T/A Enham Trust,19623,-5545.28
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Care Market Oversight,COMCM,Direct Payment Support Service,AQ0210,Services,Purchased Services,15/04/2024,3663061,Revenue - General Fund,Aster Group T/A Enham Trust,19623,8143.25
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Care Market Oversight,COMCM,Direct Payment Support Service,AQ0210,Services,Purchased Services,15/04/2024,3669586,Revenue - General Fund,Aster Group T/A Enham Trust,19623,6931.6
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Care Market Oversight,COMCM,Direct Payment Support Service,AQ0210,Services,Purchased Services,23/05/2024,3669813,Revenue - General Fund,Aster Group T/A Enham Trust,19623,8143.25
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,04/06/2024,3671402,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,179277.54
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,05/04/2024,3669194,Revenue - General Fund,DM Orthotics Ltd,14545,630.83
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,13/06/2024,3664419,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,16185
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,14/06/2024,3664418,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,237893.2
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,24/05/2024,3679287,Revenue - General Fund,DM Orthotics Ltd,14545,703.46
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,24/05/2024,3679291,Revenue - General Fund,DM Orthotics Ltd,14545,654.09
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,26/04/2024,3671342,Revenue - General Fund,DM Orthotics Ltd,14545,630.83
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,JES - Joint Equipment Store S75,AQ0060,Services,Purchased Services,29/05/2024,3678808,Revenue - General Fund,Nottingham Rehab Ltd t/a NRS Healthcare,17225,102387.25
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Living & Ageing Well,COMLA,Oak lodge & Northlands Bupa Homes – Block Contracts,AQ0080,Miscellaneous and Initiative Expenses,Other Expenses,29/05/2024,3647541,Revenue - General Fund,Northlands House Nursing & Residential Home,20095,12792.99
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Carers Commissioning - S75,AQ0150,Services,Purchased Services,23/05/2024,3671236,Revenue - General Fund,Southampton Citizens Advice Bureau,18130,20833.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Carers Commissioning - S75,AQ0150,Services,Purchased Services,29/05/2024,3676345,Revenue - General Fund,No Limits,20091,6170.42
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Day Care Commissioning,AQ0110,Rents,Premises Service Charges,03/06/2024,3678372,Revenue - General Fund,Southampton Living Well (SCA),20333,2083.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Day Care Commissioning,AQ0110,Rents,Premises Service Charges,24/06/2024,3684612,Revenue - General Fund,Southampton Living Well (SCA),20333,2083.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Day Care Commissioning,AQ0110,Rents,Premises Service Charges,29/05/2024,3678370,Revenue - General Fund,Southampton Living Well (SCA),20333,2083.33
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Day Care Commissioning,AQ0110,Services,Purchased Services,03/06/2024,3678371,Revenue - General Fund,Southampton Living Well (SCA),20333,49210.67
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Day Care Commissioning,AQ0110,Services,Purchased Services,30/05/2024,3678380,Revenue - General Fund,Southampton Living Well (SCA),20333,49210.67
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Domestic Abuse & Sexual Violence,AQ0170,Grants and Subscriptions,Grants & Contributions,16/05/2024,3674587,Revenue - General Fund,Stop Domestic Abuse,16297,4166.66
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Domestic Abuse & Sexual Violence,AQ0170,Services,Purchased Services,04/06/2024,3680521,Revenue - General Fund,Stop Domestic Abuse,16297,122500
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Domestic Abuse & Sexual Violence,AQ0170,Services,Purchased Services,12/06/2024,3679822,Revenue - General Fund,Hampshire County Council (Main),18625,23556
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Domestic Abuse & Sexual Violence,AQ0170,Services,Purchased Services,30/05/2024,3679823,Revenue - General Fund,Hampshire County Council (Main),18625,53000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,05/04/2024,3669436,Revenue - General Fund,Society Of St James,17154,20572.5
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,05/04/2024,3669437,Revenue - General Fund,Society Of St James,17154,2500
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,11/04/2024,3669424,Revenue - General Fund,Society Of St James,17154,2596.67
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,11/04/2024,3669439,Revenue - General Fund,Society Of St James,17154,8475
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,12/06/2024,3674488,Revenue - General Fund,Two Saints Ltd,13821,3175
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,13/06/2024,3682774,Revenue - General Fund,Society Of St James,17154,2666.67
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,15/04/2024,3670321,Revenue - General Fund,Two Saints Ltd,13821,1000
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,17/06/2024,3678636,Revenue - General Fund,Two Saints Ltd,13821,16873.01
Adult Social Care & Public Health,ADULPUB,ASC - Commissioning - Prevention,COMPR,Housing Related Support - part S75,AQ0140,Grants and Subscriptions,Grants & Contributions,17/06/2024,3678638,Revenue - General Fund,Two Saints Ltd,13821,3333.33
