Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Neighbourhoods,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101042325,44792,FITRONICS LTD,3623
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905622368,44895,****REDACTED PERSONAL INFO****,-2299.18
City Development,R&M - Building Works,R&M Technical Support,5101056262,44950,MASSEY COLDBECK ENGINEERING LTD,2599.9
City Development,R&M - Building Works,R&M Technical Support,5101060113,44988,MASSEY COLDBECK ENGINEERING LTD,628
Children & Young Peo,Medical Fees (Genera,Professional Fees,5101061323,45001,PEARSON EDUCATION LTD,1266.75
City Development,R&M - Building Works,R&M Technical Support,5101072144,45110,MASSEY COLDBECK ENGINEERING LTD,2975.58
Strategy & Change Di,Promotions,General Services Expenses,5101074404,45128,REED TALENT SOLUTIONS LTD T/A,27953.75
Children & Young Peo,Private Contractors,Agency & Contract Services,5101075535,45140,MALKA LIVINGSTONE DOMESTIC ABUSE,900
City Development,R&M - Building Works,R&M Technical Support,5101075855,45142,KIMPTON LTD,1117.25
Strategy & Change Di,Software (General),Computing,5101077584,45167,THE DOCUMENT MANAGEMENT GROUP LTD,1300
Capital Regen,Capital Regen,Misc- General,5101077769,45168,HUYTON ASPHALT CIVILS LTD,3474.53
Capital Regen,Capital Regen,Misc- General,5101077768,45168,HUYTON ASPHALT CIVILS LTD,1436.6
Capital Regen,Capital Regen,Misc- General,5101077767,45168,HUYTON ASPHALT CIVILS LTD,1089.77
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101077755,45168,UNIVERSITY OF LIVERPOOL,-1187.91
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101078738,45177,THE LUCY FAITHFULL FOUNDATION,1482
City Development,R&M - Building Works,R&M Technical Support,5101078760,45177,KONE PLC,562.8
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101078898,45179,PHONAK UK LTD,2152.52
Strategy & Change Di,Promotions,General Services Expenses,5101080048,45188,MEL RESEARCH LTD,13950.75
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101081176,45201,PHONAK UK LTD,1042.89
City Development,Consultancy,Professional Fees,5101081317,45202,ASPINALL VERDI LTD,9900
Capital Regen,Capital Regen,Misc- General,5101081177,45202,HUYTON ASPHALT CIVILS LTD,2478.3
Capital Regen,Capital Regen,Misc- General,5101081178,45202,HUYTON ASPHALT CIVILS LTD,1816.45
Capital Regen,Capital Regen,Misc- General,5101081483,45203,B T PAYPHONES,1249
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101081804,45208,INSIGHT DIRECT (UK) LIMITED,1612.83
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101081798,45208,SEGURO RECRUITMENT LTD,1363
City Development,ProfessionalServices,Professional Fees,5101082068,45210,URBAN INITIATIVES STUDIO LTD,3250.11
City Development,R&M - Building Works,R&M Technical Support,5101081991,45210,HSS PROSERVICE LTD,532
Strategy & Change Di,Printing (Outside),Printing & Office Expenses,5101082183,45211,STERLING PRESS LTD,561
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101082408,45212,QUICK STAY PROPERTY SOLUTIONS,2800
Neighbourhoods,Events,General Services Expenses,5101082683,45215,MERSEYMADE LTD,791.67
City Development,R&M - Building Works,R&M Technical Support,5101082775,45216,DALKIA OPERATIONS LIMITED,8551.37
City Development,Promotions,General Services Expenses,5101082829,45216,BAY MEDIA LTD,1044
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101083028,45218,LIVERPOOL ROAD SURFACING LTD,7800
Children & Young Peo,Contract Catering (G,Catering,5101083009,45218,CARRINGTONS CATERING,1320
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101083142,45219,SEGURO RECRUITMENT LTD,2726
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101083469,45223,KONE PLC,4879.92
Neighbourhoods,Cleaning & Dom.Supps,Cleaning & Domestic Supplies,5101083548,45223,BRENNTAG UK GROUP LTD,1155
Children & Young Peo,Agency Admin/Cleric,Professional,5101083613,45224,LIQUIDLOGIC LTD,90466.33
