Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101035470,44719,BLISS RECRUITMENT LTD (QUBA SOLUTIO,2688
City Development,R&M - Building Works,R&M Technical Support,5101043123,44804,DANTE FS GROUP LTD,957
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101050661,44883,BLISS RECRUITMENT LTD (QUBA SOLUTIO,4032
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101051205,44889,BLISS RECRUITMENT LTD (QUBA SOLUTIO,2016
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101051928,44897,BLISS RECRUITMENT LTD (QUBA SOLUTIO,2016
Capital Education,Capital Education,Misc- General,5101053374,44911,KIER BUSINESS SERVICES LTD,9920.39
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905650640,44915,****REDACTED PERSONAL INFO****,-1084.5
Children & Young Peo,Misc. Services - Gen,General Services Expenses,5101056145,44949,SCHOOL IMPROVEMENT LIVERPOOL LTD,8000
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905717763,44971,****REDACTED PERSONAL INFO****,-9691.23
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905719387,44972,ACCESS COMMUNITY SERVICES,4694.85
City Development,General Legal Fees,Professional Fees,5101058764,44977,****REDACTED COMMERCIALLY SENSITIVE****,1284
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905725077,44978,****REDACTED PERSONAL INFO****,-710.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905725084,44978,****REDACTED PERSONAL INFO****,-1000
Adult Services & Hea,Charitable Organisti,Agency & Contract Services,1905734606,44985,ACTION ON ADDICTION - new vendor TH,43200
City Development,Maint.& Bldg Works (,R & M Private Contractors,5101060512,44993,JUNGHEINRICH UK LTD,994.8
Neighbourhoods,Project Funding,General Services Expenses,5101060708,44994,GREENBANK PROJECT,1584
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905753562,44999,****REDACTED PERSONAL INFO****,3528
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101061292,45000,INSIGHT DIRECT (UK) LIMITED,17156.44
Neighbourhoods,Environmental Servs.,R & M Private Contractors,5101061421,45002,CONCRETE SPORTS LTD,950
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101061746,45005,CHATTERBUG SPEECH & LANGUAGE THERAP,9000
Capital Regen,Capital Regen,Fees,5101061767,45005,CONTACTA SYSTEMS LTD,4882.25
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101061988,45006,INSIGHT DIRECT (UK) LIMITED,7327.12
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905762445,45006,****REDACTED PERSONAL INFO****,-1500
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905762464,45006,****REDACTED PERSONAL INFO****,-4514.4
Capital Regen,Capital Regen,Misc- General,5101062042,45007,VIVACITY LABS LTD,5200
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101061998,45007,HUMANWARE EUROPE LIMITED,666.8
City Development,R&M - Building Works,R&M Technical Support,5101062179,45008,MUNTERS LIMITED,810
Chief Operating Offi,Training (General),Indirect Employee Expenses,5101062464,45012,QA LTD,10000
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101062476,45012,PROSPERO GROUP LTD,9240
Adult Services & Hea,Cleaning & Dom.Supps,Cleaning & Domestic Supplies,5101062548,45012,WRAY BROS LTD,501.58
Neighbourhoods,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101062706,45013,LIVERPOOL VETERANS HQ,6870
Neighbourhoods,Training (General),Indirect Employee Expenses,5101062605,45013,CITRUS TRAINING LTD,1410
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101062846,45014,VI-SPA EXPERIENCE ROOMS LIMITED,1546.51
Children & Young Peo,Counsel Fees,Professional Fees,1905775945,45014,****REDACTED PERSONAL INFO****,1500
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905774458,45014,HC ONE LTD,1458.17
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905774457,45014,HC ONE LTD,-2542.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905774459,45014,HC ONE LTD,-4176.6
Adult Services & Hea,Charitable Organisti,Agency & Contract Services,1905775964,45015,ACTION ON ADDICTION - new vendor TH,43200
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101063076,45016,C & H PRODUCTS LTD,8053
Neighbourhoods,Events,General Services Expenses,5101063116,45016,PAS SOUND ENGINEERING,4372.31
Neighbourhoods,Promotions,General Services Expenses,5101063083,45016,WILD THANG LTD,640
Children & Young Peo,Other Sch Pays-Acade,Agency & Contract Services,1905781447,45019,EVERTON FREE SCHOOL,5000
Children & Young Peo,Other Sch Pays-Acade,Agency & Contract Services,1905781459,45019,LIPA MULTI ACADEMY TRUST,5000
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1905781438,45019,ST ANNES CATHOLIC PRIMARY SCHOOL,4000
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1905781409,45019,DIXONS ACADEMIES TRUST LTD,3985.46
City Development,R&M - Building Works,R&M Technical Support,5101063274,45019,VERTIV,1586.92
Children & Young Peo,Other Sch Pays-Acade,Agency & Contract Services,1905781408,45019,DE LA SALLE SCHOOL,1465.18
City Development,Events,General Services Expenses,5101063332,45019,ARENA AND CONVENTION CENTRE LIVERPO,1247.5
Neighbourhoods,Cleaning & Dom.Supps,Cleaning & Domestic Supplies,5101063259,45019,WRAY BROS LTD,524.67
Neighbourhoods,Private Companies,Agency & Contract Services,1905781507,45020,BEDSPACE RESOURCE LTD,83000
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101063600,45020,QUALITY FOR LEARNING & SKILLS LTD,8500
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101063604,45020,LIVERPOOL ROOTS TRUST LTD,6031.77
Neighbourhoods,Repair And Maint (Ge,Direct Transport,5101063426,45020,MOGO UK,3528
City Development,Events,General Services Expenses,5101063606,45020,BMICRO MARKETING CONSULTANCY (SELF-,2500
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101063588,45020,TRANSPORT SOLUTIONS GROUP UK LTD,1950.6
City Development,Events,General Services Expenses,5101063524,45020,SYMPHOTECH LIMITED,1875
Neighbourhoods,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101063520,45020,HIGH STREET VOUCHERS LTD t/a PARK R,1852
Finance & Resources,ProfessionalServices,Professional Fees,5101063521,45020,HAYS SPECIALIST RECRUITMENT LTD,1820
City Development,Events,General Services Expenses,5101063476,45020,DELIFONSECA DOCKSIDE LTD,1666.1
City Development,Non Employ Prof Fees,Professional Fees,5101063395,45020,HAYS SPECIALIST RECRUITMENT LTD,1650
Neighbourhoods,Events,General Services Expenses,5101063553,45020,DALLAS LEGAL & BUSINESS CONSULTING,1200
Neighbourhoods,Misc. Expenses - Gen,General Services Expenses,5101063585,45020,LIVERPOOL STREETSCENE SERVICES LIMI,1199
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101063601,45020,QUALITY FOR LEARNING & SKILLS LTD,1000
Neighbourhoods,Library Materials (G,Library Materials,1905782797,45020,ASKEWS AND HOLTS LIBRARY SERVICES L,576.07
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101063537,45020,TRANSPORT SOLUTIONS GROUP UK LTD,562.5
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905781528,45020,****REDACTED PERSONAL INFO****,-840
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101063583,45020,WHY MEDIATE LTD t/a MEDIATELEGA,-885
