Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Strategy & Change Di,Postages (General),Communications,5101081318,45202,ROYAL MAIL,6747.98
Capital Regen,Capital Regen,Misc- General,5101081463,45203,LIVERPOOL STREETSCENE SERVICES LIMI,53425.18
Children & Young Peo,Non Employ Prof Fees,Professional Fees,5101081451,45203,FAMILY LINKS,4250
Children & Young Peo,Non Employ Prof Fees,Professional Fees,5101081452,45203,FAMILY LINKS,4250
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081419,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,1200
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081420,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,1200
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081421,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,2500
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081422,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,2500
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081423,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,1200
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081424,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,1200
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081425,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,1200
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081427,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,1600
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081428,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,1600
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081429,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,2500
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101081485,45203,QUALITY FOR LEARNING & SKILLS LTD,18000
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101081486,45203,QUALITY FOR LEARNING & SKILLS LTD,7500
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101081426,45203,LIGHTHOUSE HARMONIZE EDUCATION TRUS,1200
Adult Services & Hea,Charitable Organisti,Agency & Contract Services,1906019621,45203,SALVATION ARMY HOUSING ASSOCIATION,27144.86
Adult Services & Hea,Vol Non Profit Orgs,Agency & Contract Services,1906019622,45203,NEW START LTD,31926.5
Neighbourhoods,Mortuary Fees,General Services Expenses,5101081456,45203,CHEMSOL LTD,697.75
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101081448,45203,HALTON BOROUGH COUNCIL,820
Strategy & Change Di,IT Equip&Comm-Purch,Computing,5101081396,45203,CENTERPRISE INTERNATIONAL LTD,25127.5
Strategy & Change Di,Training (General),Indirect Employee Expenses,5101081389,45203,QA LTD,1224
Neighbourhoods,Agency Admin/Cleric,Professional,1906023894,45204,MATRIX SCM LTD,729.17
Neighbourhoods,Agency Admin/Cleric,Professional,1906023896,45204,MATRIX SCM LTD,719.74
Neighbourhoods,Agency Admin/Cleric,Professional,1906023898,45204,MATRIX SCM LTD,729.17
Neighbourhoods,Agency Admin/Cleric,Professional,1906023901,45204,MATRIX SCM LTD,652.8
Neighbourhoods,Agency Admin/Cleric,Professional,1906023902,45204,MATRIX SCM LTD,571.2
Neighbourhoods,Agency Admin/Cleric,Professional,1906023903,45204,MATRIX SCM LTD,850.34
Neighbourhoods,Agency Admin/Cleric,Professional,1906023904,45204,MATRIX SCM LTD,843.88
Neighbourhoods,Agency Admin/Cleric,Professional,1906023905,45204,MATRIX SCM LTD,840.6
Neighbourhoods,Agency Admin/Cleric,Professional,1906023906,45204,MATRIX SCM LTD,838.96
Neighbourhoods,Agency Admin/Cleric,Professional,1906023907,45204,MATRIX SCM LTD,838.96
Neighbourhoods,Agency Admin/Cleric,Professional,1906023909,45204,MATRIX SCM LTD,982.32
Neighbourhoods,Agency Admin/Cleric,Professional,1906023927,45204,MATRIX SCM LTD,669.56
