Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1905744783,44992,DE LA SALLE SCHOOL,723.65
Neighbourhoods,"Alarms, CCTV, etc",Security & Insurance,5101060454,44992,ADVANCE IT SOLUTIONS LTD,645.2
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905744350,44992,RAMSAL LTD t/a CHEMIST CARES,510.9
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101060404,44992,OLSEN HOUSE SCHOOL,-8866.67
City Development,R&M - Building Works,R&M Technical Support,5101060596,44993,SPIE LIMITED,97385.67
Children & Young Peo,Voluntary Assocs (Ge,Agency & Contract Services,5101060521,44993,MERSEYSIDE YOUTH ASSOCIATION LTD,22500
Adult Services & Hea,Adaptations-Private,General Services Exp Social Svs Clients,5101060607,44993,LIVERPOOL STREETSCENE SERVICES LIMI,13590
City Development,Consultancy,Professional Fees,5101060598,44993,RED AND GREY CREATIVE LIMITED,7590
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101060758,44993,RIVERSIDE,4982
Corporate Management,Counsel Fees,Professional Fees,1905745621,44993,****REDACTED PERSONAL INFO****,2475
Corporate Management,Counsel Fees,Professional Fees,1905745622,44993,****REDACTED PERSONAL INFO****,2292.5
Children & Young Peo,Non Employ Prof Fees,Professional Fees,5101060785,44993,YOUTH FORUM NW,2000
Neighbourhoods,Promotions,General Services Expenses,5101060545,44993,BENHAM PUBLISHING,1785
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101060551,44993,CHARTERED INST OF ENVIRONMENTAL HEA,1620
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101060757,44993,QUICK STAY PROPERTY SOLUTIONS,1575
Children & Young Peo,Conference (General),Expenses,5101060731,44993,BERRICK COMPUTING,1570
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101060562,44993,TRANSPORT SOLUTIONS GROUP UK LTD,1418.6
Capital Regen,Capital Regen,Misc- General,5101060781,44993,MOTT MACDONALD,1386.7
Adult Services & Hea,Counsel Fees,Professional Fees,1905745620,44993,****REDACTED PERSONAL INFO****,1025
Neighbourhoods,Events,General Services Expenses,5101060548,44993,CLOCKWORK STUDIOS CIC,1000
Adult Services & Hea,Counsel Fees,Professional Fees,1905745623,44993,****REDACTED PERSONAL INFO****,975
Neighbourhoods,Consultancy,Professional Fees,5101060561,44993,UNDERWING LIVERPOOL,800
Capital Regen,Capital Regen,Misc- General,5101060520,44993,LIVERPOOL STREETSCENE SERVICES LIMI,753.35
Adult Services & Hea,Training (General),Indirect Employee Expenses,5101060623,44993,MERSEYSIDE HOARDERS HELPING HOARDER,600
City Development,R&M - Building Works,R&M Technical Support,5101060769,44993,SPIE LIMITED,578.6
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101060627,44994,COMPUTER CAB (LIVERPOOL) LTD,28651.63
Capital Regen,Capital Regen,Main contract,5101060681,44994,MOTT MACDONALD,26537.6
Children & Young Peo,Housekeeping Allces,General Services Exp Social Svs Clients,1905747044,44994,MIDDLESBROUGH COUNCIL,23000
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101060723,44994,EVERTON DEVELOPMENT TRUST,21900
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101060724,44994,EVERTON DEVELOPMENT TRUST,21900
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,1905747034,44994,RAINHILL HIGH SCHOOL,17454.2
Adult Services & Hea,Other Accounts (Gene,Agency & Contract Services,1905746808,44994,LIVERPOOL JOHN MOORES UNIVERSITY,14400
Finance & Resources,Software (General),Computing,5101060635,44994,NEC SOFTWARE SOLUTIONS UK LTD,9500
Capital Regen,Capital Regen,Misc- General,5101060643,44994,MOTT MACDONALD,8130.55
City Development,Consultancy,Professional Fees,5101060624,44994,KIER BUSINESS SERVICES LTD,7834.13
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101060725,44994,EVERTON DEVELOPMENT TRUST,7590
Children & Young Peo,General Legal Fees,Professional Fees,5101060653,44994,****REDACTED COMMERCIALLY SENSITIVE****,4465
Chief Operating Offi,Printing (Outside),Printing & Office Expenses,5101060706,44994,STERLING PRESS LTD,4329.29
City Development,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101060649,44994,QUALITY FOR LEARNING & SKILLS LTD,4000
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101060628,44994,ESHA MEDICALS LTD,3467.4
Capital Regen,Capital Regen,Main contract,5101060682,44994,MOTT MACDONALD,1540.51
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101060705,44994,AM SUPPLIES LIMITED,1187.68
Chief Operating Offi,Counsel Fees,Professional Fees,1905747026,44994,****REDACTED PERSONAL INFO****,1143.33
Children & Young Peo,R&M - Building Works,R&M Technical Support,5101060609,44994,ASBESTOS CONTROL & TREATMENT LTD,950
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101060631,44994,ESENGO VENTURES LTD,909.49
Neighbourhoods,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101060727,44994,SOLA ARTS,902
Children & Young Peo,Misc. Expenses - Gen,General Services Expenses,1905747012,44994,MALKA LIVINGSTONE DOMESTIC ABUSE,900
City Development,R&M - Building Works,R&M Technical Support,5101060611,44994,ASBESTOS CONTROL & TREATMENT LTD,900
Finance & Resources,Software (General),Computing,5101060634,44994,NEC SOFTWARE SOLUTIONS UK LTD,791.67
Children & Young Peo,Events,General Services Expenses,5101060651,44994,TAYLORFITCH LIMITED,629.98
Children & Young Peo,Trav.Home To School/,Use of Public Transport,5101060778,44995,MERSEYTRAVEL,132208.18
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101060730,44995,SHC CARE SERVICES LTD,32150
Capital Regen,Capital Regen,Misc- General,5101060782,44995,MOTT MACDONALD,14169.18
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101060761,44995,SEGURO RECRUITMENT LTD,8675
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101060762,44995,SEGURO RECRUITMENT LTD,8675
Neighbourhoods,Library Materials (G,Library Materials,1905750000,44995,KOMPASS (UK) LTD,4991
City Development,R&M-Engineer Works,R&M Technical Support,5101060751,44995,LIVERPOOL STREETSCENE SERVICES LIMI,4583.3
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101060759,44995,SEGURO RECRUITMENT LTD,4260
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101060786,44995,SEGURO RECRUITMENT LTD,4260
City Development,Travelling Expenses,Use of Public Transport,5101060760,44995,ARRIVA NORTH WEST LTD,4000
Children & Young Peo,Medical Fees (Genera,Professional Fees,5101060743,44995,ETAC LTD,2606
City Development,R&M - Building Works,R&M Technical Support,5101060755,44995,NTC BUILDING CONTRACTORS LTD,1164
Neighbourhoods,Library Materials (G,Library Materials,1905749980,44995,ASKEWS AND HOLTS LIBRARY SERVICES L,703.03
Neighbourhoods,Library Materials (G,Library Materials,1905749986,44995,ASKEWS AND HOLTS LIBRARY SERVICES L,555.81
