Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101082970,45217,J MAGUIRE TRAVEL,6225
Capital Regen,Capital Regen,Main contract,5101082893,45217,ORBIS PROTECT LIMITED,6149.14
City Development,R&M - Building Works,R&M Technical Support,5101082877,45217,SPIE LIMITED,6036.25
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039696,45217,OPTIONS FOR SUPPORTED LIVING,5798.56
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039692,45217,OPTIONS FOR SUPPORTED LIVING,5777.66
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039277,45217,NEW START LIVING LTD,5719
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039407,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,5719
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039855,45217,AUTISM INITIATIVES,5719
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039870,45217,AUTISM INITIATIVES,5719
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039869,45217,AUTISM INITIATIVES,5506.55
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039674,45217,OPTIONS FOR SUPPORTED LIVING,5260.36
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039676,45217,OPTIONS FOR SUPPORTED LIVING,5260.36
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039691,45217,OPTIONS FOR SUPPORTED LIVING,5260.36
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039707,45217,OPTIONS FOR SUPPORTED LIVING,5260.36
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039708,45217,OPTIONS FOR SUPPORTED LIVING,5260.36
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039672,45217,OPTIONS FOR SUPPORTED LIVING,5260.36
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906038921,45217,****REDACTED PERSONAL INFO****,5174
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039115,45217,GLENELG SUPPORT LIMITED,4951.8
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039375,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,4951.8
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039864,45217,AUTISM INITIATIVES,4951.8
Neighbourhoods,Grants & Subs (Gener,Grants & Subscriptions,1906037654,45217,Golding,4848
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039116,45217,GLENELG SUPPORT LIMITED,4826.22
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039393,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,4700.64
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039888,45217,ALTERNATIVE FUTURES GROUP,4610.5
City Development,R&M - Building Works,R&M Technical Support,5101082874,45217,SPIE LIMITED,4537.23
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039885,45217,ALTERNATIVE FUTURES GROUP,4526.76
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039275,45217,NEW START LIVING LTD,4388.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039370,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,4388.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039390,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,4388.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039861,45217,AUTISM INITIATIVES,4388.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039876,45217,AUTISM INITIATIVES,4388.3
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039866,45217,AUTISM INITIATIVES,4302.75
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039429,45217,GRAY HEALTHCARE LTD,4219.6
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039430,45217,GRAY HEALTHCARE LTD,4219.6
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039431,45217,GRAY HEALTHCARE LTD,4219.6
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039117,45217,GLENELG SUPPORT LIMITED,4198.32
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906038919,45217,****REDACTED PERSONAL INFO****,3952.76
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906038920,45217,****REDACTED PERSONAL INFO****,3952.76
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039682,45217,OPTIONS FOR SUPPORTED LIVING,3945.16
City Development,R&M - Building Works,R&M Technical Support,5101082941,45217,SPIE LIMITED,3940.2
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039419,45217,AFFINITY SUPPORTING PEOPLE LTD,3865.23
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101082944,45217,TECHNOGYM UK LTD,3766.12
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039578,45217,NATURAL BREAKS MERSEYSIDE,3634.82
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039119,45217,GLENELG SUPPORT LIMITED,3631.48
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039872,45217,AUTISM INITIATIVES,3621.1
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039889,45217,ALTERNATIVE FUTURES GROUP,3509.24
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039395,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,3498.41
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039609,45217,MEDILINE SUPPORTED LIVING LTD,3383.88
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039847,45217,AUTISM INITIATIVES,3369.94
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039379,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,3258.08
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039715,45217,OPTIONS FOR SUPPORTED LIVING,3200.48
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039363,45217,ASPIRATIONS CARE LTD,3193.68
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039383,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,3193.68
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039405,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,3193.68
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039858,45217,AUTISM INITIATIVES,3193.68
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039863,45217,AUTISM INITIATIVES,3193.68
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039410,45217,SPECIAL NEEDS CARE LIMITED,3193.68
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039118,45217,GLENELG SUPPORT LIMITED,3193.68
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039924,45217,SLC RAGLIN LTD,3162.46
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039670,45217,MEDILINE SUPPORTED LIVING LTD,3149.39
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039462,45217,MENCAP,3078.68
Chief Operating Offi,Promotions,General Services Expenses,5101082887,45217,REED TALENT SOLUTIONS LTD t/a,3030.5
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039673,45217,OPTIONS FOR SUPPORTED LIVING,3010.38
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039377,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,3006.92
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039628,45217,MEDILINE SUPPORTED LIVING LTD,2899.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039630,45217,MEDILINE SUPPORTED LIVING LTD,2896.32
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039860,45217,AUTISM INITIATIVES,2879.89
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039435,45217,CAVALRY HEALTHCARE LTD,2862.9
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039376,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2846.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039807,45217,WIRRAL AUTISTIC SOCIETY,2800.11
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039089,45217,L'ARCHE LIVERPOOL,2791.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039771,45217,BROTHERS OF CHARITY SERVICES MERSEY,2763.25
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039918,45217,LEONARD CHESHIRE NORTH WEST,2755.62
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039686,45217,OPTIONS FOR SUPPORTED LIVING,2737.44
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039368,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2706.22
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039441,45217,MENCAP,2681.86
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039373,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2642.39
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039600,45217,MEDILINE SUPPORTED LIVING LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039663,45217,MEDILINE SUPPORTED LIVING LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039114,45217,GLENELG SUPPORT LIMITED,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039274,45217,NEW START LIVING LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039276,45217,NEW START LIVING LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039310,45217,COOPER NOBLE CARE LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039324,45217,COOPER NOBLE CARE LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039364,45217,ASPIRATIONS CARE LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039371,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039382,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039385,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039387,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039404,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039566,45217,NATURAL BREAKS MERSEYSIDE,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039574,45217,NATURAL BREAKS MERSEYSIDE,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039634,45217,MEDILINE SUPPORTED LIVING LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039642,45217,MEDILINE SUPPORTED LIVING LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039856,45217,AUTISM INITIATIVES,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039880,45217,ALTERNATIVE FUTURES GROUP,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039631,45217,MEDILINE SUPPORTED LIVING LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039648,45217,MEDILINE SUPPORTED LIVING LTD,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039887,45217,ALTERNATIVE FUTURES GROUP,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039882,45217,ALTERNATIVE FUTURES GROUP,2630.18
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039851,45217,AUTISM INITIATIVES,2623.45
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039871,45217,AUTISM INITIATIVES,2575.86
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039301,45217,TRANSITION CARE,2528.33
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,1906037706,45217,CARTER BROWN THE EXPERT SERVICE LTD,2517.6
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039848,45217,AUTISM INITIATIVES,2421.07
