Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,1905706557,44960,SENSORY TECHNOLOGY LTD,1907.09
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101057891,44966,SENSORY TECHNOLOGY LTD,1984.8
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101059272,44981,HILTON CABINET CO LTD,-557.69
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101059277,44981,HILTON CABINET CO LTD,-557.69
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905734634,44985,****REDACTED PERSONAL INFO****,-700
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905734635,44985,****REDACTED PERSONAL INFO****,-1650
Chief Operating Offi,Repair & Maintenance,Fixtures & Fittings,5101061128,45000,CMYUK DIGITAL LTD - MATERIALS ONLY,1376.6
Chief Operating Offi,Office Equipment (Ge,Printing & Office Expenses,5101061219,45000,KONICA MINOLTA BUSINESS SOLUTIONS,-16838.76
Chief Operating Offi,Office Equipment (Ge,Printing & Office Expenses,5101061228,45000,KONICA MINOLTA BUSINESS SOLUTIONS,-47499.51
City Development,R&M - Building Works,R&M Technical Support,5101061860,45006,ADLIB AUDIO LTD,1600
Chief Operating Offi,Office Equipment (Ge,Printing & Office Expenses,5101062030,45007,KONICA MINOLTA BUSINESS SOLUTIONS,3313.38
Chief Operating Offi,Office Equipment (Ge,Printing & Office Expenses,5101062747,45013,KONICA MINOLTA BUSINESS SOLUTIONS,14620.81
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905774766,45014,IMPRESSION HEALTH AND SUPPORT UK LT,22175.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905774765,45014,IMPRESSION HEALTH AND SUPPORT UK LT,-10669.26
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905774767,45014,IMPRESSION HEALTH AND SUPPORT UK LT,-171470.25
