Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076781,45149,BIRTENSHAW MERSEYSIDE,5419.34
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076776,45149,BIRTENSHAW MERSEYSIDE,5419.31
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076777,45149,BIRTENSHAW MERSEYSIDE,5419.31
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076780,45149,BIRTENSHAW MERSEYSIDE,5419.31
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076783,45149,BIRTENSHAW MERSEYSIDE,5419.31
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076784,45149,BIRTENSHAW MERSEYSIDE,5419.31
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076754,45149,BIRTENSHAW MERSEYSIDE,5261.47
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076751,45149,BIRTENSHAW MERSEYSIDE,5216.57
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076758,45149,BIRTENSHAW MERSEYSIDE,5216.57
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076755,45149,BIRTENSHAW MERSEYSIDE,4799.37
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076773,45149,BIRTENSHAW MERSEYSIDE,4799.37
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076775,45149,BIRTENSHAW MERSEYSIDE,4799.37
Children & Young Peo,Stationery (General),Printing & Office Expenses,5101076759,45149,BIRTENSHAW MERSEYSIDE,4777.82
