Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101039780,44764,PROSPERO GROUP LTD,1331.25
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905593933,44873,****REDACTED PERSONAL INFO****,-980
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101056632,44953,PROSPERO GROUP LTD,1622.85
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905699572,44957,****REDACTED PERSONAL INFO****,-14098.5
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905717904,44971,****REDACTED PERSONAL INFO****,3286
Neighbourhoods,"Alarms, CCTV, etc",Security & Insurance,5101058951,44978,SIEMENS BUILDING TECHNOLOGIES,5367.77
Neighbourhoods,Private Contractors,Agency & Contract Services,5101059086,44979,JCT CONSULTANCY LTD,575
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905734612,44985,****REDACTED PERSONAL INFO****,-4593.57
Adult Services & Hea,Training (General),Indirect Employee Expenses,5101060073,44988,EDGE HILL UNIVERSITY,7955.59
Capital Leisure Serv,Capital Leisure Serv,Main contract,5101060314,44991,CLAN CONTRACTING LTD,750
Chief Operating Offi,IT Equip&Comm-Maint,Computing,5101060190,44991,INSIGHT DIRECT (UK) LIMITED,500.4
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101060190,44991,INSIGHT DIRECT (UK) LIMITED,138.54
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905745483,44993,****REDACTED PERSONAL INFO****,1055.58
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905753702,44999,****REDACTED PERSONAL INFO****,3286
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905753524,44999,****REDACTED PERSONAL INFO****,964
City Development,Non Employ Prof Fees,Professional Fees,5101061019,44999,MSP GLOBAL LTD,777.6
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905753472,44999,****REDACTED PERSONAL INFO****,-1073.9
Neighbourhoods,Rodent & Pest Contro,Cleaning & Domestic Supplies,5101061162,45000,KILLGERM CHEMICALS LTD,2639.62
City Development,Non Employ Prof Fees,Professional Fees,5101061473,45002,EDUCATION SOLUTIONS SPEKE LIMITED,-3709.86
City Development,Non Employ Prof Fees,Professional Fees,5101061470,45002,EDUCATION SOLUTIONS SPEKE LIMITED,-72688.35
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101062102,45007,INSIGHT DIRECT (UK) LIMITED,1628.8
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905772127,45013,****REDACTED PERSONAL INFO****,-2306.25
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905772108,45013,****REDACTED PERSONAL INFO****,-2370.42
City Development,Non Employ Prof Fees,Professional Fees,5101062732,45013,EDUCATION SOLUTIONS SPEKE LIMITED,-363738.95
Chief Operating Offi,Software (General),Computing,5101063002,45015,INSIGHT DIRECT (UK) LIMITED,3264.16
Capital Regen,Capital Regen,Misc- General,5101063574,45020,LIVERPOOL STREETSCENE SERVICES LIMI,4011.1
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101063725,45022,THE LUCY FAITHFULL FOUNDATION,2236
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905792017,45028,****REDACTED PERSONAL INFO****,3286
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905792444,45028,****REDACTED PERSONAL INFO****,988.1
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905791841,45028,****REDACTED PERSONAL INFO****,964
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905791893,45028,****REDACTED PERSONAL INFO****,-2981.04
Capital Regen,Capital Regen,Misc- General,5101064080,45029,PERFECT CIRCLE JV LTD,19664.74
Neighbourhoods,Training (General),Indirect Employee Expenses,5101064174,45029,INSTITUTE OF CEMETERY AND CREMATORI,2335
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101064207,45030,J P LENNARD LTD,601.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905800693,45034,****REDACTED PERSONAL INFO****,1111.25
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101064439,45034,WPS UNITED KINGDOM LIMITED,1003.4
City Development,R&M - Building Works,R&M Technical Support,5101064895,45036,LEA BUILDING SERVICES LIMITED,1998
City Development,Events,General Services Expenses,5101065022,45037,BLUECOAT DISPLAY CENTRE LTD,25000
Children & Young Peo,Software (General),Computing,5101065005,45037,SOFTBOX LTD,4707
City Development,Advertising (General,General Services Expenses,5101065105,45037,POINT THIRTEEN MEDIA LTD,1495
City Development,Advertising (General,General Services Expenses,5101065106,45037,POINT THIRTEEN MEDIA LTD,1495
City Development,Advertising (General,General Services Expenses,5101065107,45037,POINT THIRTEEN MEDIA LTD,696
City Development,Advertising (General,General Services Expenses,5101065103,45037,POINT THIRTEEN MEDIA LTD,600
City Development,Advertising (General,General Services Expenses,5101065104,45037,POINT THIRTEEN MEDIA LTD,550
City Development,Advertising (General,General Services Expenses,5101065108,45037,POINT THIRTEEN MEDIA LTD,550
Capital Regen,Capital Regen,Misc- General,5101065068,45037,PERFECT CIRCLE JV LTD,-9520.55
Capital Regen,Capital Regen,Misc- General,5101065055,45037,PERFECT CIRCLE JV LTD,-58694.43
City Development,"Alarms, CCTV, etc",Security & Insurance,5101065124,45038,LYRECO UK LTD,906.84
Chief Operating Offi,Software (General),Computing,5101065161,45040,WIFI SPARK LTD,7677.12
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101065157,45040,NETWORK INSTALLATION SOLUTIONS LTD,2295
City Development,R&M - Building Works,R&M Technical Support,5101065139,45040,DCE COMMERCIAL CATERING,1195
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811400,45042,CHURCH VIEW,3696
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811408,45042,CHURCH VIEW,2933.16
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811395,45042,CHURCH VIEW,2916.34
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811381,45042,CHURCH VIEW,2433
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811405,45042,CHURCH VIEW,2433
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811399,45042,CHURCH VIEW,2333
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811398,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811401,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811412,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811390,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811393,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811394,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811406,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811407,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811385,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811388,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811392,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811396,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811397,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811402,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811403,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811404,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811409,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811410,45042,CHURCH VIEW,2233
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811411,45042,CHURCH VIEW,2233
Capital Regen,Capital Regen,Misc- General,5101065420,45042,BLUEPOINT MARINE SERVICES LTD,2000
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811387,45042,CHURCH VIEW,1997.29
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811383,45042,CHURCH VIEW,1518.1
City Development,Software (General),Computing,5101065433,45042,PHOENIX SOFTWARE LTD,1395.36
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811391,45042,CHURCH VIEW,1390.29
City Development,R&M - Building Works,R&M Technical Support,5101065464,45042,THE JAMES MERCER GROUP LTD,728.05
Neighbourhoods,Medical Fees (Genera,Professional Fees,5101065465,45042,ONLINE ERGONOMICS LTD,693.73
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905810198,45042,****REDACTED PERSONAL INFO****,-551.16
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905810201,45042,****REDACTED PERSONAL INFO****,-600
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811384,45042,CHURCH VIEW,-1036.75
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811386,45042,CHURCH VIEW,-3668.5
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905811382,45042,CHURCH VIEW,-14142.02
Chief Operating Offi,Software (General),Computing,5101065602,45043,PHOENIX SOFTWARE LTD,817.69
