Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45085,30435573,2675.64,2 CARE,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45085,30435573,2675.64,2 CARE,
Bracknell Forest Council,00MA,"Cemeteries, Crematoria & Mortuary Services",Cemeteries & Crematorium,Easthampstead Park Cemetery & Crematorium,Equipment - Rental,45047,6766965,761.12,2468 GROUP,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,Braccan Walk Car Park,Banking Charges,45046,6769759,511.57,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,High Street Car Park,Banking Charges,44957,6769760,514.44,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,Braccan Walk Car Park,Banking Charges,45016,6769764,530.97,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,Braccan Walk Car Park,Banking Charges,45077,6769213,543.51,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,High Street Car Park,Banking Charges,45016,6769764,582.78,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,High Street Car Park,Banking Charges,45077,6769213,598.75,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,High Street Car Park,Banking Charges,45046,6769759,620,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,The Avenue Car Park,Banking Charges,44985,6769763,3298.38,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,The Avenue Car Park,Banking Charges,44957,6769760,3631.14,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,The Avenue Car Park,Banking Charges,45016,6769764,4014.58,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,The Avenue Car Park,Banking Charges,45077,6769213,4280.1,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,The Avenue Car Park,Banking Charges,45046,6769759,4307.23,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45042,6766394,535,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45064,6768143,535,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45105,6770564,545,A LANGHAM BUILDERS LTD,
