Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Mileage Allowance - Claims,45350,6785816,1360,2 & FROM CARS,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Mileage Allowance - Claims,45322,6783831,1700,2 & FROM CARS,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Mileage Allowance - Claims,45375,6788046,1700,2 & FROM CARS,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45316,30447138,2675.64,2 CARE,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45330,30447873,2675.64,2 CARE,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45358,30449633,2675.64,2 CARE,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45386,30451573,2675.64,2 CARE,
Bracknell Forest Council,00MA,"Cemeteries, Crematoria & Mortuary Services",Cemeteries & Crematorium,Easthampstead Park Cemetery & Crematorium,Equipment - Rental,45323,6784129,795.38,2468 GROUP,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45365,6786949,525,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45378,6787770,525,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45320,6783722,545,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45334,6785342,545,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45364,6786981,575,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45363,6786977,580,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45364,6786982,665,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45299,6782681,675,A LANGHAM BUILDERS LTD,
Bracknell Forest Council,00MA,Assistive Equipment & Technology,Assistive Equipment & Technology,Assistive Equipment and Technology,Equipment - Purchase,45337,6785341,675,A LANGHAM BUILDERS LTD,
