Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781027,2660.7,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777108,2880,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781024,2880,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777110,3600,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779153,3680,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779156,3810,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777105,4370,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781021,4400,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777108,4620,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781026,5060,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781024,6140,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777110,7032.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779158,7155,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777106,7312.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779154,7462.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779159,8013.05,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777111,8901.35,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781025,9075,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781020,9300.35,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781021,9342.5,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779152,10172.8,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45233,6779153,11040,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777104,12062.7,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport **CLOSED** (PLEASE USE E725E),Taxi Fares - Home/School Transport,45200,6777105,13110,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781027,13229.3,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781026,15180,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781023,17710,ABEE CARS LTD,
Bracknell Forest Council,00MA,Management and Support Services - CYPL,De-Delegated Expenditure,Home to School Transport,Taxi Fares - Home/School Transport,45261,6781022,20920,ABEE CARS LTD,
