Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,992.64,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,MC Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,992.64,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,1034,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,1034,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,1034,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45260,30444250,1054.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Community:Homecare,PS Adults 18-64 Long Term Support - Community:Homecare,Contracted Services,45253,30443897,1085.7,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Community:Homecare,PS Adults 18-64 Long Term Support - Community:Homecare,Contracted Services,45274,30445039,1090.87,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Adults (18-64),Long term Support - Community:Homecare,PS Adults 18-64 Long Term Support - Community:Homecare,Contracted Services,45225,30442360,1106.38,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,1158.08,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,1158.08,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,1158.08,A&T CARING SERVICES,
