Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45113,30436881,2675.64,2 CARE,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45141,30438404,2675.64,2 CARE,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45169,30439567,2675.64,2 CARE,
Bracknell Forest Council,00MA,Adults (18-64),Long Term Support - Supported Accommodation,MH Adults 18-64 Long Term Support - Supported Accommodation,Contracted Services,45183,30440334,2675.64,2 CARE,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,Braccan Walk Car Park,Banking Charges,45169,6775095,547.87,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,Braccan Walk Car Park,Banking Charges,45138,6773638,558.23,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,High Street Car Park,Banking Charges,45107,6773639,569.71,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,Braccan Walk Car Park,Banking Charges,45107,6773639,575.65,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,High Street Car Park,Banking Charges,45169,6775095,635.65,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,High Street Car Park,Banking Charges,45138,6773638,715.64,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,The Avenue Car Park,Banking Charges,45107,6773639,4261.36,3C PAYMENT UK LTD,
Bracknell Forest Council,00MA,Parking Services,Off Street Parking,The Avenue Car Park,Banking Charges,45169,6775095,4685.74,3C PAYMENT UK LTD,
