Transparency Report 23 Dec - 24 Feb,,,,,,,
Payment Date,Vendor Name 2,Cost Centre Code,Cost Centre Description,Subjective Code,Subjective desctiption,Amount,Non Recoverable VAT
13/12/2023, TKE UK Ltd,B06103,V5 Repairs - M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£3,104.72",0
13/12/2023, TKE UK Ltd,B06131,Ppm M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£2,672.82",0
13/12/2023, TKE UK Ltd,B06131,Ppm M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£32,705.44",0
13/12/2023, TKE UK Ltd,B06103,V5 Repairs - M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£19,193.52",0
10/01/2024, TKE UK Ltd,B06103,V5 Repairs - M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£18,761.60",0
10/01/2024, TKE UK Ltd,B06103,V5 Repairs - M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£14,068.86",0
10/01/2024, TKE UK Ltd,B06131,Ppm M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£32,705.44",0
10/01/2024, TKE UK Ltd,B06131,Ppm M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£2,672.82",0
09/02/2024, TKE UK Ltd,B06131,Ppm M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£32,705.44",0
09/02/2024, TKE UK Ltd,B06131,Ppm M and E,620120,Works - Construction Repair and Maintenance - Buildings,"£2,672.82",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£4,559.66",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£2,716.44",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£2,266.01",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£5,520.51",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£3,086.76",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£3,191.76",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£2,719.23",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£3,419.74",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£3,086.76",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£3,086.76",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£2,765.91",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£3,454.29",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"-£2,804.07",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£3,821.81",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"-£38,752.92",0
07/12/2023,17 CARE UK LTD T/A CARE SPECTRUM,B01111,Mental Health Supported and Other Accommodation,650090,Housing Management,"£2,488.37",0
