Payment Date, Description ,Gross Amount, Supplier Name 
25-Jan-24, Payments to Other Police Authorities ,"£2,447,318.37",GMCA (PCC for Greater Manchester)
25-Jan-24, Payments to Other Police Authorities ,"£1,105,050.60",Police and Crime Commissioner For Lancashire
18-Jan-24, Payments to Other Police Authorities ,"£819,613.65",Police and Crime Commissioner For Cheshire
25-Jan-24, Aviation ,"£400,366.50",West Yorkshire Combined Authority (WYCA)
25-Jan-24, Electricity General Tariffs ,"£391,902.02",EDF Energy Customers Limited
25-Jan-24, Service Charges ,"£240,000.00",Merseyside Fire & Rescue Authority
25-Jan-24, Services & Legal Expenses ,"£181,500.00",Young Person's Advisory Service (YPAS)
25-Jan-24, Services & Legal Expenses ,"£171,624.30",Crea8ing Community t/a Crea8ing Careers
25-Jan-24, Consultants Fees ,"£146,461.17",Mitie Care and Custody Ltd
11-Jan-24, Services & Legal Expenses ,"£120,000.00",BMG Research Ltd
25-Jan-24, S/W Licences ,"£95,512.80",Softcat Plc
11-Jan-24, Call Charges ,"£89,700.00",SSS Public Safety Limited
25-Jan-24, Payment for Services ,"£88,447.79",NHS England - Lancashire
26-Jan-24, S/W Licences ,"£84,772.80",Redacted
04-Jan-24, Rates ,"£73,216.00",Liverpool City Council
04-Jan-24, Support Staff-Temporary Staff Wages ,"£69,995.22",Adecco UK Limited
11-Jan-24, Support Staff-Temporary Staff Wages ,"£66,456.64",Adecco UK Limited
18-Jan-24, S/W Licences ,"£63,990.00",Forensic Pathways Limited
18-Jan-24, Support Staff-Temporary Staff Wages ,"£62,266.36",Adecco UK Limited
11-Jan-24, Building Programmed Maintenance ,"£62,068.80",Greenmount Projects Limited
11-Jan-24, Capital Asset Clearing A/C Plant & Equipment ,"£61,218.60",Dell Corporation Limited
11-Jan-24, Capital Asset Clearing A/C Plant & Equipment ,"£56,839.20",Dell Corporation Limited
11-Jan-24, Capital Asset Clearing A/C Plant & Equipment ,"£56,839.20",Dell Corporation Limited
04-Jan-24, Rates ,"£53,248.00",Liverpool City Council
04-Jan-24, Services & Legal Expenses ,"£51,000.00",Ariel Trust
25-Jan-24, Payments to Other Police Authorities ,"£49,931.46",Police and Crime Commissioner For Cheshire
25-Jan-24, Forensic Fees - General ,"£49,000.56",Siemens Financial Services Ltd
25-Jan-24, Capital Asset Clearing A/C Plant & Equipment ,"£45,907.21",Redacted
11-Jan-24, Payments to Other Police Authorities ,"£45,108.75",Police and Crime Commissioner For Lancashire
25-Jan-24, Equipment Purchases ,"£44,083.88",Tuskerdirect Limited
11-Jan-24, Services & Legal Expenses ,"£43,650.00",Trueman Change Management Limited
04-Jan-24, Payments to Other Police Authorities ,"£42,614.77",Police and Crime Commissioner For Cheshire
04-Jan-24, Rates ,"£42,496.00",Liverpool City Council
04-Jan-24, Payments to Other Police Authorities ,"£42,445.99",Police and Crime Commissioner For Cheshire
11-Jan-24, Legal Charges/Counsel Fees ,"£42,274.15",Mace Limited
25-Jan-24, Miscellaneous Expenses ,"£41,820.84",Redacted
18-Jan-24, Equipment Purchases ,"£40,759.22",Tuskerdirect Limited
11-Jan-24, Payments to Other Police Authorities ,"£39,779.47",Police & Crime Commissioner for North Wales
11-Jan-24, Capital Asset Clearing A/c Vehicles ,"£39,229.13",Volkswagen Group United Kingdom Ltd
