Payment Date, Description ,Gross Amount, Supplier Name 
08-Feb-24,Payments to Other Police Authorities,"£422,285.83",Police and Crime Commissioner For Cheshire
22-Feb-24,Electricity General Tariffs,"£390,420.16",EDF Energy Customers Limited
01-Feb-24,Information Storage & Analysis Systems,"£334,302.34",Softcat Plc
29-Feb-24,Gas General Tariffs,"£185,956.03",TotalEnergies Gas & Power Limited
08-Feb-24,Payments to Other Police Authorities,"£177,000.05",Police & Crime Commissioner for North Wales
08-Feb-24,Payments to Other Police Authorities,"£176,197.84",Police & Crime Commissioner for North Wales
22-Feb-24,Payments to Other Police Authorities,"£161,107.97",Police & Crime Commissioner for North Wales
22-Feb-24,Consultants Fees,"£146,461.17",Mitie Care and Custody Ltd
29-Feb-24,Building Programmed Maintenance,"£137,716.69",Graham Asset Management Ltd
08-Feb-24,Subscibers and Billing History Charges,"£132,756.74",Home Office Shared Service Centre
08-Feb-24,Brokerage Fees,"£125,000.00",Gallagher Bassett (Imprest)
01-Feb-24,Gas General Tariffs,"£123,265.10",TotalEnergies Gas & Power Limited
29-Feb-24,Services & Legal Expenses,"£120,000.00",JMU Services Ltd
22-Feb-24,Building Programmed Maintenance,"£109,625.15",Greenmount Projects Limited
01-Feb-24,Water & Sewerage Rates,"£108,040.47",Water Plus Limited
22-Feb-24,Services & Legal Expenses,"£100,000.00",St Helens Council(ACE`S Project)
08-Feb-24,Uniform and Clothing,"£96,493.20",Yaffy Protective Clothing (Part of Mi Hub Ltd)
29-Feb-24,Building Programmed Maintenance,"£94,686.91",Anthony Dever Construction Limited
15-Feb-24,Payments to Other Police Authorities,"£94,314.00",Police and Crime Commissioner For Lancashire
08-Feb-24,Payments to Other Police Authorities,"£90,000.00",Cyber Resilience Centre Ltd t/a North West Cyber Resilience Centre
15-Feb-24,Payments to Other Police Authorities,"£78,992.50",Police and Crime Commissioner For Cheshire
01-Feb-24,Operational Equipment,"£77,771.52",Redacted
15-Feb-24,Payments to Other Police Authorities,"£76,065.25",Police and Crime Commissioner For Cheshire
22-Feb-24,Support Staff-Temporary Staff Wages,"£71,749.80",Adecco UK Limited
08-Feb-24,Support Staff-Temporary Staff Wages,"£67,960.28",Adecco UK Limited
29-Feb-24,Support Staff-Temporary Staff Wages,"£65,178.28",Adecco UK Limited
29-Feb-24,Services & Legal Expenses,"£65,000.00",Sefton Metropolitan Borough Council
15-Feb-24,Support Staff-Temporary Staff Wages,"£62,779.37",Adecco UK Limited
01-Feb-24,Capital Asset Clearing A/C Plant & Equipment,"£60,586.97",Redacted
15-Feb-24,Miscellaneous Expenses,"£58,118.90",Redacted
01-Feb-24,Payments to Other Police Authorities,"£57,520.15",Police and Crime Commissioner For Cheshire
08-Feb-24,Vehicle Repairs,"£56,001.00",Automobile Association Developments Limited
29-Feb-24,S/W Licences,"£54,000.00",Chorus Intelligence Limited
01-Feb-24,Support Staff-Temporary Staff Wages,"£51,809.92",Adecco UK Limited
22-Feb-24,Outsourced Contractors,"£47,941.50",Softcat Plc
15-Feb-24,Payments to Other Police Authorities,"£44,955.15",Police and Crime Commissioner For Cheshire
22-Feb-24,H/W Purchases,"£44,008.52",Switchshop Ltd
01-Feb-24,Miscellaneous Contributions,"£43,841.00",PCC for South Wales
22-Feb-24,Forensic Fees - General,"£43,075.20",Laser Tech UK Ltd
22-Feb-24,Equipment Purchases,"£42,301.05",Tuskerdirect Limited
01-Feb-24,Payment for Services,"£39,977.52",The Anthony Walker Foundation
01-Feb-24,Payment for Services,"£39,948.80",Redacted
01-Feb-24,Services & Legal Expenses,"£38,828.40",JMU Services Ltd
15-Feb-24,Capital Asset Clearing A/c Intangibles,"£38,580.00",Airwave Solutions LTD
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£37,857.53",Volkswagen Group United Kingdom Ltd
22-Feb-24,Payments to Other Police Authorities,"£37,119.59",Police and Crime Commissioner For Cumbria
08-Feb-24,Call Charges,"£35,249.71",SSS Public Safety Limited
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£34,132.18",Volkswagen Group United Kingdom Ltd
08-Feb-24,Services & Legal Expenses,"£34,035.15",Merseyside Youth Association Ltd
15-Feb-24,Payment for Services,"£33,945.60",Wirral MBC
22-Feb-24,Telecommunications,"£33,340.46",North PB Limited
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,764.73",Volkswagen Group United Kingdom Ltd
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,764.73",Volkswagen Group United Kingdom Ltd
15-Feb-24,Forensic Fees - General,"£32,340.00",Overclockers UK Ltd
01-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
01-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
01-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
01-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
01-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
15-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
15-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
15-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
15-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£32,336.00",Premier Automotive Ltd (Kia)
22-Feb-24,Service Charges,"£32,010.10",BAM FM Ltd
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
22-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,246.68",Toyota (GB) PLC
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,202.20",Volkswagen Group United Kingdom Ltd
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£31,202.20",Volkswagen Group United Kingdom Ltd
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£30,808.80",Volkswagen Group United Kingdom Ltd
01-Feb-24,Support Staff Pensions Increase,"£30,731.79",Wirral MBC
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£29,931.00",Volkswagen Group United Kingdom Ltd
15-Feb-24,Services & Legal Expenses,"£29,476.99",Wirral MBC
29-Feb-24,Services & Legal Expenses,"£29,340.02",Liverpool City Council
29-Feb-24,Miscellaneous Expenses,"£28,339.78",Agiito Ltd
01-Feb-24,General Subscriptions,"£28,333.60",PS Administration Ltd (T/A XPS Administration)
15-Feb-24,Payment for Services,"£27,041.01",Causeway Charitable Services
01-Feb-24,Capital Asset Clearing A/C Plant & Equipment,"£26,987.98",Flexiform Business Furniture Limited
08-Feb-24,Payments to Other Police Authorities,"£25,671.74",Police and Crime Commissioner For Cheshire
01-Feb-24,Capital Asset Clearing A/c Vehicles,"£25,533.30",Premier Automotive Ltd (Kia)
01-Feb-24,Capital Asset Clearing A/c Vehicles,"£25,533.30",Premier Automotive Ltd (Kia)
15-Feb-24,Miscellaneous Contributions,"£25,000.00","The Police, Fire & Crime Commissioner for Northamptonshire"
01-Feb-24,Mechanical Reactive Maintenance,"£24,581.54",BAM FM Ltd
01-Feb-24,Service Charges,"£24,170.72",BAM FM Ltd
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£23,761.20",Premier Automotive Ltd (Kia)
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£23,761.20",Premier Automotive Ltd (Kia)
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£23,761.20",Premier Automotive Ltd (Kia)
22-Feb-24,Uniform and Clothing,"£23,349.74",Cooneen At Work Limited
08-Feb-24,Miscellaneous Expenses,"£22,848.70",Redacted
08-Feb-24,Capital Asset Clearing A/c Building,"£22,666.34",Mace Limited
15-Feb-24,Capital Asset Clearing A/c Vehicles,"£22,657.96",Peugeot Motor Co PLC
22-Feb-24,Services & Legal Expenses,"£21,990.04",Liverpool City Council (YOS Cycle Project)
22-Feb-24,Mobile Data Costs,"£21,882.53",EE Ltd (Airtime)
15-Feb-24,Mobile Data Costs,"£21,872.91",EE Ltd (Airtime)
01-Feb-24,Training Course Fees,"£21,080.88",Korn Ferry (UK) Limited
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£21,037.19",BMW (UK) Ltd
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£21,037.19",BMW (UK) Ltd
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£21,037.19",BMW (UK) Ltd
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£20,955.19",Volkswagen Group United Kingdom Ltd
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£20,955.19",Volkswagen Group United Kingdom Ltd
07-Feb-24,Allstar,"20,004.11",Direct Transport Costs
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£19,990.80",Volkswagen Group United Kingdom Ltd
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£19,990.80",Volkswagen Group United Kingdom Ltd
15-Feb-24,Payment for Services,"£19,795.99",Alchemmy Consulting Limited
21-Feb-24,Allstar,"19,587.04",Direct Transport Costs
15-Feb-24,Payment for Services,"£19,573.60",Liverpool City Council
16-Feb-24,HM Courts & Tribunals Service,"19,468.00",Services and Legal Expenses
29-Feb-24,Services & Legal Expenses,"£19,100.00",Sefton Metropolitan Borough Council
01-Feb-24,Miscellaneous Contributions,"£18,722.67",The PCC for Thames Valley
01-Feb-24,Comp. Operations,"£18,691.21",NDI Technologies Limited
05-Feb-24,Capital Asset Clearing A/c Building,"£18,631.00",Redacted
06-Feb-24,Capsticks Solicitors LLP,"18,631.00",Fixed Assets
22-Feb-24,Capital Asset Clearing A/C Plant & Equipment,"£18,420.84",Dell Corporation Limited
22-Feb-24,Capital Asset Clearing A/C Plant & Equipment,"£18,420.84",Dell Corporation Limited
22-Feb-24,Kennelling External Dogs,"£18,362.76",Redacted
28-Feb-24,Allstar,"17,991.30",Services and Legal Expenses
08-Feb-24,Services & Legal Expenses,"£17,760.00",St Helens MBC
15-Feb-24,Miscellaneous Expenses,"£17,664.54",Agiito Ltd
14-Feb-24,Allstar,"17,634.01",Direct Transport Costs
29-Feb-24,Services & Legal Expenses,"£17,000.00",Young Person's Advisory Service (YPAS)
01-Feb-24,Services & Legal Expenses,"£16,711.20",Redacted
29-Feb-24,Capital Asset Clearing A/c Vehicles,"£16,440.00",Sepura Limited
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£16,108.12",BMW (UK) Ltd
01-Feb-24,Consultants Fees,"£15,755.90",Cabinet Office
29-Feb-24,Payment for Services,"£15,563.88",Vibe Charitable Incorporated Organisation
01-Feb-24,Miscellaneous Contributions,"£15,372.00",West Mercia Police & Crime Commissioner
29-Feb-24,Services & Legal Expenses,"£15,000.00",Liverpool City Council
29-Feb-24,Payment for Services,"£15,000.00",Wirral MBC
08-Feb-24,Vehicle Repairs,"£14,944.73",PJ Automotive Ltd
15-Feb-24,Capital Asset Clearing A/c Vehicles,"£14,940.00",Sepura Limited
15-Feb-24,Data Network,"£14,437.20",EE Limited
08-Feb-24,Kennelling External Dogs,"£14,203.20",Redacted
15-Feb-24,Building Programmed Maintenance,"£14,176.46",Graham Asset Management Ltd
22-Feb-24,Services & Legal Expenses,"£14,091.38",Mace Limited
15-Feb-24,Capital Asset Clearing A/c Building,"£14,082.76",ISG Construction Ltd
01-Feb-24,Payment for Services,"£13,934.40",ECC Electronic Engineering
15-Feb-24,Mobile Data Costs,"£13,925.07",EE Ltd (Airtime)
22-Feb-24,Mobile Data Costs,"£13,915.23",EE Ltd (Airtime)
15-Feb-24,Support Staff Recruitment Advertisements,"£13,392.00",Medlock Partners Limited t/a Medlock Partners
16-Feb-24,HM Courts & Tribunals Service,"13,334.00",Services and Legal Expenses
08-Feb-24,Capital Asset Clearing A/c Vehicles,"£13,320.00",Sepura Limited
15-Feb-24,Outsourced Contractors,"£13,200.00",Snow Solutions Ltd
01-Feb-24,Vehicle Repairs,"£13,142.11",BMC Mechanical LTD
15-Feb-24,Data Network,"£13,135.77",Virgin Media Business
01-Feb-24,Services & Legal Expenses,"£13,021.80",Redacted
08-Feb-24,Capital Asset Clearing A/C Plant & Equipment,"£12,902.40",CBC Computer Systems Ltd
01-Feb-24,Electrical Reactive Maintenance,"£12,795.26",BAM FM Ltd
08-Feb-24,Vehicle Repairs,"£12,625.73",PJ Automotive Ltd
15-Feb-24,Payments to Local Authorities,"£12,624.18",Vibe Charitable Incorporated Organisation
01-Feb-24,Service Charges,"£12,584.56",BAM FM Ltd
22-Feb-24,H/W Purchases,"£12,375.96",Dell Corporation Limited
01-Feb-24,Vehicle Repairs,"£12,348.00",Automobile Association Developments Limited
29-Feb-24,Forensic Fees - Specialist,"£12,348.00",Redacted
08-Feb-24,Event Costs,"£12,150.00",Planning Express Limited
01-Feb-24,Forensic Fees - Specialist,"£12,102.82",Redacted
01-Feb-24,Payment for Services,"£12,000.00",Uniform Communications Limited
01-Feb-24,Payment for Services,"£11,998.80",Selectamark Security Systems
08-Feb-24,Forensic Fees - Specialist,"£11,942.30",Redacted
01-Feb-24,Mechanical Maintenance Contracts,"£11,859.22",BAM FM Ltd
08-Feb-24,Forensic Fees - Specialist,"£11,760.01",Redacted
29-Feb-24,Operational Equipment,"£11,758.80",Redacted
01-Feb-24,Electrical Reactive Maintenance,"£11,470.80",BAM FM Ltd
15-Feb-24,Services & Legal Expenses,"£11,334.10",Healthy Stadia CIC
29-Feb-24,Support Staff Recruitment Advertisements,"£11,202.00",Medlock Partners Limited t/a Medlock Partners
29-Feb-24,H/W Purchases,"£11,165.62",Insight Direct (UK) Ltd
15-Feb-24,Diesel,"£11,145.60",Standard Fuel Oils Limited
08-Feb-24,Payments to Other Police Authorities,"£11,112.79",Police and Crime Commissioner For Lancashire
15-Feb-24,Services & Legal Expenses,"£11,100.00",Knowsley Borough Council
29-Feb-24,Diesel,"£11,019.84",Standard Fuel Oils Limited
08-Feb-24,Diesel,"£10,980.48",Standard Fuel Oils Limited
15-Feb-24,Forensic Fees - Specialist,"£10,974.48",Redacted
15-Feb-24,Telecommunications,"£10,872.00",BT Global Services Solutions
22-Feb-24,Waste Disposal,"£10,699.52",Bagnall and Morris (Waste Services) Ltd t/a B&M Waste Services
15-Feb-24,Payment for Services,"£10,560.00",Wirral MBC
01-Feb-24,Forensic Fees - Specialist,"£10,374.00",Redacted
08-Feb-24,Training Course Fees,"£10,272.00",Police Digital Service
08-Feb-24,Miscellaneous Contributions,"£10,204.00",PCC for South Wales
08-Feb-24,Postages,"£10,100.00",Pitney Bowes Purchase Power/PrePay (postages)
08-Feb-24,Miscellaneous Contributions,"£10,000.00",Sefton M B C (General Payments) 
15-Feb-24,Payment for Services,"£9,900.00",Planning Express Limited
22-Feb-24,Firearms,"£9,828.00",Redacted
29-Feb-24,Services & Legal Expenses,"£9,646.50",Liverpool City Council (YOS Cycle Project)
01-Feb-24,Training Course Fees,"£9,624.00",Alan Baldwin Services
29-Feb-24,Operational Equipment,"£9,540.00",Redacted
