Payment Date, Description ,Gross Amount, Supplier Name 
 07-Sep-23,Third Party Vehicle Insurance,"£1,732,204.32",Arthur J Gallagher Insurance Brokers Ltd
 21-Sep-23,Electricity General Tariffs,"£288,045.91",EDF Energy Customers Limited
 07-Sep-23,Building Programmed Maintenance,"£267,242.82",Anthony Dever Construction Limited
 07-Sep-23,Payment for Services,"£243,073.79",Home Office Shared Service Centre
 08-Sep-23,Brokerage Fees,"£235,000.00",Redacted
 14-Sep-23,Service Charges,"£180,000.00",Merseyside Fire & Rescue Authority
 14-Sep-23,Capital Asset Clearing A/c Building,"£159,466.56",ISG Construction Ltd
 07-Sep-23,Consultants Fees,"£146,461.17",Mitie Care and Custody Ltd
 07-Sep-23,Miscellaneous Contributions,"£139,049.15",Police & Crime Commissioner For Cambridgeshire
 07-Sep-23,Miscellaneous Contributions,"£136,471.99",The PCC for Thames Valley
 21-Sep-23,MRDF - Principal,"£135,250.00",Wirral MBC
 21-Sep-23,Payment for Services,"£132,756.74",Home Office Shared Service Centre
25-Sep-23, AirWave Communications ,"£125,781.38", Airwave ASL 
 28-Sep-23,Services & Legal Expenses,"£100,462.60",Merseyside Fire & Rescue Authority
 07-Sep-23,Payment for Services,"£99,549.69",Home Office Shared Service Centre
 14-Sep-23,Miscellaneous Contributions,"£89,894.00",PCC for South Wales
 14-Sep-23,Support Staff-Temporary Staff Wages,"£80,364.82",Adecco UK Limited
 07-Sep-23,Payment for Services,"£80,000.00",Positive Futures North Liverpool Limited
 28-Sep-23,Payment for Services,"£78,082.80",Treble 5 Treble 1 Ltd
 07-Sep-23,Insurance,"£74,011.68",Arthur J Gallagher Insurance Brokers Ltd
 28-Sep-23,Rates,"£73,216.00",Liverpool City Council1
 28-Sep-23,Payments to Other Police Authorities,"£69,370.29",GMCA (PCC for Greater Manchester)
 28-Sep-23,Payments to Other Police Authorities,"£64,287.36",Civil Nuclear Constabulary
 21-Sep-23,Furniture Purchases,"£62,967.10",Flexiform Business Furniture Limited
 21-Sep-23,Comp. Consumeables,"£54,000.00",GoodSAM Limited
 28-Sep-23,Rates,"£53,248.00",Liverpool City Council1
 21-Sep-23,Firearms,"£53,104.80",Home Office Shared Service Centre
 21-Sep-23,Forensic Fees - General,"£52,614.00",Redacted
 21-Sep-23,Furniture Purchases,"£50,494.50",Flexiform Business Furniture Limited
 07-Sep-23,Support Staff-Temporary Staff Wages,"£49,312.74",Adecco UK Limited
 21-Sep-23,Furniture Purchases,"£45,932.04",Flexiform Business Furniture Limited
 21-Sep-23,Comp. Operations,"£42,994.80",Redacted
 28-Sep-23,Rates,"£42,496.00",Liverpool City Council1
 21-Sep-23,Support Staff-Temporary Staff Wages,"£40,697.64",Adecco UK Limited
 28-Sep-23,Payments to Other Police Authorities,"£40,328.12",Police and Crime Commissioner For Cheshire
 14-Sep-23,Capital Asset Clearing A/C Plant & Equipment,"£39,948.00",Redacted
 21-Sep-23,Furniture Purchases,"£39,268.98",Flexiform Business Furniture Limited
 28-Sep-23,Rates,"£38,912.00",Liverpool City Council1
 28-Sep-23,Training Course Fees,"£38,397.92",Liverpool John Moores University
 21-Sep-23,Equipment Purchases,"£37,443.04",Tuskerdirect Limited
 14-Sep-23,Data Network,"£35,630.33",Siemens Plc (Building Technologies)
 07-Sep-23,Comp. Operations,"£35,568.00",Simunix Ltd
 21-Sep-23,Payment for Services,"£35,197.08",Police and Crime Commissioner For Lancashire
 28-Sep-23,Comp. Operations,"£35,150.73",Jaama Ltd
 28-Sep-23,Miscellaneous Expenses,"£33,824.92",Agiito Ltd
 07-Sep-23,Employers Liability & TP,"£33,499.20",Arthur J Gallagher Insurance Brokers Ltd
 14-Sep-23,Payments to Other Police Authorities,"£32,490.05",Police and Crime Commissioner For Cumbria
 21-Sep-23,Forensic Fees - General,"£32,232.00",Redacted
 28-Sep-23,Network Operating Systems,"£31,008.97",Government Communications Headquarters (GCHQ)
 21-Sep-23,Furniture Purchases,"£27,943.02",Flexiform Business Furniture Limited
 28-Sep-23,General Subscriptions,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
 14-Sep-23,Capital Asset Clearing A/C Plant & Equipment,"£26,817.54",Dell Corporation Limited
 21-Sep-23,Forensic Fees - General,"£26,544.00",Redacted
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
 28-Sep-23,Capital Asset Clearing A/c Vehicles,"£26,424.29",Premier Automotive Ltd (Kia)
