Payment Date, Description ,Gross Amount, Supplier Name 
03-Aug-23,Employers Liability & TP,"£851,080.16",Arthur J Gallagher Insurance Brokers Ltd
31-Aug-23,Capital Asset Clearing A/c Building,"£773,398.96",ISG Construction Ltd
03-Aug-23,Payments to Other Police Authorities,"£666,134.18",Police and Crime Commissioner For Cheshire
24-Aug-23,Electricity General Tariffs,"£381,803.18",EDF Energy Customers Limited
03-Aug-23,Service Charges,"£321,552.00",Merseyside Fire & Rescue Authority
24-Aug-23,Comp. Operations,"£202,393.26",Mayor`s Office for Policing and Crime (MOPC)
03-Aug-23,S/W Licences,"£200,477.52",Insight Direct (UK) Ltd
03-Aug-23,Premises Insurance,"£194,412.61",Arthur J Gallagher Insurance Brokers Ltd
03-Aug-23,Building Programmed Maintenance,"£186,270.92",Anthony Dever Construction Limited
10-Aug-23,Miscellaneous Contributions,"£183,048.36",Police and Crime Commissioner For Cheshire
10-Aug-23,Services & Legal Expenses,"£181,500.00",Young Person's Advisory Service (YPAS)
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£176,607.06",Flexiform Business Furniture Limited
24-Aug-23,Building Programmed Maintenance,"£168,035.83",Graham Asset Management Ltd
10-Aug-23,Payment for Services,"£160,000.00",Liverpool FC Foundation
31-Aug-23,Consultants Fees,"£155,526.46",Mitie Care and Custody Ltd
17-Aug-23,Miscellaneous Contributions,"£154,706.26",The PCC for Thames Valley
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£143,991.00",SSS Public Safety Limited
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£139,638.06",Flexiform Business Furniture Limited
31-Aug-23,Payments to Other Police Authorities,"£135,325.00",West Midlands Police
10-Aug-23,Miscellaneous Contributions,"£129,690.89",Kent Police
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£127,709.24",Flexiform Business Furniture Limited
10-Aug-23,Miscellaneous Contributions,"£121,717.00",West Mercia Police & Crime Commissioner
24-Aug-23,AirWave Communications,"£120,475.12",Airwave ASL
31-Aug-23,Capital Asset Clearing A/C Plant & Equipment,"£113,115.49",Flexiform Business Furniture Limited
24-Aug-23,Support Staff-Temporary Staff Wages,"£97,224.07",Adecco UK Limited
24-Aug-23,Payments to Other Police Authorities,"£92,632.09",Police and Crime Commissioner For Hampshire
10-Aug-23,Comp. Operations,"£91,570.51",Redacted
23-Aug-23,S/W Licences,"£87,230.00",Redacted
03-Aug-23,S/W Licences,"£84,892.80",Redacted
10-Aug-23,Miscellaneous Contributions,"£84,500.00",PCC for South Wales
03-Aug-23,Support Staff-Temporary Staff Wages,"£80,893.42",Adecco UK Limited
24-Aug-23,Building Programmed Maintenance,"£77,827.27",Graham Asset Management Ltd
03-Aug-23,Payment for Services,"£76,000.00",Nobody Left Behind CIC
17-Aug-23,Miscellaneous Contributions,"£74,993.34",Police & Crime Commissioner for Suffolk
24-Aug-23,Payment for Services,"£74,920.00",Tranmere Rovers in the Community
03-Aug-23,Rates,"£73,216.00",Liverpool City Council1
31-Aug-23,Rates,"£73,216.00",Liverpool City Council1
10-Aug-23,Miscellaneous Contributions,"£71,558.64",West Yorkshire Combined Authority (WYCA)
10-Aug-23,Miscellaneous Contributions,"£71,225.00",Police and Crime Commissioner For Essex
10-Aug-23,Miscellaneous Contributions,"£66,550.39",PCC for Wiltshire
31-Aug-23,Support Staff-Temporary Staff Wages,"£63,373.98",Adecco UK Limited
10-Aug-23,Support Staff-Temporary Staff Wages,"£62,899.25",Adecco UK Limited
10-Aug-23,Services & Legal Expenses,"£62,500.00",Redacted
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£62,438.68",Ciceley Commercials Limited
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£62,438.68",Ciceley Commercials Limited
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£62,438.68",Ciceley Commercials Limited
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£62,438.68",Ciceley Commercials Limited
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£62,438.68",Ciceley Commercials Limited
10-Aug-23,Miscellaneous Contributions,"£62,215.96",Warwickshire PCC
10-Aug-23,Miscellaneous Contributions,"£58,398.47",Durham Constabulary
31-Aug-23,Comp. Operations,"£55,328.40",Redacted
10-Aug-23,Miscellaneous Contributions,"£54,424.56",PCC for Norfolk
17-Aug-23,Services & Legal Expenses,"£54,000.00",Magistra Civitas CIC
03-Aug-23,Rates,"£53,248.00",Liverpool City Council1
31-Aug-23,Rates,"£53,248.00",Liverpool City Council1
10-Aug-23,Comp. Operations,"£52,629.77",Police Digital Service
24-Aug-23,Vehicle Costs,"£50,350.10",A P Fleet Services Ltd
10-Aug-23,Miscellaneous Contributions,"£50,155.00",Police and Crime Commissioner For Essex
17-Aug-23,Miscellaneous Contributions,"£49,802.89",The PCC for Thames Valley
17-Aug-23,Outsourced Contractors,"£47,941.50",Softcat Plc
31-Aug-23,Payments to Other Police Authorities,"£46,433.37",Police and Crime Commissioner For Cheshire
10-Aug-23,Miscellaneous Contributions,"£46,280.58",Police & Crime Commissioner For Northumbria
10-Aug-23,Miscellaneous Contributions,"£46,084.25",Police & Crime Commissioner For Northumbria
03-Aug-23,Rates,"£42,496.00",Liverpool City Council1
31-Aug-23,Rates,"£42,496.00",Liverpool City Council1
24-Aug-23,Training Course Fees,"£42,172.80",College of Policing Limited
17-Aug-23,S/W Licences,"£42,000.00",Redacted
17-Aug-23,Miscellaneous Contributions,"£41,860.55",The Chief Constable of Staffordshire Police
17-Aug-23,Miscellaneous Contributions,"£41,314.82",Police and Crime Commissioner For Lincolnshire
24-Aug-23,Payment for Services,"£40,061.00",Activate Body and Mind Community Activities CIC
03-Aug-23,Payment for Services,"£39,977.52",The Anthony Walker Foundation
31-Aug-23,Miscellaneous Contributions,"£39,384.61",Police and Crime Commissioner for Humberside
17-Aug-23,Payment for Services,"£39,200.00",Local Solutions
03-Aug-23,Rates,"£38,912.00",Liverpool City Council1
31-Aug-23,Rates,"£38,912.00",Liverpool City Council1
17-Aug-23,Miscellaneous Contributions,"£38,866.47",The Police & Crime Commissioner North Yorkshire
17-Aug-23,Payment for Services,"£38,835.00",Toxteth El8te CIC
10-Aug-23,Miscellaneous Contributions,"£38,822.45",West Yorkshire Combined Authority (WYCA)
24-Aug-23,Equipment Purchases,"£38,780.84",Redacted
17-Aug-23,Support Staff-Temporary Staff Wages,"£38,718.88",Adecco UK Limited
10-Aug-23,Services & Legal Expenses,"£37,500.00",Merseyside Youth Association Ltd
17-Aug-23,Miscellaneous Contributions,"£37,288.00",The PCC for Thames Valley
24-Aug-23,Payments to Other Police Authorities,"£36,602.36",Police and Crime Commissioner For Cumbria
24-Aug-23,Training Course Fees,"£35,158.20",College of Policing Limited
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£34,090.77",Vauxhall Motors Ltd
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£34,090.77",Vauxhall Motors Ltd
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£34,090.77",Vauxhall Motors Ltd
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£34,090.77",Vauxhall Motors Ltd
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£34,090.77",Vauxhall Motors Ltd
17-Aug-23,Capital Asset Clearing A/c Vehicles,"£34,090.77",Vauxhall Motors Ltd
31-Aug-23,Insurance Brokerage Fees,"£33,915.00",Liverpool University Hospitals NHS Foundation Trust (MIAA)
31-Aug-23,Consultants Fees,"£33,125.35",Cabinet Office
31-Aug-23,Miscellaneous Contributions,"£32,505.22",Redacted
03-Aug-23,Services & Legal Expenses,"£32,500.00",Redacted
17-Aug-23,Miscellaneous Contributions,"£31,845.00",The PCC for Thames Valley
17-Aug-23,Payment for Services,"£30,800.62",Access Bookings Limited
10-Aug-23,Payment for Services,"£30,122.54",West Mercia Police & Crime Commissioner
10-Aug-23,Miscellaneous Expenses,"£30,119.24",Redacted
10-Aug-23,Miscellaneous Contributions,"£30,000.00",Police and Crime Commissioner For Avon & Somerset
17-Aug-23,Data Network,"£30,000.00",Merseytravel
03-Aug-23,Hire of Premises,"£29,904.00",West Kirby Grammar School
24-Aug-23,Capital Asset Clearing A/c Vehicles,"£29,327.80",Peugeot Motor Co PLC
03-Aug-23,Payments to Other Police Authorities,"£29,111.00",Police Superintendents' Association Limited
03-Aug-23,Capital Asset Clearing A/c Intangibles,"£28,879.98",Civica UK Limited
10-Aug-23,Comp. Operations,"£28,219.32",Redacted
03-Aug-23,General Subscriptions,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
24-Aug-23,General Subscriptions,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
10-Aug-23,Miscellaneous Contributions,"£27,825.78",Police and Crime Commissioner For Lancashire
24-Aug-23,Payment for Services,"£27,687.24",St Helens MBC
10-Aug-23,Miscellaneous Contributions,"£27,672.91",Police & Crime Commissioner For Hertfordshire
03-Aug-23,Refreshments,"£27,237.60",West Kirby Grammar School
10-Aug-23,Miscellaneous Contributions,"£25,966.90",Police & Crime Commissioner For Hertfordshire
03-Aug-23,Payments to Local Authorities,"£25,804.98",Experian Limited
31-Aug-23,Miscellaneous Contributions,"£25,509.00",Police and Crime Commissioner for Humberside
24-Aug-23,Training Course Fees,"£25,392.00",College of Policing Limited
31-Aug-23,Miscellaneous Contributions,"£25,000.00",The Police and Crime Commissioner for Dyfed Powys
10-Aug-23,Miscellaneous Contributions,"£24,769.00",Police and Crime Commissioner For Essex
31-Aug-23,Payment for Services,"£24,580.81",Police & Crime Commissioner for North Wales
10-Aug-23,Miscellaneous Contributions,"£24,019.81",Bedfordshire Police Authority
24-Aug-23,Training Course Fees,"£23,783.50",Oxford University Press
24-Aug-23,Payment for Services,"£23,780.34",Causeway Charitable Services
17-Aug-23,Forensic Fees - General,"£23,698.68",Redacted
17-Aug-23,Uniform and Clothing,"£23,349.74",Cooneen At Work Limited
24-Aug-23,Uniform and Clothing,"£23,349.74",Cooneen At Work Limited
31-Aug-23,S/W Licences,"£23,249.38",Softcat Plc
10-Aug-23,Miscellaneous Contributions,"£22,991.00",PCC for South Wales
24-Aug-23,Payment for Services,"£22,825.96",Causeway Charitable Services
10-Aug-23,Payments to Local Authorities,"£22,765.04",Police and Crime Commissioner For Cheshire
10-Aug-23,Miscellaneous Contributions,"£22,623.98",West Yorkshire Combined Authority (WYCA)
31-Aug-23,Promotional Advertising,"£22,304.40",Socialike Media Ltd t/a Springboard
24-Aug-23,Payment for Services,"£22,134.46",Causeway Charitable Services
03-Aug-23,Payment for Services,"£22,069.72",Causeway Charitable Services
17-Aug-23,Miscellaneous Contributions,"£22,053.01",The PCC for Thames Valley
10-Aug-23,Miscellaneous Contributions,"£20,778.18",West Yorkshire Combined Authority (WYCA)
24-Aug-23,Training Course Fees,"£20,396.40",Ultimat Defence Limited
03-Aug-23,Rates,"£20,331.00",Liverpool City Council1
31-Aug-23,Rates,"£20,331.00",Liverpool City Council1
03-Aug-23,Forensic Fees - General,"£19,807.44",Redacted
17-Aug-23,S/W Licences,"£18,923.80",Oracle Corporation Uk Ltd
10-Aug-23,Miscellaneous Contributions,"£18,907.78",PCC For Leicestershire
10-Aug-23,Payments to Local Authorities,"£18,535.91",Experian Limited
03-Aug-23,Payments to Local Authorities,"£18,491.20",Police and Crime Commissioner For Cheshire
03-Aug-23,Payment for Services,"£18,392.00",Cycle of Life Ltd
24-Aug-23,Vehicle Costs,"£18,372.74",PJ Automotive Ltd
09-Aug-23,Direct Transport Costs,"£18,241.62",Allstar
10-Aug-23,Interpreters Fees,"£18,230.53",Language Line TI Limited
17-Aug-23,Building Programmed Maintenance,"£17,749.22",Greenmount Projects Limited
03-Aug-23,Forensic Fees - General,"£17,707.44",Redacted
10-Aug-23,Miscellaneous Contributions,"£17,611.73",PCC for South Wales
30-Aug-23,Direct Transport Costs,"£17,238.34",Allstar
24-Aug-23,Capital Asset Clearing A/c Intangibles,"£17,060.00",Simpson Associates Information Services Ltd
10-Aug-23,Miscellaneous Contributions,"£17,031.41",Bedfordshire Police Authority
23-Aug-23,Direct Transport Costs,"£16,933.49",Allstar
02-Aug-23,Direct Transport Costs,"£16,802.07",Allstar
24-Aug-23,Kennelling External Dogs,"£16,735.68",Redacted
17-Aug-23,Miscellaneous Contributions,"£16,503.88",The PCC for Thames Valley
24-Aug-23,Garage Equipment,"£16,251.84",Redacted
31-Aug-23,Payment for Services,"£16,173.74",KYM Knowsley Youth Mutual
10-Aug-23,Miscellaneous Contributions,"£16,131.06",Bedfordshire Police Authority
24-Aug-23,Miscellaneous Contributions,"£16,056.72",PCC For Devon & Cornwall
31-Aug-23,H/W Purchases,"£16,038.58",Switchshop Ltd
17-Aug-23,Services & Legal Expenses,"£16,000.00",Redacted
10-Aug-23,Payments to Local Authorities,"£15,874.06",Experian Limited
17-Aug-23,Miscellaneous Contributions,"£15,796.58",The PCC for Thames Valley
31-Aug-23,Training Course Fees,"£15,793.65",Police and Crime Commissioner For Cheshire
17-Aug-23,Forensic Fees - General,"£15,597.00",Redacted
03-Aug-23,Tyres & Tubes,"£15,519.61",ATS Euromaster Limited
31-Aug-23,Comp. Operations,"£15,053.72",Redacted
16-Aug-23,Direct Transport Costs,"£14,919.15",Allstar
03-Aug-23,Tyres & Tubes,"£14,727.78",ATS Euromaster Limited
31-Aug-23,Comp. Operations,"£14,681.74",Redacted
31-Aug-23,Payment for Services,"£14,550.00",Positive Pathways North West CIC
31-Aug-23,Forensic Fees - General,"£14,512.74",Redacted
17-Aug-23,Services & Legal Expenses,"£14,200.00",Netherton Park Community Association
31-Aug-23,Miscellaneous Expenses,"£13,971.99",Agiito Ltd
17-Aug-23,Miscellaneous Contributions,"£13,930.86",The PCC for Thames Valley
31-Aug-23,S/W Licences,"£13,845.90",UKAS
03-Aug-23,Waste Disposal,"£13,250.40",Suez Recycling and Recovery UK Ltd
17-Aug-23,Forensic Fees - General,"£13,162.60",Redacted
