Payment Date, Description ,Gross Amount, Supplier Name 
27-Jul-23, S/W Licences ,"£2,726,982.46",Insight Direct (UK) Ltd
20-Jul-23, Payments to Other Police Authorities ,"£2,442,324.49",GMCA (PCC for Greater Manchester)
13-Jul-23, Comp. Operations ,"£1,293,378.11",Niche Technology UK Limited
13-Jul-23, Capital Asset Clearing A/c Building ,"£1,057,103.99",ISG Construction Ltd
13-Jul-23, Payments to Other Police Authorities ,"£994,207.19",Police and Crime Commissioner For Lancashire
20-Jul-23, Payment for Services ,"£663,475.82",Hardstaff Barriers A Division of Hill & Smith Limited
13-Jul-23, Comp. Operations ,"£480,000.00",Nice Systems UK Limited
13-Jul-23, Electricity General Tariffs ,"£465,028.30",EDF Energy Customers Limited
27-Jul-23, Services & Legal Expenses ,"£221,118.00",Crea8ing Community t/a Crea8ing Careers
25-Jul-23, AirWave Communications ,"£187,885.34",Airwave ASL
06-Jul-23, Payment for Services ,"£150,000.00",Everton in the Community
13-Jul-23, Payments to Other Police Authorities ,"£147,967.42",Police and Crime Commissioner For Cheshire
27-Jul-23, Consultants Fees ,"£144,194.84",Mitie Care and Custody Ltd
13-Jul-23, Building Programmed Maintenance ,"£100,632.68",Anthony Dever Construction Limited
13-Jul-23, General Subscriptions ,"£96,000.00",Redacted
27-Jul-23, Gas General Tariffs ,"£95,577.50",TotalEnergies Gas & Power Limited
27-Jul-23, Support Staff-Temporary Staff Wages ,"£74,641.64",Adecco UK Limited
06-Jul-23, Services & Legal Expenses ,"£71,000.00",St Helens MBC
27-Jul-23, Support Staff-Temporary Staff Wages ,"£69,699.77",Adecco UK Limited
27-Jul-23, Support Staff-Temporary Staff Wages ,"£69,537.23",Adecco UK Limited
27-Jul-23, Services & Legal Expenses ,"£65,000.00",Redacted
13-Jul-23, Support Staff-Temporary Staff Wages ,"£63,433.33",Adecco UK Limited
13-Jul-23, Firearms ,"£62,052.00",Redacted
27-Jul-23, Support Staff-Temporary Staff Wages ,"£61,234.43",Adecco UK Limited
27-Jul-23, Water & Sewerage Rates ,"£54,818.37",Water Plus Limited
27-Jul-23, Forensic Fees - General ,"£49,000.56",Siemens Financial Services Ltd
06-Jul-23, Outsourced Contractors ,"£47,941.50",Softcat Plc
20-Jul-23, Payments to Other Police Authorities ,"£46,236.65",Police and Crime Commissioner For Cheshire
13-Jul-23, Building Quoted Works ,"£43,009.80",Pure Audio Visual Limited
06-Jul-23, Payment for Services ,"£42,342.00",Think Fast Academy CIC
20-Jul-23, Payment for Services ,"£42,000.00",St Helens MBC
06-Jul-23, Payment for Services ,"£41,654.00",Parents Against Child Exploitation PACE
27-Jul-23, Capital Asset Clearing A/c Intangibles ,"£40,800.00",Bluestar Software Ltd
06-Jul-23, Payment for Services ,"£40,500.00",Chorus Intelligence Limited
20-Jul-23, Equipment Purchases ,"£40,427.69",Tuskerdirect Limited
27-Jul-23, Miscellaneous Expenses ,"£39,494.52",Agiito Ltd
06-Jul-23, Payment for Services ,"£39,109.00",Knowsley Borough Council
13-Jul-23, Outsourced Contractors ,"£38,777.35",Kier Business Services Limited
27-Jul-23, Payment for Services ,"£35,876.49",Venus Working Creatively with Young Women
20-Jul-23, Payments to Other Police Authorities ,"£35,280.04",Police and Crime Commissioner For Cumbria
27-Jul-23, Payment for Services ,"£35,000.00",Parenting 2000
20-Jul-23, Capital Asset Clearing A/C Plant & Equipment ,"£34,549.20",Dell Corporation Ltd
20-Jul-23, Capital Asset Clearing A/C Plant & Equipment ,"£34,549.20",Dell Corporation Ltd
20-Jul-23, Capital Asset Clearing A/C Plant & Equipment ,"£34,549.20",Dell Corporation Ltd
20-Jul-23, Capital Asset Clearing A/C Plant & Equipment ,"£34,549.20",Dell Corporation Ltd
27-Jul-23, Payment for Services ,"£31,968.40",Liverpool County FA
13-Jul-23, Miscellaneous Contributions ,"£29,764.86",Mayor`s Office for Policing and Crime (MOPC)
13-Jul-23, Forensic Fees - General ,"£28,466.28",Orchid Cellmark Ltd
13-Jul-23, Payment for Services ,"£28,200.00",Birkenhead Park Football Club
13-Jul-23, General Subscriptions ,"£28,157.76",PS Administration Ltd (T/A XPS Administration)
20-Jul-23, General Subscriptions ,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
27-Jul-23, Telecommunications ,"£27,816.00",BT Global Services Solutions
20-Jul-23, Forensic Fees - General ,"£27,057.60",Redacted
06-Jul-23, Payments to Other Police Authorities ,"£26,107.90",Police and Crime Commissioner For Cheshire
27-Jul-23, Services & Legal Expenses ,"£25,000.00",Merseyside Youth Association Ltd
