Payment Date, Description ,Gross Amount, Supplier Name 
16-Nov-23, Payments to Other Police Authorities ,"£2,382,580.63",GMCA (PCC for Greater Manchester)
16-Nov-23, Aviation ,"£800,733.00",West Yorkshire Combined Authority (WYCA)
02-Nov-23, Payments to Other Police Authorities ,"£734,861.05",Police and Crime Commissioner For Cheshire
09-Nov-23, Electricity General Tariffs ,"£584,938.70",EDF Energy Customers Limited
23-Nov-23, Electricity General Tariffs ,"£390,610.67",EDF Energy Customers Limited
09-Nov-23, Payments to Other Police Authorities ,"£328,371.59",Mayor`s Office for Policing and Crime (MOPC)
23-Nov-23, Uniform and Clothing ,"£254,704.02",Hunter Apparel Solutions Ltd
16-Nov-23, Payment for Services ,"£245,407.34",Hardstaff Barriers A Division of Hill & Smith Limited
30-Nov-23, Miscellaneous Contributions ,"£233,557.68",Police and Crime Commissioner For Cheshire
02-Nov-23, Building Programmed Maintenance ,"£196,259.50",Anthony Dever Construction Limited
30-Nov-23, Services & Legal Expenses ,"£187,284.33",Crea8ing Community t/a Crea8ing Careers
30-Nov-23, Services & Legal Expenses ,"£181,500.00",Young Person's Advisory Service (YPAS)
02-Nov-23, Payment for Services ,"£176,895.57",NHS England - Lancashire
02-Nov-23, Building Programmed Maintenance ,"£174,254.60",Graham Asset Management Ltd
16-Nov-23, Gas General Tariffs ,"£165,783.76",TotalEnergies Gas & Power Limited
16-Nov-23, Payments to Other Police Authorities ,"£147,343.24",Police & Crime Commissioner for North Wales
16-Nov-23, Consultants Fees ,"£146,461.17",Mitie Care and Custody Ltd
23-Nov-23, AirWave Communications ,"£139,951.06",Airwave ASL
16-Nov-23, Payments to Other Police Authorities ,"£137,109.45",Police & Crime Commissioner for North Wales
16-Nov-23, Payments to Other Police Authorities ,"£133,328.80",Police & Crime Commissioner for North Wales
30-Nov-23, Subscibers and Billing History Charges ,"£132,756.74",Home Office Shared Service Centre
30-Nov-23, Payment for Services ,"£132,300.00",ASC INT Ltd
16-Nov-23, Payments to Other Police Authorities ,"£130,717.89",Police & Crime Commissioner for North Wales
16-Nov-23, Payments to Other Police Authorities ,"£126,977.72",Police & Crime Commissioner for North Wales
02-Nov-23, Miscellaneous Contributions ,"£111,000.00",Community Foundation for Lancashire and Merseyside (High Sheriff Tst)
30-Nov-23, Building Programmed Maintenance ,"£87,888.35",Anthony Dever Construction Limited
16-Nov-23, Support Staff-Temporary Staff Wages ,"£83,539.81",Adecco UK Limited
23-Nov-23, Support Staff-Temporary Staff Wages ,"£78,538.66",Adecco UK Limited
30-Nov-23, Support Staff-Temporary Staff Wages ,"£73,357.19",Adecco UK Limited
02-Nov-23, Rates ,"£73,216.00",Liverpool City Council
02-Nov-23, Payments to Other Police Authorities ,"£71,875.25",Police and Crime Commissioner For Cheshire
16-Nov-23, Capital Asset Clearing A/c Vehicles ,"£68,086.10",Volkswagen Group United Kingdom Ltd
30-Nov-23, Capital Asset Clearing A/c Vehicles ,"£68,086.10",Volkswagen Group United Kingdom Ltd
16-Nov-23, Support Staff-Temporary Staff Wages ,"£67,786.99",Adecco UK Limited
02-Nov-23, Support Staff-Temporary Staff Wages ,"£67,539.56",Adecco UK Limited
30-Nov-23, H/W Purchases ,"£63,733.64",Softcat Plc
