Payment Date,Description,Gross Amount,Supplier Name,Procurement Method
07-Mar-24,Immediate Justice Pilots Specific Grant,"£124,434.00",Causeway Charitable Services,Local Contract - Quotation/Tender
07-Mar-24,Victim Support Grant,"£56,724.00",RASA Centre Ltd,Local Contract - Quotation/Tender
07-Mar-24,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
07-Mar-24,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
14-Mar-24,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
21-Mar-24,District Audit Fee,"£20,946.00",Knowsley MBC,Grant
07-Mar-24,Community Safety Fund,"£17,760.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
07-Mar-24,Payment for Services,"£11,040.00",Socialike Media Ltd t/a Springboard,Considered Best Value
07-Mar-24,Support Staff Recruitment Advertisements,"£4,168.00",Adecco UK Limited,Local Contract - Quotation/Tender
14-Mar-24,Training Course Fees,£534.00,Govnet Communications (Partnership Media Group Ltd),Considered Best Value
