Payment Date, Description ,Gross Amount, Supplier Name 
18-May-23, Capital Asset Clearing A/c Building ,"£1,527,255.46", ISG Construction Ltd 
11-May-23, Services & Legal Expenses ,"£321,020.33", Young Person's Advisory Service (YPAS) 
11-May-23, Electricity General Tariffs ,"£319,281.33", EDF Energy 
11-May-23, Services & Legal Expenses ,"£145,079.00", Sefton Metropolitan Borough Council 
11-May-23, Consultants Fees ,"£144,194.84", Mitie Care and Custody Ltd 
11-May-23, Furniture Purchases ,"£132,429.19", Posturite (UK) Ltd 
24-May-23, Airwave ASL ,"£123,250.51", Allstar 
11-May-23, Miscellaneous Contributions ,"£100,031.25", The PCC for Thames Valley 
11-May-23, Building Programmed Maintenance ,"£95,917.08", Greenmount Projects Limited 
25-May-23, Payment for Services ,"£93,600.00", Cirium/ExpertHR 
04-May-23, Rates ,"£73,216.00", Liverpool City Council1 
11-May-23, Payment for Services ,"£72,900.00", Chorus Intelligence Limited 
18-May-23, General Subscriptions ,"£70,000.00", Redacted 
11-May-23, Payments to Other Police Authorities ,"£63,111.62", Police and Crime Commissioner For Cheshire 
11-May-23, Payments to Other Police Authorities ,"£60,000.00", Cyber Resilience Centre Ltd t/a North West Cyber Resilience Centre 
25-May-23, Payments to Other Police Authorities ,"£59,651.86"," The Police, Fire & Crime Commissioner for Northamptonshire "
18-May-23, Furniture Purchases ,"£58,351.68", Posturite (UK) Ltd 
18-May-23, Furniture Purchases ,"£57,163.68", Posturite (UK) Ltd 
18-May-23, Miscellaneous Expenses ,"£56,241.01", Agiito Ltd 
18-May-23, S/W Licences ,"£54,673.16", Police Digital Service 
18-May-23, Payment for Services ,"£54,533.51", The Open University 
04-May-23, Miscellaneous Contributions ,"£53,872.00", West Mercia Police & Crime Commissioner 
04-May-23, Rates ,"£53,248.00", Liverpool City Council1 
11-May-23, Services & Legal Expenses ,"£53,220.64", Merseyside Youth Association Ltd 
11-May-23, Services & Legal Expenses ,"£52,168.00", Merseyside Youth Association Ltd 
25-May-23, Capital Asset Clearing A/c Building ,"£50,622.00", Infrasys Ltd 
25-May-23, Services & Legal Expenses ,"£50,400.00", Calico Enterprise Ltd t/a AFTA Thought Training Consultants 
11-May-23, Capital Asset Clearing A/c Vehicles ,"£48,132.27", Volvo Car UK Limited 
11-May-23, Capital Asset Clearing A/c Vehicles ,"£48,132.27", Volvo Car UK Limited 
11-May-23, Capital Asset Clearing A/c Vehicles ,"£48,132.27", Volvo Car UK Limited 
11-May-23, Capital Asset Clearing A/c Vehicles ,"£48,132.27", Volvo Car UK Limited 
11-May-23, Capital Asset Clearing A/c Vehicles ,"£48,132.27", Volvo Car UK Limited 
04-May-23, S/W Licences ,"£48,048.00", Alliantist Limited 
18-May-23, Miscellaneous Expenses ,"£45,589.14", Redacted 
11-May-23, Miscellaneous Contributions ,"£45,192.67", West Yorkshire Combined Authority (WYCA) 
04-May-23, Support Staff-Temporary Staff Wages ,"£45,018.61", Adecco UK Limited 
11-May-23, Capital Asset Clearing A/c Vehicles ,"£43,765.00", Peoples Liverpool Limited 
04-May-23, Rates ,"£42,496.00", Liverpool City Council1 
04-May-23, Comp. Operations ,"£40,954.70", ABM Intelligence Limited 
04-May-23, Rates ,"£38,912.00", Liverpool City Council1 
25-May-23, Capital Asset Clearing A/c Intangibles ,"£36,660.00", Bluestar Software Ltd 
11-May-23, Equipment Purchases ,"£36,134.93", Tuskerdirect Limited 
25-May-23, Building Programmed Maintenance ,"£33,395.85", Anthony Dever Construction Limited 
18-May-23, S/W Licences ,"£33,375.00", Softcat Plc 
18-May-23, Capital Asset Clearing A/c Vehicles ,"£30,925.00", Peoples Liverpool Limited 
25-May-23, S/W Licences ,"£30,040.80", GB Group Plc 
18-May-23, Capital Asset Clearing A/c Vehicles ,"£28,999.00", Redacted 
18-May-23, Payment for Services ,"£28,737.70", J & S Accessories Limited 
18-May-23, Capital Asset Clearing A/c Vehicles ,"£28,714.00", Redacted 
18-May-23, Payment for Services ,"£28,572.06", Redacted 
25-May-23, Forensic Fees - General ,"£28,440.00", Analytical Services International Ltd 
18-May-23, Forensic Fees - General ,"£28,193.40", Orchid Cellmark Ltd 
18-May-23, General Subscriptions ,"£27,860.00", PS Administration Ltd (T/A XPS Administration) 
11-May-23, Diesel ,"£27,323.16", Standard Fuel Oils Limited 
18-May-23, Medical Specialist ,"£26,964.72", Health Assured Ltd 
18-May-23, Payment for Services ,"£26,065.30", Experian Ltd 
18-May-23, Capital Asset Clearing A/c Vehicles ,"£25,459.00", Swansway Garages Ltd t/a Swansway Chester Peugeot 
11-May-23, Services & Legal Expenses ,"£25,020.00", Ariel Trust 
25-May-23, Services & Legal Expenses ,"£25,000.00", Building Bonds Limited 
25-May-23, Forensic Fees - General ,"£23,490.00", Police and Crime Commissioner For Lancashire 
18-May-23, Uniform and Clothing ,"£23,349.74", Cooneen At Work Limited 
25-May-23, Comp. Operations ,"£22,883.52", Virgin Media Ltd
11-May-23, Mobile Data Costs ,"£22,491.36", EE Ltd (Airtime) 
25-May-23, Printing Stationery & Office Exps. ,"£21,199.20", Socialike Media Ltd t/a Springboard 
11-May-23, Miscellaneous Contributions ,"£20,647.10", West Yorkshire Combined Authority (WYCA) 
11-May-23, Miscellaneous Contributions ,"£20,354.99", The PCC for Thames Valley 
04-May-23, Rates ,"£20,331.00", Liverpool City Council1 
25-May-23, Payment for Services ,"£20,000.00", Tomorrow`s Women Wirral 
