Payment Date, Description ,Gross Amount, Supplier Name 
22-Jun-23, Payment for Services ,"£3,621,656.84", Home Office (PNC Subs) 
15-Jun-23, Capital Asset Clearing A/c Building ,"£1,447,163.16", ISG Construction Ltd 
01-Jun-23, Data Network ,"£827,834.50", Virgin Media Business  
22-Jun-23, Electricity General Tariffs ,"£723,065.55", EDF Energy Customers Limited 
22-Jun-23, Comp. Operations ,"£626,313.60", Airwave Solutions LTD 
29-Jun-23, Miscellaneous Contributions ,"£409,752.00", Police Digital Service 
15-Jun-23, Gas General Tariffs ,"£274,536.48", TotalEnergies Gas & Power Limited 
08-Jun-23, Miscellaneous Contributions ,"£269,425.00", Police and Crime Commissioner For Cheshire 
22-Jun-23, Gas General Tariffs ,"£224,210.87", TotalEnergies Gas & Power Limited 
22-Jun-23, Service Charges ,"£174,273.60", Merseyside Fire & Civil Defence Auth. 
15-Jun-23, Miscellaneous Contributions ,"£159,007.45", Police and Crime Commissioner For Cheshire 
15-Jun-23, Consultants Fees ,"£144,194.84", Mitie Care and Custody Ltd 
29-Jun-23, Gas General Tariffs ,"£140,904.54", TotalEnergies Gas & Power Limited 
22-Jun-23, Supplies and Services ,"£128,243.35", Airwave ASL 
22-Jun-23, Electricity General Tariffs ,"£111,561.90", EDF Energy Customers Limited 
08-Jun-23, Building Programmed Maintenance ,"£106,682.08", Anthony Dever Construction Limited 
08-Jun-23, Capital Asset Clearing A/c Building ,"£106,415.98", Mace Limited 
15-Jun-23, Capital Asset Clearing A/C Plant & Equipment ,"£106,350.59", Switchshop Ltd 
29-Jun-23, Uniform and Clothing ,"£97,543.92", Redacted 
29-Jun-23, Forensic Fees - General ,"£96,534.00", Police and Crime Commissioner For Lancashire 
29-Jun-23, Payments to Other Police Authorities ,"£90,000.00", Cyber Resilience Centre Ltd t/a North West Cyber Resilience Centre 
22-Jun-23, Uniform and Clothing ,"£84,065.36", Redacted 
08-Jun-23, Support Staff-Temporary Staff Wages ,"£74,328.29", Adecco UK Limited 
01-Jun-23, Rates ,"£73,216.00", Liverpool City Council1 
08-Jun-23, Services & Legal Expenses ,"£71,000.00", St Helens MBC 
08-Jun-23, Support Staff-Temporary Staff Wages ,"£65,861.60", Adecco UK Limited 
08-Jun-23, Support Staff-Temporary Staff Wages ,"£65,486.92", Adecco UK Limited 
15-Jun-23, Capital Asset Clearing A/c Intangibles ,"£61,740.00", Redacted 
08-Jun-23, Support Staff-Temporary Staff Wages ,"£60,923.33", Adecco UK Limited 
15-Jun-23, Support Staff-Temporary Staff Wages ,"£60,621.48", Adecco UK Limited 
08-Jun-23, Support Staff-Temporary Staff Wages ,"£59,898.54", Adecco UK Limited 
08-Jun-23, Miscellaneous Contributions ,"£57,613.37", Police and Crime Commissioner For Cheshire 
15-Jun-23, Payment for Services ,"£53,846.10", Alliantist Limited 
29-Jun-23, Capital Asset Clearing A/C Plant & Equipment ,"£53,670.31", Dell Corporation Ltd 
01-Jun-23, Rates ,"£53,248.00", Liverpool City Council1 
22-Jun-23, Training Course Fees ,"£52,845.00", Liverpool John Moores University 
22-Jun-23, Capital Asset Clearing A/c Vehicles ,"£48,654.27", Volvo Car UK Limited 
22-Jun-23, Removal of Police Vehicles ,"£48,345.80", Automobile Association Developments Limited 
22-Jun-23, Water & Sewerage Rates ,"£46,976.37", Water Plus Limited 
29-Jun-23, Removal of Police Vehicles ,"£46,714.00", Automobile Association Developments Limited 
29-Jun-23, Payments to Other Police Authorities ,"£45,786.20", Police and Crime Commissioner For Cumbria 
15-Jun-23, General Subscriptions ,"£45,000.00", Organisation Development Limited 
29-Jun-23, Water & Sewerage Rates ,"£44,775.47", Water Plus Limited 
22-Jun-23, Support Staff-Temporary Staff Wages ,"£44,729.48", Red Snapper Recruitment Limited 
01-Jun-23, Call Charges ,"£43,762.61", MIT Dynamic Technologies Limited 
22-Jun-23, Support Staff-Temporary Staff Wages ,"£43,442.75", Adecco UK Limited 
15-Jun-23, Payments to Other Police Authorities ,"£43,303.92", Police and Crime Commissioner For Cheshire 
01-Jun-23, Rates ,"£42,496.00", Liverpool City Council1 
29-Jun-23, Removal of Police Vehicles ,"£41,726.00", Automobile Association Developments Limited 
15-Jun-23, Capital Asset Clearing A/c Intangibles ,"£39,606.00", Softcat Plc 
22-Jun-23, Vehicle Parts ,"£39,540.66", Tuskerdirect Limited 
15-Jun-23, Services & Legal Expenses ,"£39,500.00", Liverpool City Council (YOS Cycle Project) 
