Date,Transaction Number,Directorate,Local Authority Dept,Merchant Category,Summary of Purpose of Expenditure 1,Summary of Purpose of Expenditure 2,Beneficiary,Total
15/12/2023,5286337,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,441.00
15/12/2023,5286338,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,140.93"
15/12/2023,5286338,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286339,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,777.00
15/12/2023,5286339,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,441.00
15/12/2023,5286340,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,882.00
15/12/2023,5286340,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286341,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"2,205.00"
15/12/2023,5286341,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,904.05
15/12/2023,5286341,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,661.50
15/12/2023,5286342,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,329.93"
15/12/2023,5286342,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286343,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,735.00
15/12/2023,5286343,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286344,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,315.86"
15/12/2023,5286344,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286345,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,822.57
15/12/2023,5286345,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286346,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,399.86"
15/12/2023,5286346,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286347,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,029.00"
15/12/2023,5286347,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286348,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,329.93"
15/12/2023,5286348,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286349,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,735.00
15/12/2023,5286349,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286350,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,735.00
15/12/2023,5286350,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286351,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,567.00
15/12/2023,5286351,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286352,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,730.39
15/12/2023,5286353,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,730.39
15/12/2023,5286354,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,730.39
15/12/2023,5286355,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,730.39
15/12/2023,5286356,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,050.00"
15/12/2023,5286356,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286357,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,034.32"
15/12/2023,5286358,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,034.32"
15/12/2023,5286359,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,031.29"
15/12/2023,5286360,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,519.75
15/12/2023,5286361,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,477.75
15/12/2023,5286362,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,031.29"
15/12/2023,5286363,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,039.50"
15/12/2023,5286363,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286364,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,039.50"
15/12/2023,5286364,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286365,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,060.50"
15/12/2023,5286365,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286366,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,060.50"
15/12/2023,5286366,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286367,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,656.43
15/12/2023,5286367,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,417.72
15/12/2023,5286368,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,615.32
15/12/2023,5286368,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,416.83
15/12/2023,5286369,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,482.27
15/12/2023,5286369,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,413.38
15/12/2023,5286370,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,176.00"
15/12/2023,5286370,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,441.00
15/12/2023,5286371,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,034.32"
15/12/2023,5286372,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,709.80
15/12/2023,5286373,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,709.80
15/12/2023,5286374,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,709.80
15/12/2023,5286375,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,783.93
15/12/2023,5286375,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,441.00
15/12/2023,5286376,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,783.93
15/12/2023,5286376,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,441.00
15/12/2023,5286377,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,783.93
15/12/2023,5286377,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,441.00
15/12/2023,5286378,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,232.07"
15/12/2023,5286378,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286379,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,232.07"
15/12/2023,5286379,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286380,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,232.07"
15/12/2023,5286380,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286381,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,270.06
15/12/2023,5286382,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,277.62
15/12/2023,5286383,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,262.29
15/12/2023,5286388,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,897.75
15/12/2023,5286389,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,093.68"
15/12/2023,5286390,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,114.68"
15/12/2023,5286391,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,324.89"
15/12/2023,5286392,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,868.14
15/12/2023,5286392,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286393,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,868.14
15/12/2023,5286393,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286394,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,913.50
15/12/2023,5286394,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286395,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,913.50
15/12/2023,5286395,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286396,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,861.00
15/12/2023,5286396,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286397,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,979.86
15/12/2023,5286397,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286398,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,979.86
15/12/2023,5286398,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286399,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,979.86
15/12/2023,5286399,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286400,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,840.00
15/12/2023,5286400,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286401,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,095.57"
15/12/2023,5286401,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,330.75
15/12/2023,5286402,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,850.50
15/12/2023,5286402,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286403,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,850.50
15/12/2023,5286403,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286404,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,277.62
15/12/2023,5286405,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,850.50
15/12/2023,5286405,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,452.03
15/12/2023,5286406,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,275.73
15/12/2023,5286407,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,770.07
15/12/2023,5286407,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,301.35
15/12/2023,5286412,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,275.73
15/12/2023,5286413,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,275.73
15/12/2023,5286414,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,259.98
15/12/2023,5286415,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,259.98
21/12/2023,5299221,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,553.79"
21/12/2023,5299224,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,252.00
21/12/2023,5299225,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,252.00
21/12/2023,5299451,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,721.98
21/12/2023,5299451,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,264.60
21/12/2023,5299452,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,"1,005.48"
21/12/2023,5299452,"ADULTS, WELLBEING AND CULTURE",FUTURE OPTIONS,PRIVATE CONTRACTORS,SUPPORTED LIVING LD,OTHER PROFESSIONAL SERVICES,LIVING AMBITIONS LIMITED,264.60
