Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,,
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - fuel,"41,698.40",Allstar Business Solutions Ltd,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Financial Adjustments,"18,000.00",The Church of God of Prophecy,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,"28,073.37",Volvo Car UK Ltd,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired - Accreditation,"13,440.00",Chartered Society of Forensic Scien,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,690.07,DRIVE VAUXHALL BRISTOL,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Rents,"15,012.50",BATH & NORTH EAST SOMERSET COUNCIL,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Transport,Vehicle Allowances,Travel fares,29.22,PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Grants & Subscriptions,Subscriptions,"1,267.50 MOPAC - Metropolitan Police",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"47,295.00",CDW Limited,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,,-0.06  Mitie Care and Custody Ltd,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"46,137.00",Bath & North East Somerset,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,083.76",GOODYEAR TYRES UK LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"2,500.00",Bristol City Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
