Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,"Amount
Supplier Name",,
Analyse,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,600.00
Buddi Ltd",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,"1,495.00 Hartnoll Hotel",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,"16,044.10 Motus Group (UK) t/a Pentagon",B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,648.36 GOODYEAR TYRES UK LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Overtime,"Police PC - Basic Pay, OT, NI & Pension","7,039.91
PCC for Gloucestershire",C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,0.01 Weston Garden Machinery,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Construction & Conversion Fees,"3,281.25
Kendall Kingscott Ltd",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,"323.85
PCC for Dorset",C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Employees,Police Pay & Allowances,"Police PC - Basic Pay, NI & Pension","15,787.24
PCC for Devon & Cornwall",C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,825.66 DRIVE VAUXHALL BRISTOL",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - fuel,"39,457.06
Allstar Business Solutions Ltd",B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"1,301.00
Just Love Nibbles",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"26,425.72 Cabinet Office",B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
