Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,"Amount
Supplier Name",,
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"3,140.00
South Gloucestershire Council",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Staff Overtime,"Police Staff - Basic Pay, OT, NI & Pension","8,186.93
PCC for Dorset",C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"861.00
Bristol City Council",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,560.03 Waylands Bristol,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,"10,850.00 Woodborough Gardens Kennels & Catte",B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"5,365.30
Ridge & Partners LLP",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Transport,Vehicle Maintenance,Vehicle costs - licences,"55.00
Renault Truck Commercials Ltd",B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Services,Capital Charges,Capital Charges,Construction & Conversion Fees,"1,100.00 Clegg Associates Ltd",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,279.28 Dick Lovett Ltd",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"2,496.01
Pharos Generator Services Ltd",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"887.34
FMG Repair Services Limited",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Overtime,Police PC - OT,"2,042.86
PCC for Wiltshire",C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,630.65,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"43,761.02
PCC for Devon & Cornwall",B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigations,Employees,Police Staff Pay & Allowances,"Police Staff - Basic Pay, NI & Pension","2,968.40
PCC for Devon & Cornwall",C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
