Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,,
Support Functions,Transport,Vehicle Allowances,Travel fares,7.00,PCC for Devon & Cornwall,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,25.05,PVL UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,904.00,Vectec Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"1,240.00",AWP Services Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,13.00,PCC for Dorset,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Cleaning & Domestic Supplies,General Waste Costs,140.00,SUEZ Recycling and Recovery UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Other Expenses,Horses - Equipment,"1,775.90",A NICHOLS (COW MILLS) LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,950.00,SVE Services Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,108.00,Charles Fellows Supplies Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,76.46,PVL UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Third Party Payments,Other Local Authorities or Forces,Agency Payments - OLAs,"5,000.00",BATH & NORTH EAST SOMERSET COUNCIL,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,"1,321.36",Key Forensic Services Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Equipment Furniture & Materials,Equipment,127.30,SOLON SECURITY LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Allowances,Travel fares,27.00,Ben Sutcliffe Marine Surveys,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,350.00,TRUVELO UK LTD,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Third Party Payments,Contribution,Contribution,-217.01  PCC for Dorset,,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Communications & Computing,Software - Purchases (S&M),"601,823.68",Home Office Shared Service Centre,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,350.00,TRUVELO UK LTD,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Roads Policing,Supplies & Services,Communications & Computing,Hardware - R&M,"142,356.95",Celerity Ltd,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Investigative Support,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,,168.76 WA Products (UK) Ltd t/a SceneSafe,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Communications & Computing,Software - Purchases (S&M),"1,994.08",Tungsten Automation UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Printing,105.00,Xerox (UK) Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,76.46,PVL UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,,286.00 WA Products (UK) Ltd t/a SceneSafe,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,51.00,Charles Fellows Supplies Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
