Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,Payment Date,,
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"15,000.00",IBM (United Kingdom) Ltd,06/01/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,4.00,SMSR (Social & Market Strategic Res,20/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"40,000.00",St Giles Trust,02/01/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,,"3,177.00 College of Policing Ltd",02/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,846.11,Bristol PartsPlus,30/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,077.20 Cary Uk Ltd",,30/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Staff Overtime,"Police Staff - Basic Pay, OT, NI & Pension","10,248.63",PCC for Devon & Cornwall,23/01/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Postage,14.50,PRICE WESTERN LEATHER CO LTD,30/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Rent Rates & Water,National Non Domestic Rates,,"1,876.00 North Somerset Council",10/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,,514.00 Woodway Engineering Ltd,06/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,,"3,078.00 North Somerset Council",10/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"8,498.01",PCC for Gloucestershire,09/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Maintenance of dogs/cats,608.24,,16/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Overtime,Police PC - OT,"4,933.00",PCC for Wiltshire,13/01/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Third Party Payments,Other Local Authorities or Forces,Contributions to Other Forces,"4,097.58",PCC for Gloucestershire,16/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,"1,486.00",St James Priory Project,02/01/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
