Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,Payment Date,,
Specialist Operations,Transport,Vehicle Allowances,Vehicle mileage allowance,43.35,PCC for Gloucestershire,28/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,,"2,025.00 Modis International Limited t/a Akk",28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,725.00,National Crime Agency,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Employees,Police Overtime,Police PC - OT & NI,"1,142.53",PCC for Dorset,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,535.85,Volkswagen Group UK Ltd Parts,18/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"3,083.82",,25/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,"Police Chief Inspector - Basic Pay, NI & Pension","16,339.57",PCC for Gloucestershire,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"18,900.00",Kinergy,07/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,,-0.51  Systems Technology Consultants Ltd,14/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"14,376.60",ORACLE CORPORATION UK LTD,14/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,"1,260.00",Romac Building Contractors Ltd,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,571.00,Somerset Council,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,516.50,,18/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,537.85 WA Products (UK) Ltd t/a SceneSafe,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Pay & Allowances,"Police Staff - Basic Pay, OT, NI & Pension","21,061.35",PCC for Dorset,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"1,066.46",Volkswagen Group UK Ltd Parts,04/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Equipment Furniture & Materials,Equipment,501.76,Bechtle Ltd,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,26.60,PCC for Gloucestershire,28/11/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Analyse,Supplies & Services,Other Expenses,Courses Fees,"2,500.00",Harod Associates Limited,18/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Catering,Catering,72.78,Corporate Support HQ Imprest,04/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,547.05,,14/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Medical Fees,Doctors - charges for statements,38.50,,04/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,"3,340.00",Imperative Training Limited,28/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"1,609.00",Somerset Council,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"18,293.00",City of London Police,28/11/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"3,510.00",Somerset Council,07/11/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
