Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
1,2024-04-11 00:00:00,0030274084,INV,11.25,VODAFONE CORPORATE LIMITED,00556000,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
2,2024-04-11 00:00:00,0030274084,INV,11.25,VODAFONE CORPORATE LIMITED,00556000,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
3,2024-04-23 00:00:00,0014901803,INV,276,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
4,2024-04-15 00:00:00,0014901768,INV,5685,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
5,2024-04-23 00:00:00,0014901801,INV,5685,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
6,2024-04-08 00:00:00,0014901739,INV,5108,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
7,2024-04-11 00:00:00,0030274096,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
8,2024-04-04 00:00:00,0014901690,INV,240,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
9,2024-04-08 00:00:00,0030274070,INV,299,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
10,2024-04-08 00:00:00,0030274069,INV,499,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
11,2024-04-11 00:00:00,0030274096,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
12,2024-04-23 00:00:00,0014901802,INV,280,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
13,2024-04-04 00:00:00,0014901692,INV,6043.13,MEARS LTD (DISKETTE),80083400,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
14,2024-04-08 00:00:00,0041326190,INV,4153.43,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2011,Policy Charged PL
15,2024-04-23 00:00:00,0041327195,INV,13720,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2011,Policy Charged PL
16,2024-04-23 00:00:00,0041327207,INV,16264.28,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2011,Policy Charged PL
17,2024-04-08 00:00:00,0041326183,INV,151260.48,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2011,Policy Charged PL
18,2024-04-22 00:00:00,0030274165,INV,731.81,MAPS,03749800,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2012,Policy Charged MV Leased
19,2024-04-22 00:00:00,0030274165,INV,731.81,MAPS,03749800,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2013,Policy Charged MV General
20,2024-04-08 00:00:00,0041326175,INV,3557.58,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2014,Policy Charged Computer
21,2024-04-08 00:00:00,0041326174,INV,324800,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2015,Policy Charged Prop Gen
22,2024-04-08 00:00:00,0041326177,INV,5313.32,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2015,Policy Charged Prop Gen
23,2024-04-23 00:00:00,0041327207,INV,82841.92,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2020,Policy Charged Engineering
24,2024-04-08 00:00:00,0041326181,INV,2240,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2023,Policy Charged Fid Guarn
25,2024-04-08 00:00:00,0041326191,INV,3880.83,MARSH LTD,02667000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2024,Policy Charged Pers Acc
26,2024-04-04 00:00:00,0030274032,INV,8831.06,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
27,2024-04-11 00:00:00,0016952694,INV,566.4,BEE N ME,03867100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
28,2024-04-11 00:00:00,0016952695,INV,586.4,BEE N ME,03867100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
29,2024-04-11 00:00:00,0016952706,INV,760,2JS PRESCHOOL - STROOD,01245300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
30,2024-04-11 00:00:00,0016952707,INV,760,2JS PRESCHOOL - STROOD,01245300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
31,2024-04-11 00:00:00,0016952708,INV,760,TINY TUGS DAY NURSERY,02321000,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
32,2024-04-11 00:00:00,0016952702,INV,586.4,ST NICHOLAS PLAYGROUP,00498300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
33,2024-04-11 00:00:00,0016952693,INV,566.4,2JS PRESCHOOL - GILLINGHAM,03797100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
34,2024-04-11 00:00:00,0016952696,INV,780,KIDDIWINKS PRE-SCHOOL,00569100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
35,2024-04-11 00:00:00,0016952697,INV,606.4,PHOENIX EDUCATION DAY NURSERY LTD,02852500,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
36,2024-04-11 00:00:00,0016952703,INV,760,THE PRIMARY FIRST TRUST,13676600,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
37,2024-04-11 00:00:00,0016952698,INV,566.4,SPRITES WOODLAND NURSERY LTD,03877800,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
38,2024-04-11 00:00:00,0016952699,INV,586.4,SPRITES WOODLAND NURSERY LTD,03877800,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
39,2024-04-11 00:00:00,0016952700,INV,580,SPRITES WOODLAND NURSERY LTD,03877800,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
40,2024-04-11 00:00:00,0016952701,INV,586.4,ST NICHOLAS PLAYGROUP,00498300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
41,2024-04-11 00:00:00,0016952705,INV,729.6,2JS PRESCHOOL - STROOD,01245300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
