Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
1,2024-11-25 00:00:00,0014902661,INV,7960,BDI SECURITIES UK LTD,14315500,NET ASSETS,Current Assets,Cash and Cash Equivalents,B2000,Expenditure
2,2024-11-22 00:00:00,0014902688,INV,8000,BDI SECURITIES UK LTD,14315500,NET ASSETS,Current Assets,Cash and Cash Equivalents,B2000,Expenditure
3,2024-11-28 00:00:00,0014902691,INV,382,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
4,2024-11-21 00:00:00,0030275667,INV,1575,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
5,2024-11-14 00:00:00,0030275597,INV,414,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
6,2024-11-21 00:00:00,0030275645,INV,986,DAC BEACHCROFT CLAIMS LTD,13715800,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
7,2024-11-21 00:00:00,0030275646,INV,765,DAC BEACHCROFT CLAIMS LTD,13715800,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
8,2024-11-14 00:00:00,0030275621,INV,2800,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
9,2024-11-14 00:00:00,0030275622,INV,312,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
10,2024-11-11 00:00:00,0014902591,INV,1779,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
11,2024-11-14 00:00:00,0014902600,INV,1430,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
12,2024-11-26 00:00:00,0030275680,INV,1297,EDENRED,02686200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
13,2024-11-08 00:00:00,0041340453,INV,384.75,A OF B CARDS,03257400,NET ASSETS,Current Assets,Inventories,B2000,Expenditure
14,2024-11-08 00:00:00,0041340527,INV,695,ARRIVA KENT & SURREY LTD,01402900,NET ASSETS,Current Assets,Inventories,B2000,Expenditure
15,2024-11-11 00:00:00,0041340528,INV,319.84,ARRIVA KENT & SURREY LTD,01402900,NET ASSETS,Current Assets,Inventories,B2000,Expenditure
16,2024-11-28 00:00:00,0041342089,INV,971.35,B W  MAY & SON LTD.,80017100,NET ASSETS,Current Assets,Short Term Debtors,B7500,Income
17,2024-11-11 00:00:00,0030275568,INV,24022.2,NHS KENT & MEDWAY ICB,03952900,NET ASSETS,Long Term Liabilities,Capital Grants & Contributions,B2000,Expenditure
18,2024-11-11 00:00:00,0019054320,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Expenditure
19,2024-11-11 00:00:00,0019054318,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Expenditure
20,2024-11-14 00:00:00,0041341020,INV,780,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C0500,BldgWorks-Main
21,2024-11-25 00:00:00,0041341788,INV,395,ABLE CABLE ELECTRICIANS LTD,04203200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C0500,BldgWorks-Main
22,2024-11-11 00:00:00,0041339615,INV,14261.39,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C6000,Capital Budget
23,2024-11-05 00:00:00,0041339112,INV,1874,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
24,2024-11-08 00:00:00,0030275556,INV,31795.32,G BAKER ROOFING LTD,80144400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,Obs Sig Equip
25,2024-11-28 00:00:00,0030275736,INV,20656.56,G BAKER ROOFING LTD,80144400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,Obs Sig Equip
26,2024-11-08 00:00:00,0041339861,INV,28479.81,G BAKER ROOFING LTD,80144400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,Obs Sig Equip
27,2024-11-25 00:00:00,0041341771,INV,6995,COLLYER & SON LTD,00557800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,Obs Sig Equip
28,2024-11-11 00:00:00,0041340555,INV,1600,ARMSTRONG YORK ASBESTOS ENVIRONMENTAL LT,14529900,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,Obs Sig Equip
29,2024-11-11 00:00:00,0041340699,INV,4050,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
30,2024-11-05 00:00:00,0041339778,INV,215851.83,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
31,2024-11-05 00:00:00,0041339778,INV,170211.59,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
32,2024-11-11 00:00:00,0041340561,INV,12348,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
33,2024-11-14 00:00:00,0014902597,CRN,-869,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
34,2024-11-14 00:00:00,0041340915,INV,1452,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
35,2024-11-14 00:00:00,0041340916,INV,1182.5,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
36,2024-11-12 00:00:00,0041340819,INV,535291.86,NEILCOTT CONSTRUCTION LTD,80147400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Obs Sig Equip
37,2024-11-18 00:00:00,0041341409,INV,25622.5,INSPIRE ACADEMY,03839000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
38,2024-11-14 00:00:00,0041340824,INV,7866.8,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
39,2024-11-14 00:00:00,0041340825,INV,14967.53,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
40,2024-11-05 00:00:00,0014833662,INV,54656.5,REDACTED PERSONAL DATA,13676600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
41,2024-11-01 00:00:00,0014833657,INV,54656.5,REDACTED PERSONAL DATA,13676600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
42,2024-11-04 00:00:00,0014833658,INV,3046,REDACTED PERSONAL DATA,13676600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
43,2024-11-11 00:00:00,0014902581,INV,509848.59,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
44,2024-11-04 00:00:00,0014902573,INV,2055.66,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
45,2024-11-11 00:00:00,0014902583,INV,223.89,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
46,2024-11-25 00:00:00,0014902668,INV,1056.9,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
47,2024-11-18 00:00:00,0030275198,INV,1009.5,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
48,2024-11-25 00:00:00,0030275676,INV,3744.48,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
49,2024-11-25 00:00:00,0030275677,INV,130.95,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
50,2024-11-26 00:00:00,0030275687,INV,347.87,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
51,2024-11-18 00:00:00,0030275198,INV,2086.76,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
52,2024-11-26 00:00:00,0030275686,INV,2086.76,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
53,2024-11-18 00:00:00,0030275198,INV,9108.15,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
54,2024-11-04 00:00:00,0014902573,INV,1089.3,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
55,2024-11-11 00:00:00,0014902583,INV,1497.66,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
56,2024-11-25 00:00:00,0030275676,INV,871.44,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
57,2024-11-26 00:00:00,0030275686,INV,110.9,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
58,2024-11-05 00:00:00,0041340291,INV,1445,PHOENIX COMPLIANCY MANAGEMENT,13797700,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
59,2024-11-26 00:00:00,0030275696,INV,9462.19,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
60,2024-11-28 00:00:00,0014620537,INV,100,SWALE HEATING LTD,14555600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
61,2024-11-28 00:00:00,0014620538,INV,700,SWALE HEATING LTD,14555600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
62,2024-11-18 00:00:00,0030275198,INV,24779.56,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
63,2024-11-26 00:00:00,0030275686,INV,6250.39,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
64,2024-11-18 00:00:00,0030275198,INV,6014.46,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
65,2024-11-26 00:00:00,0030275686,INV,16705.9,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
66,2024-11-18 00:00:00,0014902622,INV,165160,SWALE HEATING LTD,14555600,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
67,2024-11-19 00:00:00,0041340343,INV,3999.75,DUNSFOLD ASSOCIATES LTD,03782800,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
68,2024-11-19 00:00:00,0041340345,INV,3447.5,DUNSFOLD ASSOCIATES LTD,03782800,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
69,2024-11-18 00:00:00,0041340362,INV,380,DUNSFOLD ASSOCIATES LTD,03782800,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
70,2024-11-26 00:00:00,0030275684,INV,10463.84,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
71,2024-11-26 00:00:00,0030275685,INV,4401.94,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
72,2024-11-26 00:00:00,0030275686,INV,1579.84,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
73,2024-11-04 00:00:00,0014902572,INV,1668.5,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
74,2024-11-25 00:00:00,0030275677,INV,391.74,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Obs Sig Equip
