Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
18,2024-09-17 00:00:00,0016959230,INV,360,BEE N ME,03867100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
19,2024-09-17 00:00:00,0016959227,INV,400,LITTLE MONSTERS CHILDMINDING,14226100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
20,2024-09-17 00:00:00,0016959231,INV,368,SANGITA RAJPUT - CHILDMINDER,04093300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
21,2024-09-17 00:00:00,0016959229,INV,368,LAURA PAGE,03813600,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
22,2024-09-17 00:00:00,0016959228,INV,400,JOANNE WALKER,03699300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
23,2024-09-23 00:00:00,0014833634,INV,20000,MEDWAY PARENTS & CARERS FORUM,03514500,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
24,2024-09-23 00:00:00,0014902445,INV,3900,MEDWAY EARLY YEARS LTD,13706100,NET ASSETS,Current Liabilities,Short Term Creditors,B7500,Income
25,2024-09-23 00:00:00,0014902446,INV,3900,MEDWAY EARLY YEARS LTD,13706100,NET ASSETS,Current Liabilities,Short Term Creditors,B7500,Income
26,2024-09-23 00:00:00,0014833632,INV,10050,MEDWAY EARLY YEARS LTD,13706100,NET ASSETS,Current Liabilities,Short Term Creditors,B7500,Income
27,2024-09-23 00:00:00,0014833633,INV,12475,MEDWAY EARLY YEARS LTD,13706100,NET ASSETS,Current Liabilities,Short Term Creditors,B7500,Income
28,2024-09-05 00:00:00,0016958449,INV,2646.89,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
29,2024-09-05 00:00:00,0016958449,INV,58.59,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
30,2024-09-05 00:00:00,0016958449,INV,3824.2,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
31,2024-09-05 00:00:00,0016958449,INV,10.93,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
32,2024-09-05 00:00:00,0016958449,INV,8.62,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
33,2024-09-05 00:00:00,0016958449,INV,10.93,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
34,2024-09-05 00:00:00,0016958449,INV,8.11,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
35,2024-09-05 00:00:00,0016958449,INV,145721.52,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
