Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
1,2024-05-30 00:00:00,0041327185,INV,2030,WOMBLE BOND DICKINSON (UK) LLP,03852800,NET ASSETS,Long Term Assets,Long Term Debtors,B2000,Expenditure
2,2024-05-16 00:00:00,0016954150,INV,11.25,VODAFONE CORPORATE LIMITED,00556000,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
3,2024-05-16 00:00:00,0016954150,INV,11.25,VODAFONE CORPORATE LIMITED,00556000,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
4,2024-05-07 00:00:00,0030274288,INV,10000,BDI SECURITIES UK LTD,14315500,NET ASSETS,Current Assets,Cash and Cash Equivalents,B2000,Expenditure
5,2024-05-13 00:00:00,0030274351,INV,5473,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
6,2024-05-13 00:00:00,0030274347,INV,968,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
7,2024-05-07 00:00:00,0014901821,INV,450,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
8,2024-05-07 00:00:00,0014901822,INV,273,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
9,2024-05-13 00:00:00,0030274356,INV,1068.6,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
10,2024-05-13 00:00:00,0030274353,INV,300,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
11,2024-05-13 00:00:00,0030274348,INV,5115,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
12,2024-05-02 00:00:00,0014901816,INV,450,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
13,2024-05-13 00:00:00,0030274349,INV,949.5,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
14,2024-05-13 00:00:00,0030274357,INV,2106,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
15,2024-05-13 00:00:00,0030274350,INV,1662,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
16,2024-05-13 00:00:00,0030274352,INV,1896.5,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
17,2024-05-13 00:00:00,0030274354,INV,1051,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
18,2024-05-20 00:00:00,0014901867,INV,2288,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
19,2024-05-02 00:00:00,0014901815,INV,795,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
20,2024-05-07 00:00:00,0030274289,INV,245,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
21,2024-05-07 00:00:00,0014901820,INV,2632,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
22,2024-05-16 00:00:00,0030274397,INV,9520.3,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
23,2024-05-28 00:00:00,0014901880,INV,1225,EDENRED,02686200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
24,2024-05-07 00:00:00,0030274286,INV,1467,EDENRED,02686200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
25,2024-05-16 00:00:00,0030274397,INV,4220.83,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
26,2024-05-16 00:00:00,0030274397,INV,1906.98,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
27,2024-05-16 00:00:00,0030274397,INV,124319.36,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
28,2024-05-16 00:00:00,0030274397,INV,144.01,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
29,2024-05-20 00:00:00,0030274424,INV,-9023.92,PERFECT HOMES LTD,80166200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
30,2024-05-07 00:00:00,0041327907,INV,2400,MODE LIGHTING LTD,14286200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
31,2024-05-20 00:00:00,0014901871,INV,340960.65,F M CONWAY LIMITED,80048300,NET ASSETS,Current Liabilities,Short Term Creditors,B7500,Income
32,2024-05-07 00:00:00,0030274290,INV,1737.66,JASCOM ELECTRICAL CONTRACTORS LTD,80104100,NET ASSETS,Current Liabilities,Short Term Creditors,B7500,Income
33,2024-05-02 00:00:00,0041327383,INV,2000,PROJECT CENTRE LTD,03925100,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Expenditure
34,2024-05-13 00:00:00,0016954084,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Expenditure
35,2024-05-28 00:00:00,0016954514,INV,225,MICHAEL PARKES SURVEYORS LTD,02065600,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,Expenditure
36,2024-05-16 00:00:00,0041328690,INV,690.7,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C6000,Capital Budget
37,2024-05-23 00:00:00,0041329053,INV,698.1,DATA AND WIRELESS INSTALLATIONS,13794500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C3200,ComputerH'ware
38,2024-05-09 00:00:00,0041328122,INV,7440,WALLER BUILDING & GLAZING,80064000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,Building Works
39,2024-05-13 00:00:00,0041328413,INV,2889,BAILEY PARTNERSHIP (CONSULTANTS) LLP,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1400,Design Fees
40,2024-05-20 00:00:00,0030274424,INV,180478.49,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Building Works
41,2024-05-09 00:00:00,0030274310,INV,38291.64,G A HARPER LTD,80047200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Building Works
42,2024-05-09 00:00:00,0041328119,INV,6336,BAILEY PARTNERSHIP (CONSULTANTS) LLP,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
43,2024-05-23 00:00:00,0041329135,INV,346.5,BAILEY PARTNERSHIP (CONSULTANTS) LLP,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
44,2024-05-09 00:00:00,0041328114,INV,4050,BAILEY PARTNERSHIP (CONSULTANTS) LLP,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Building Works
45,2024-05-13 00:00:00,0041328117,INV,2940,BAILEY PARTNERSHIP (CONSULTANTS) LLP,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Building Works
46,2024-05-09 00:00:00,0041328227,INV,31094,NEILCOTT CONSTRUCTION LTD,80147400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Building Works
47,2024-05-13 00:00:00,0041328058,INV,27737.66,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Building Works
48,2024-05-02 00:00:00,0041327562,INV,6785,INSPIRE ACADEMY,03839000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Building Works
49,2024-05-09 00:00:00,0041328126,INV,8929,BAILEY PARTNERSHIP (CONSULTANTS) LLP,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
50,2024-05-28 00:00:00,0041329146,INV,825,BAILEY PARTNERSHIP (CONSULTANTS) LLP,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
51,2024-05-13 00:00:00,0041328057,INV,14967.53,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Building Works
52,2024-05-02 00:00:00,0041327265,INV,21780,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
53,2024-05-02 00:00:00,0016952462,INV,604.16,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
54,2024-05-16 00:00:00,0016954275,INV,1370.17,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
55,2024-05-16 00:00:00,0016954276,INV,1993.05,MEARS LTD (DISKETTE),80083400,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,HOUSING REVENUE ACCOUNT,C1500,Building Works
