Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description,,
1,2025-02-17 00:00:00,0016969928,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,StrdRvrsdTrnsp,X0800B2000501304,PUBLIC LIABIL PL Ins Claim
2,2025-02-17 00:00:00,0016969928,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,StrdRvrsdTrnsp,X0800B2000501305,PUBLIC LIABIL PL Ins Claim
3,2025-02-17 00:00:00,0016969928,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,StrdRvrsdTrnsp,X0800B2000501306,PUBLIC LIABIL PL Ins Claim
4,2025-02-17 00:00:00,0016969928,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,StrdRvrsdTrnsp,X0800B2000501307,PUBLIC LIABIL PL Ins Claim
5,2025-02-17 00:00:00,0016969928,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,StrdRvrsdTrnsp,X0800B2000501308,PUBLIC LIABIL PL Ins Claim
6,2025-02-17 00:00:00,0016969928,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,StrdRvrsdTrnsp,X0800B2000501309,PUBLIC LIABIL PL Ins Claim
7,2025-02-17 00:00:00,0016969928,INV,350,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,StrdRvrsdTrnsp,X0800B2000501310,PUBLIC LIABIL PL Ins Claim
8,2025-02-24 00:00:00,0030276458,INV,13219.2,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,StrdRvrsdTrnsp,X0800B2000501311,PUBLIC LIABIL PL Ins Claim
9,2025-02-27 00:00:00,0016971968,INV,1296,EDENRED,02686200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,StrdRvrsdTrnsp,X0900B2000650290,CONTRA ACCOUNT ExpEdenredAdmn
10,2025-02-17 00:00:00,0014903035,INV,3500,SPEECH LINK MULTIMEDIA LTD,03026800,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,StrdRvrsdTrnsp,X0900B2000650377,CONTRA ACCOUNT CONTRA A/C EXP
11,2025-02-20 00:00:00,0016970541,INV,3000,KNOWLEDGE CHANGE ACTION LTD,03770400,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,StrdRvrsdTrnsp,X0900B2000650377,CONTRA ACCOUNT CONTRA A/C EXP
12,2025-02-25 00:00:00,0016970712,INV,1475,BRADFIELDS ACADEMY,03854600,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,StrdRvrsdTrnsp,X0900B2000650377,CONTRA ACCOUNT CONTRA A/C EXP
13,2025-02-25 00:00:00,0016970713,INV,2530,BRADFIELDS ACADEMY,03854600,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,StrdRvrsdTrnsp,X0900B2000650377,CONTRA ACCOUNT CONTRA A/C EXP
14,2025-02-24 00:00:00,0016970598,INV,1020.7,KNOWLEDGE CHANGE ACTION LTD,03770400,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,StrdRvrsdTrnsp,X0900B2000650377,CONTRA ACCOUNT CONTRA A/C EXP
15,2025-02-27 00:00:00,0019059208,INV,250,BRADFIELDS ACADEMY,03854600,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,StrdRvrsdTrnsp,X0900B2000650377,CONTRA ACCOUNT CONTRA A/C EXP
16,2025-02-06 00:00:00,0041346525,INV,6161.5,ARRIVA KENT & SURREY LTD,01402900,NET ASSETS,Current Assets,Inventories,B2000,StrdRvrsdTrnsp,X1002B2000660034,STOCK A/C EXP CSCBusPass
17,2025-02-18 00:00:00,0041347468,INV,1317,UK POWER NETWORKS OPERATIONS,80086700,NET ASSETS,Current Assets,Short Term Debtors,B2000,StrdRvrsdTrnsp,X1101B2000700146,RECH WK O P&T RWO Exp P&T
18,2025-02-18 00:00:00,0041347466,INV,1397,UK POWER NETWORKS OPERATIONS,80086700,NET ASSETS,Current Assets,Short Term Debtors,B2000,StrdRvrsdTrnsp,X1101B2000700194,RECH WK O P&T RWO Exp P&T
19,2025-02-24 00:00:00,0041347969,INV,952,UK POWER NETWORKS OPERATIONS,80086700,NET ASSETS,Current Assets,Short Term Debtors,B2000,StrdRvrsdTrnsp,X1101B2000700200,RECH WK O P&T RWO Exp P&T
20,2025-02-24 00:00:00,0041347971,INV,952,UK POWER NETWORKS OPERATIONS,80086700,NET ASSETS,Current Assets,Short Term Debtors,B2000,StrdRvrsdTrnsp,X1101B2000700243,RECH WK O P&T RWO Exp P&T
21,2025-02-27 00:00:00,0041348209,INV,489.76,B W  MAY & SON LTD.,80017100,NET ASSETS,Current Assets,Short Term Debtors,B7500,StrdRvrsdTrnsp,X1105B7500705152,RCH WK BLDG CT RCH WK BLD CT
22,2025-02-03 00:00:00,0041346064,INV,5425.63,LONDON FIRE SOLUTIONS LTD,80847600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,BldngWrksSigns,9X537C1500000000,CONDPROGFIRE Building Wks
23,2025-02-27 00:00:00,0041347301,INV,536.39,COMMERCIAL SERVICES TRADING LTD,03744100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,BldngWrksSigns,9X538C1500000000,CONDPROGOTHER Building Wks
24,2025-02-06 00:00:00,0041346530,INV,4050,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,DsFeesExtSigns,9X588C1400000000,VICTORYACADEMY Desgn Fees Ext
