Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
1,2024-06-13 00:00:00,0030274609,INV,11.25,VODAFONE CORPORATE LIMITED,00556000,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
2,2024-06-13 00:00:00,0030274609,INV,6.9,VODAFONE CORPORATE LIMITED,00556000,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
3,2024-06-17 00:00:00,0014901948,INV,537,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,DirExp NHS HLC
4,2024-06-18 00:00:00,0014901951,INV,1164,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,DirExp NHS HLC
5,2024-06-17 00:00:00,0014901949,INV,2790,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,DirExp NHS HLC
6,2024-06-18 00:00:00,0014901959,INV,1588.2,WORKMAN LLP,04022500,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,DirExp NHS HLC
7,2024-06-03 00:00:00,0014901891,INV,6695.22,WALLER BUILDING & GLAZING,80064000,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,DirExp NHS HLC
8,2024-06-17 00:00:00,0014901947,INV,1439,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,DirExp NHS HLC
9,2024-06-24 00:00:00,0041331327,INV,2512.5,ZURICH MUNICIPAL,00524100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2012,Policy Charged MV Leased
10,2024-06-24 00:00:00,0041331326,INV,28711.27,ZURICH MUNICIPAL,00524100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2013,Policy Charged MV General
11,2024-06-03 00:00:00,0030274511,INV,15059.32,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,DirExp NHS HLC
12,2024-06-25 00:00:00,0030274655,INV,1225,EDENRED,02686200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,DirExp NHS HLC
13,2024-06-03 00:00:00,0030274511,INV,40.32,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
14,2024-06-03 00:00:00,0030274511,INV,330.16,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
15,2024-06-03 00:00:00,0030274511,INV,227.77,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
16,2024-06-03 00:00:00,0030274511,INV,250.21,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
17,2024-06-03 00:00:00,0030274511,INV,194.11,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
18,2024-06-03 00:00:00,0030274511,INV,188.89,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
19,2024-06-03 00:00:00,0030274511,INV,144.01,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
20,2024-06-03 00:00:00,0030274511,INV,166.45,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
21,2024-06-03 00:00:00,0030274511,INV,166.45,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
22,2024-06-03 00:00:00,0030274511,INV,124319.36,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,DirExp NHS HLC
23,2024-06-18 00:00:00,0041330877,INV,1202.82,B W  MAY & SON LTD.,80017100,NET ASSETS,Current Assets,Short Term Debtors,B7500,DirInc NHS HLC
24,2024-06-20 00:00:00,0030274623,INV,-15520.2,PERFECT HOMES LTD,80166200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,DirExp NHS HLC
