Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description,,
1,2025-01-27 00:00:00,0016968188,INV,1027,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP,X0800B2000501130,PUBLIC LIABIL PL Ins Claim
2,2025-01-20 00:00:00,0030276107,INV,2783,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP,X0800B2000501199,PUBLIC LIABIL PL Ins Claim
3,2025-01-16 00:00:00,0014902885,INV,1224,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP,X0800B2000501251,PUBLIC LIABIL PL Ins Claim
4,2025-01-07 00:00:00,0014902801,INV,1776.9,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP,X0800B2000501299,PUBLIC LIABIL PL Ins Claim
5,2025-01-16 00:00:00,0014902884,INV,789,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP,X0800B2000501302,PUBLIC LIABIL PL Ins Claim
6,2025-01-27 00:00:00,0030276236,INV,11088.08,MEARS LTD (DISKETTE),80083400,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP,X0814B2000504216,PROP HOUSING PH Ins Claim
7,2025-01-30 00:00:00,0030276246,INV,18528.96,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP,X0900B2000650244,CONTRA ACCOUNT ExpFootwayCros
8,2025-01-27 00:00:00,0030276185,INV,1296,EDENRED,02686200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP,X0900B2000650290,CONTRA ACCOUNT ExpEdenredAdmn
9,2025-01-16 00:00:00,0016967327,INV,3900,MEDWAY EARLY YEARS LTD,13706100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP,X0900B2000650375,CONTRA ACCOUNT CONTRA A/C EXP
10,2025-01-16 00:00:00,0016967328,INV,3900,MEDWAY EARLY YEARS LTD,13706100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP,X0900B2000650375,CONTRA ACCOUNT CONTRA A/C EXP
11,2025-01-16 00:00:00,0016967329,INV,13450,MEDWAY EARLY YEARS LTD,13706100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP,X0900B2000650375,CONTRA ACCOUNT CONTRA A/C EXP
12,2025-01-13 00:00:00,0016966516,INV,250,BRADFIELDS ACADEMY,03854600,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP,X0900B2000650377,CONTRA ACCOUNT CONTRA A/C EXP
13,2025-01-16 00:00:00,0041344982,INV,568,ARRIVA KENT & SURREY LTD,01402900,NET ASSETS,Current Assets,Inventories,B2000,CONTRA A/C EXP,X1002B2000660034,STOCK A/C EXP CSCBusPass
14,2025-01-30 00:00:00,0030276246,INV,3823.18,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP,X1101B2000700221,RECH WK O P&T RWO Exp P&T
15,2025-01-30 00:00:00,0030276246,INV,1968.19,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP,X1101B2000700243,RECH WK O P&T RWO Exp P&T
16,2025-01-30 00:00:00,0030276246,INV,1670.88,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP,X1101B2000700258,RECH WK O P&T RWO Exp P&T
17,2025-01-30 00:00:00,0030276246,INV,309.09,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP,X1101B2000700271,RECH WK O P&T RWO Exp P&T
18,2025-01-30 00:00:00,0030276246,INV,341.41,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP,X1101B2000700272,RECH WK O P&T RWO Exp P&T
19,2025-01-30 00:00:00,0030276246,INV,557.94,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP,X1101B2000700275,RECH WK O P&T RWO Exp P&T
20,2025-01-30 00:00:00,0030276246,INV,252.48,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP,X1101B2000700276,RECH WK O P&T RWO Exp P&T
