Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
1,2024-08-27 00:00:00,0030275038,INV,11.25,VODAFONE CORPORATE LIMITED,00556000,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
2,2024-08-13 00:00:00,0014902269,INV,420,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
3,2024-08-20 00:00:00,0014902285,INV,1065,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
4,2024-08-29 00:00:00,0030275044,INV,7782.5,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
5,2024-08-29 00:00:00,0014902332,INV,2477.5,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
6,2024-08-29 00:00:00,0030275043,INV,1132,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
7,2024-08-29 00:00:00,0030275041,INV,370,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
8,2024-08-06 00:00:00,0014902256,INV,480,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
9,2024-08-29 00:00:00,0030275042,INV,1104,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
10,2024-08-13 00:00:00,0014902271,INV,580,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
11,2024-08-06 00:00:00,0014902258,INV,706.34,WRIGHTS,00492900,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
12,2024-08-06 00:00:00,0014902258,INV,-100,WRIGHTS,00492900,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B7500,Income
13,2024-08-13 00:00:00,0014902270,INV,230,WRIGHTS,00492900,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
14,2024-08-20 00:00:00,0014902287,INV,570.01,WRIGHTS,00492900,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
15,2024-08-06 00:00:00,0030274883,INV,2937.12,WORKMAN LLP,04022500,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
16,2024-08-06 00:00:00,0014902257,INV,760,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
17,2024-08-20 00:00:00,0014902284,INV,280,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
18,2024-08-20 00:00:00,0014902286,INV,750,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Expenditure
19,2024-08-15 00:00:00,0030274953,INV,22678.78,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
20,2024-08-12 00:00:00,0030274924,INV,1187500,MHS HOMES,02145700,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Expenditure
21,2024-08-08 00:00:00,0041334487,INV,350,ARRIVA KENT & SURREY LTD,01402900,NET ASSETS,Current Assets,Inventories,B2000,Expenditure
22,2024-08-15 00:00:00,0030274953,INV,3207.28,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
23,2024-08-15 00:00:00,0030274953,INV,3607.73,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
24,2024-08-15 00:00:00,0030274953,INV,18564.45,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
25,2024-08-15 00:00:00,0030274953,INV,227.77,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
26,2024-08-15 00:00:00,0030274953,INV,205.33,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
27,2024-08-15 00:00:00,0030274953,INV,2514.64,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
28,2024-08-15 00:00:00,0030274953,INV,451.08,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
29,2024-08-15 00:00:00,0030274953,INV,204.81,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
30,2024-08-15 00:00:00,0030274953,INV,215.51,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
31,2024-08-15 00:00:00,0030274953,INV,166.45,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
32,2024-08-15 00:00:00,0030274953,INV,437.75,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
33,2024-08-15 00:00:00,0030274953,INV,205.04,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
34,2024-08-15 00:00:00,0030274953,INV,306.15,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
35,2024-08-15 00:00:00,0030274953,INV,205.04,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
36,2024-08-15 00:00:00,0030274953,INV,669.94,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
37,2024-08-15 00:00:00,0030274953,INV,515.32,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
38,2024-08-15 00:00:00,0030274953,INV,4368.34,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
39,2024-08-15 00:00:00,0030274953,INV,163.34,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
40,2024-08-15 00:00:00,0030274953,INV,227.48,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
41,2024-08-15 00:00:00,0030274953,INV,174.56,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Expenditure
