Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
1,2024-12-23 00:00:00,0014902779,INV,1649,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
2,2024-12-12 00:00:00,0030275867,INV,1519,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
3,2024-12-12 00:00:00,0030275868,INV,3310.25,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
4,2024-12-02 00:00:00,0014902695,INV,742,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
5,2024-12-16 00:00:00,0030275884,INV,364.28,WRIGHTS,00492900,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
6,2024-12-16 00:00:00,0014902766,INV,1658.12,WRIGHTS,00492900,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
7,2024-12-16 00:00:00,0014902767,INV,2147.09,WRIGHTS,00492900,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
8,2024-12-17 00:00:00,0014902768,INV,5735.28,WRIGHTS,00492900,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
9,2024-12-09 00:00:00,0030275807,INV,45583.2,MEARS LTD (DISKETTE),80083400,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,CONTRA A/C EXP
10,2024-12-05 00:00:00,0016964454,INV,23030.57,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP
11,2024-12-19 00:00:00,0030275909,INV,1546.77,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP
12,2024-12-23 00:00:00,0014902778,INV,1297,EDENRED,02686200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP
13,2024-12-19 00:00:00,0041343714,INV,671665.23,MEDWAY DEVELOPMENT COMPANY LTD,13717800,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP
14,2024-12-05 00:00:00,0016964454,INV,257.15,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
15,2024-12-19 00:00:00,0030275909,INV,2696.39,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
16,2024-12-19 00:00:00,0030275909,INV,3942.97,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
17,2024-12-05 00:00:00,0016964454,INV,3544.85,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
18,2024-12-05 00:00:00,0016964454,INV,661.14,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
19,2024-12-05 00:00:00,0016964454,INV,2160.28,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
20,2024-12-05 00:00:00,0016964454,INV,1943.8,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
21,2024-12-05 00:00:00,0016964454,INV,241.7,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
22,2024-12-05 00:00:00,0016964454,INV,152.12,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
23,2024-12-19 00:00:00,0030275909,INV,357.95,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
24,2024-12-05 00:00:00,0016964454,INV,152.12,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
25,2024-12-05 00:00:00,0016964454,INV,131321.85,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
26,2024-12-05 00:00:00,0016964454,INV,452.04,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,CONTRA A/C EXP
27,2024-12-31 00:00:00,0030276008,INV,5107.99,FORT AMHERST HERITAGE TRUST,00852500,NET ASSETS,Long Term Liabilities,Capital Grants & Contributions,B2000,CONTRA A/C EXP
28,2024-12-13 00:00:00,0016965686,INV,7385.79,INVICTA BUILDING SERVICES LTD,80164100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP
29,2024-12-16 00:00:00,0030275890,INV,7385.79,INVICTA BUILDING SERVICES LTD,80164100,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP
30,2024-12-09 00:00:00,0041342954,INV,25460.65,BUILDING ASSOCIATES LIMITED,80163700,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,CONTRA A/C EXP
31,2024-12-31 00:00:00,0030276009,INV,24439.07,CLIFFE WOODS COMMUNITY ASSOCIATION,01323000,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,CONTRA A/C EXP
32,2024-12-16 00:00:00,0016965677,INV,4593.54,LUTON PRIMARY ACADEMY,14478000,TOTAL RESERVES,Usable Reserves,Usable Reserves,B9000,Food Waste Col
33,2024-12-05 00:00:00,0016964454,INV,5000,VOLKER HIGHWAYS LTD,80156300,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,CONTRA A/C EXP
34,2024-12-19 00:00:00,0030275909,INV,4600,VOLKER HIGHWAYS LTD,80156300,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,CONTRA A/C EXP
35,2024-12-05 00:00:00,0016964454,INV,4671,VOLKER HIGHWAYS LTD,80156300,TOTAL RESERVES,Usable Reserves,Usable Reserves,B7500,CONTRA A/C INC
36,2024-12-23 00:00:00,0041343778,INV,2218,KENT WILDLIFE TRUST,00233400,TOTAL RESERVES,Usable Reserves,Usable Reserves,B2000,CONTRA A/C EXP
37,2024-12-31 00:00:00,0041337946,INV,599.99,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
38,2024-12-23 00:00:00,0041342215,INV,400,MEDWAY NORSE LTD,03759400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
39,2024-12-31 00:00:00,0041343900,INV,1199.99,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
40,2024-12-31 00:00:00,0041343958,INV,671.97,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
41,2024-12-31 00:00:00,0041343958,INV,415.96,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
42,2024-12-31 00:00:00,0041343959,INV,1559.96,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
43,2024-12-10 00:00:00,0041343089,INV,1800,ARMSTRONG YORK ASBESTOS ENVIRONMENTAL LT,14529900,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,HighHlstwCycle
44,2024-12-09 00:00:00,0041342849,INV,963,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1400,HighHlstwCycle
45,2024-12-12 00:00:00,0041343216,INV,4050,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,HighHlstwCycle
46,2024-12-09 00:00:00,0041341930,INV,316333.13,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,HighHlstwCycle
47,2024-12-09 00:00:00,0041341930,INV,256233.12,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,HighHlstwCycle
48,2024-12-23 00:00:00,0041343762,INV,418196.78,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,HighHlstwCycle
49,2024-12-23 00:00:00,0041343762,INV,225030.14,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,HighHlstwCycle
50,2024-12-12 00:00:00,0041343226,INV,5292,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,HighHlstwCycle
