Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Amznmktplace,03/04/2023,Equipment Furniture & Materials,740.98
Laterlifetraining,04/04/2023,"Education, Training, Exam Fees",670.00
Www.Britishgas.Co.,05/04/2023,Electricity,674.46
United Utilities Water,05/04/2023,Electricity,521.87
Westminster Insight,05/04/2023,"Education, Training, Exam Fees",525.60
Ikea Ltd Shop Online,05/04/2023,Equipment Furniture & Materials,568.00
Crowdfund* Crowdfunder,05/04/2023,Equipment Furniture & Materials,"1,000.00"
Argos Ltd,05/04/2023,Grants to External Bodies,708.00
Wigan Council,06/04/2023,Licence Fees,657.50
Www.Onlinereality.Co.Uk,06/04/2023,Equipment Furniture & Materials,600.30
Vink UK Limited,06/04/2023,Direct Materials,761.87
Certsure Llp Portal,06/04/2023,"Education, Training, Exam Fees",540.00
Www.Adass.Org.Uk,11/04/2023,Equipment Furniture & Materials,580.00
Facebk 6l8nrmbkv2,11/04/2023,Advertising (Non Employee),500.00
Facebk Ykg9kmbsw2,11/04/2023,Advertising (Non Employee),500.00
Mailchimp,11/04/2023,Equipment Furniture & Materials,"1,068.64"
Travis Perkins,11/04/2023,Equipment Furniture & Materials,769.34
Travis Perkins,11/04/2023,Equipment Furniture & Materials,604.80
Mas Seeds Ltd,11/04/2023,Grounds Maintenance,535.00
Currys Online,12/04/2023,Equipment Furniture & Materials,539.00
Holidays With Care Ltd,12/04/2023,Equipment Furniture & Materials,500.00
Holidays With Care Ltd,12/04/2023,Equipment Furniture & Materials,500.00
Www.Local.Gov.Uk,12/04/2023,Equipment Furniture & Materials,"2,376.00"
Www.Cpag.Org.Uk,12/04/2023,"Books, Publications and Resources",736.49
Www.Adass.Org.Uk,12/04/2023,Equipment Furniture & Materials,724.00
Www.Rompaltd.Com,12/04/2023,Personal Needs,712.85
Hse,13/04/2023,Equipment Furniture & Materials,715.00
Solace Group,13/04/2023,Equipment Furniture & Materials,522.00
Freeway Autos,14/04/2023,Equipment Furniture & Materials,677.22
Www.Argos.Co.Uk,14/04/2023,Equipment Furniture & Materials,771.95
Amznmktplace,17/04/2023,Equipment Furniture & Materials,541.92
Haymarket Media Group,18/04/2023,Equipment Furniture & Materials,"1,495.00"
Revolution Bars Plc,19/04/2023,Equipment Furniture & Materials,675.00
Www.Parkviewsolicitors,21/04/2023,Professional Fees,780.00
Kilhey Court,04/05/2023,Rent,955.90
Amznmktplace,04/05/2023,Equipment Furniture & Materials,540.83
Sp Electric Mania,04/05/2023,Equipment Furniture & Materials,"4,529.16"
Liverpool Philharmonic,04/05/2023,Equipment Furniture & Materials,500.00
Travelodge Gb0000,04/05/2023,Payments to Private Contractors,793.81
Travelodge Gb0000,04/05/2023,Payments to Private Contractors,584.73
Currys Online,04/05/2023,Equipment Furniture & Materials,780.99
Amznmktplace,04/05/2023,Grants to External Bodies,828.99
Sp Rlss UK Shop,08/05/2023,Equipment Furniture & Materials,855.00
Ladders And Access Ltd,09/05/2023,Equipment Furniture & Materials,501.67
M&j Distributors Limit,09/05/2023,Equipment Furniture & Materials,900.00
Facebk *6g4ugnbtw2,09/05/2023,Advertising (Non Employee),500.00
Www.Ryderdutton.Co.Uk,09/05/2023,Rent,"1,442.00"
Premier Suites Liverpool,09/05/2023,Hospitality,630.00
Leeds Marriott Hotel Foh,10/05/2023,Equipment Furniture & Materials,676.00
Rs Components,10/05/2023,Repairs & Maintenance (Non CPMF),673.20
Www.Adass.Org.Uk,10/05/2023,Equipment Furniture & Materials,580.00
Northern Diver (Intnl),11/05/2023,Equipment Furniture & Materials,"2,500.00"
Cs* Tesco Stores Gc,11/05/2023,Equipment Furniture & Materials,"1,014.00"
1st Mark,11/05/2023,Equipment Furniture & Materials,687.50
Sumup *ram Flooring S,11/05/2023,Equipment Furniture & Materials,663.00
Sumup *ram Flooring S,11/05/2023,Equipment Furniture & Materials,544.00
Www.Ovoenergy.Com,11/05/2023,Electricity,"1,184.25"
Reedsrains.Co.Uk,11/05/2023,Professional Fees,600.00
Sportsdirect.Com,11/05/2023,Equipment Furniture & Materials,"3,604.99"
Mailchimp,12/05/2023,Subscriptions,"1,113.46"
Trainline.Com,12/05/2023,Employee Transport Costs,647.76
The Mercury Hotel,15/05/2023,Payments to Private Contractors,975.00
The Mercury Hotel,15/05/2023,Payments to Private Contractors,900.00
Sp Rlss UK Shop,18/05/2023,"Clothing, Uniform and Laundry","1,569.60"
Sp Rlss UK Shop,18/05/2023,"Clothing, Uniform and Laundry",599.76
Ayrefield Developments Li,22/05/2023,Payments to Private Contractors,"1,208.33"
Trainline,02/06/2023,Employee Transport Costs,521.49
Vistaprint,05/06/2023,Equipment Furniture & Materials,629.84
Tahdah Verified,05/06/2023,"Education, Training, Exam Fees",595.00
Novadata Tachograph An,05/06/2023,Equipment Furniture & Materials,658.74
Mailchimp,05/06/2023,Subscriptions,"1,100.60"
Www.Johnlewis.Com,05/06/2023,Equipment Furniture & Materials,640.83
Platt & Fishwick Ltd,05/06/2023,Professional Fees,500.00
Bank Of Ireland,05/06/2023,Payments to Private Contractors,"1,000.00"
Bank Of Ireland,05/06/2023,Payments to Private Contractors,"1,000.00"
Bank Of Ireland,05/06/2023,Payments to Private Contractors,"1,000.00"
Holiday Inn Express Leigh,05/06/2023,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,05/06/2023,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,05/06/2023,Payments to Private Contractors,833.33
Vink UK Limited,06/06/2023,Direct Materials,"3,330.16"
Choice Hotels V/T,06/06/2023,Equipment Furniture & Materials,775.00
Www.Argos.Co.Uk,06/06/2023,Equipment Furniture & Materials,622.95
Trainline.Com,06/06/2023,Employee Transport Costs,540.30
Vrbo Ha72554554387051,06/06/2023,Equipment Furniture & Materials,924.40
Vrbo Ha72554557330458,06/06/2023,Equipment Furniture & Materials,943.60
Keep It Sweet Confect,07/06/2023,Provisions - Food and Drink,708.00
The Green Reaper,07/06/2023,Grounds Maintenance,"1,660.00"
1st Mark,07/06/2023,Equipment Furniture & Materials,"1,597.50"
Hse,08/06/2023,Equipment Furniture & Materials,715.00
Wrexham Self Storage Ltd,08/06/2023,Equipment Furniture & Materials,693.94
Www.Argos.Co.Uk,09/06/2023,Grants to External Bodies,533.45
Sumup *ram Flooring S,12/06/2023,Equipment Furniture & Materials,696.00
Ribby Hall Village,14/06/2023,Hospitality,981.00
Ribby Hall Village,14/06/2023,Hospitality,570.00
Lake District N P,21/06/2023,Equipment Furniture & Materials,"1,200.00"
Hg Premier Lettings,22/06/2023,Payments to Private Contractors,"1,858.33"
Seacon Uk,04/07/2023,Equipment Furniture & Materials,"1,419.62"
B.A.C.R Education,04/07/2023,"Education, Training, Exam Fees","1,125.00"
Www.Dcbltd.Com,04/07/2023,Equipment Furniture & Materials,"1,936.41"
Howdens - Cr/contrl D289,04/07/2023,Direct Materials,"1,551.50"
Premier Inn,05/07/2023,Equipment Furniture & Materials,821.91
Www.Screwfix.Com,05/07/2023,Equipment Furniture & Materials,572.80
Ocean Beach Hotel Spa,05/07/2023,Employee Subsistence,"1,800.00"
Redactive,05/07/2023,Equipment Furniture & Materials,954.00
Trainline,05/07/2023,Employee Transport Costs,659.57
Sp Electric Mania,05/07/2023,Equipment Furniture & Materials,"2,429.46"
Sp Electric Mania,05/07/2023,Equipment Furniture & Materials,"2,429.46"
K West Hotel And Spa,05/07/2023,Employee Subsistence,"2,120.00"
Only Oak Furniture,05/07/2023,Equipment Furniture & Materials,"1,444.23"
Paypal *argosdirect,05/07/2023,Grants to External Bodies,529.50
Paypal *argosdirect,05/07/2023,Grants to External Bodies,516.00
Transport Hub,06/07/2023,Employee Transport Costs,650.00
Sp Roseland Furnitur,06/07/2023,Equipment Furniture & Materials,"1,499.95"
Disney Travel,06/07/2023,Equipment Furniture & Materials,"2,817.66"
Www.Argos.Co.Uk,06/07/2023,Equipment Furniture & Materials,535.94
Machine Mart Web,07/07/2023,Equipment Furniture & Materials,530.79
Gloveman Supplies Limited,10/07/2023,Equipment Furniture & Materials,500.00
Vw Cv Sales,10/07/2023,Equipment Furniture & Materials,978.00
Trainline,11/07/2023,Employee Transport Costs,742.78
Facebk 2w87arxjv2,11/07/2023,Advertising (Non Employee),500.00
Www.Haltonhousing.Org,11/07/2023,Rent,"1,160.00"
Ikea Ltd Shop Online,11/07/2023,Equipment Furniture & Materials,537.00
Mailchimp,12/07/2023,Subscriptions,"1,115.34"
Regal Estate & Letting,13/07/2023,Payments to Private Contractors,"1,000.00"
Regal Estate & Letting,13/07/2023,Payments to Private Contractors,800.00
Holiday Inn Express Leigh,13/07/2023,Payments to Private Contractors,569.21
Bkg*hotel At Booking.C,21/07/2023,Payments to Private Contractors,"1,022.40"
Bkg*hotel At Booking.C,21/07/2023,Home To School,585.00
Novadata Tachograph An,02/08/2023,Equipment Furniture & Materials,669.48
Bournemouth Marriott,02/08/2023,Equipment Furniture & Materials,"1,441.00"
Www.Local.Gov.Uk,02/08/2023,Equipment Furniture & Materials,594.00
Holiday Inn Express Leigh,02/08/2023,Payments to Private Contractors,833.33
Holiday Inn Express Leigh,02/08/2023,Payments to Private Contractors,660.00
Amznmktplace,02/08/2023,Equipment Furniture & Materials,599.90
Amznmktplace,02/08/2023,Equipment Furniture & Materials,589.90
Www.Forestholidayscabins,02/08/2023,Equipment Furniture & Materials,862.50
Scottish Power,02/08/2023,Equipment Furniture & Materials,500.00
Ballotbin.Co.Uk,03/08/2023,Marketing & Publicity,729.39
Seca Limited,03/08/2023,Equipment Furniture & Materials,710.97
Red Door Bistro,03/08/2023,Hospitality,"1,002.54"
Www.Argos.Co.Uk,03/08/2023,Grants to External Bodies,533.95
Sp Chamberlain Music,03/08/2023,Equipment Furniture & Materials,758.33
Boosey & Hawkes,03/08/2023,Equipment Furniture & Materials,527.75
Wex Photo,04/08/2023,Equipment Furniture & Materials,"1,065.00"
Lock And Key Centr,07/08/2023,Equipment Furniture & Materials,738.72
Robin Hood Watersports,07/08/2023,Equipment Furniture & Materials,"2,776.24"
One4all,08/08/2023,Personal Needs,506.50
Bournemouth Marriott,08/08/2023,Equipment Furniture & Materials,"1,196.25"
Sumup *ram Flooring S,09/08/2023,Equipment Furniture & Materials,790.00
Eb *visual Data With M,09/08/2023,Equipment Furniture & Materials,580.00
Dfs Trading Limited,09/08/2023,Equipment Furniture & Materials,"1,696.00"
Rnib Enterprise,09/08/2023,Equipment Furniture & Materials,898.80
Uk Point Of Sale Group Lt,09/08/2023,Direct Materials,691.20
Travelodge Gb0000,10/08/2023,Payments to Private Contractors,726.22
Mailchimp,11/08/2023,Subscriptions,"1,169.83"
Bkg*hotel At Booking.C,11/08/2023,Hospitality,825.00
Airbnb * Hmk3dtkwt9,14/08/2023,Employee Transport Costs,832.00
Rnib Enterprise,14/08/2023,Equipment Furniture & Materials,898.80
Rnib Enterprise,14/08/2023,Equipment Furniture & Materials,898.80
Northern Diver (Intnl),18/08/2023,Equipment Furniture & Materials,"3,120.00"
Amznmktplace,19/08/2023,Equipment Furniture & Materials,977.94
Baker Ross,21/08/2023,Equipment Furniture & Materials,931.20
Leaders,21/08/2023,Payments to Private Contractors,638.16
Tahdah Verified,21/08/2023,Equipment Furniture & Materials,590.00
Tahdah Verified,01/09/2023,"Education, Training, Exam Fees",708.00
Airbnb * Hmk3dtkwt9,04/09/2023,Employee Transport Costs,786.25
Blackhawk Cs** Iceland,04/09/2023,Equipment Furniture & Materials,500.00
Bkg*hotel At Booking.C,04/09/2023,Hospitality,"1,124.94"
M&j Distributors Limit,05/09/2023,Equipment Furniture & Materials,939.42
Easyjet K5xgqww,05/09/2023,Equipment Furniture & Materials,722.55
Premier Inn,05/09/2023,Equipment Furniture & Materials,644.95
Sp Electric Mania,05/09/2023,Equipment Furniture & Materials,"2,979.80"
Sp Electric Mania,05/09/2023,Equipment Furniture & Materials,"2,979.80"
Asda Groceries Online,05/09/2023,Equipment Furniture & Materials,519.45
Pmt Online,05/09/2023,Equipment Furniture & Materials,522.99
Dfs Trading Limited,05/09/2023,Equipment Furniture & Materials,"1,847.00"
Scottish Power,05/09/2023,Equipment Furniture & Materials,500.00
Vocal Star Limited,06/09/2023,Equipment Furniture & Materials,"1,416.66"
Ryanair 224bffbwc,06/09/2023,Equipment Furniture & Materials,559.96
Justgiving Leighyouthandc,06/09/2023,Equipment Furniture & Materials,"5,000.00"
3b Training Ltd,06/09/2023,"Education, Training, Exam Fees","1,590.00"
Bowker Lettings Ltd,06/09/2023,Rent,"1,000.00"
Bowker Lettings Ltd,06/09/2023,Rent,550.00
Belvoir Wigan,06/09/2023,Rent,"1,000.00"
Dfs Trading Limited,07/09/2023,Equipment Furniture & Materials,"2,547.00"
Www.Lmsmusicsupplies.C,07/09/2023,Equipment Furniture & Materials,726.00
Gear4music,07/09/2023,Equipment Furniture & Materials,"1,665.83"
Lock And Key Centr,08/09/2023,Equipment Furniture & Materials,736.82
Mailchimp,08/09/2023,Subscriptions,"1,168.91"
Lakes Outdoor Training,11/09/2023,Equipment Furniture & Materials,510.00
Facebk *lp7z7sbtw2,11/09/2023,Advertising (Non Employee),500.00
Easyjet K5xmdlz,12/09/2023,Equipment Furniture & Materials,"1,830.40"
