Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200097265,1,202305,Barclaycard - Global Commercial Payments,35.83 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200101051,1,202305,Barclaycard - Global Commercial Payments,48.29 ,15/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200101225,1,202305,Barclaycard - Global Commercial Payments,337.60 ,15/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200102225,1,202305,Barclaycard - Global Commercial Payments,-21.00 ,15/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200094614,1,202305,Barclaycard - Global Commercial Payments,42.88 ,01/08/2023
Schools,Supplies and Services,"Furn, Equip & Mats",200098933,1,202305,Barclaycard - Global Commercial Payments,140.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099454,1,202305,Barclaycard - Global Commercial Payments,1.93 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200096739,1,202305,Barclaycard - Global Commercial Payments,5.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200096820,1,202305,Barclaycard - Global Commercial Payments,16.99 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200096931,1,202305,Barclaycard - Global Commercial Payments,4.10 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097002,1,202305,Barclaycard - Global Commercial Payments,5.40 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097004,1,202305,Barclaycard - Global Commercial Payments,176.27 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097094,1,202305,Barclaycard - Global Commercial Payments,15.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097163,1,202305,Barclaycard - Global Commercial Payments,14.99 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097164,1,202305,Barclaycard - Global Commercial Payments,3.75 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097187,1,202305,Barclaycard - Global Commercial Payments,15.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097255,1,202305,Barclaycard - Global Commercial Payments,4.02 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097256,1,202305,Barclaycard - Global Commercial Payments,7.99 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097258,1,202305,Barclaycard - Global Commercial Payments,3.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097388,1,202305,Barclaycard - Global Commercial Payments,3.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097393,1,202305,Barclaycard - Global Commercial Payments,20.00 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097590,1,202305,Barclaycard - Global Commercial Payments,19.47 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097591,1,202305,Barclaycard - Global Commercial Payments,54.76 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200097936,1,202305,Barclaycard - Global Commercial Payments,14.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200098129,1,202305,Barclaycard - Global Commercial Payments,16.88 ,15/08/2023
