Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200093900,1,202301,Barclaycard - Global Commercial Payments,63.00 ,26/04/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200094197,1,202301,Barclaycard - Global Commercial Payments,288.75 ,26/04/2023
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200092957,1,202301,Barclaycard - Global Commercial Payments,208.33 ,26/04/2023
Schools,Employees,Indirect Employee Expenses,200092625,1,202301,Barclaycard - Global Commercial Payments,599.00 ,26/04/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200091227,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200091228,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200094198,1,202301,Barclaycard - Global Commercial Payments,450.00 ,26/04/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200094885,1,202301,Barclaycard - Global Commercial Payments,130.00 ,26/04/2023
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200091565,1,202301,Barclaycard - Global Commercial Payments,199.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200090751,1,202301,Barclaycard - Global Commercial Payments,60.29 ,26/04/2023
Schools,Employees,Indirect Employee Expenses,200089499,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
Schools,Employees,Indirect Employee Expenses,200089500,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
Schools,Employees,Indirect Employee Expenses,200090552,1,202301,Barclaycard - Global Commercial Payments,199.00 ,26/04/2023
Schools,Employees,Indirect Employee Expenses,200072717,1,202301,Barclaycard - Global Commercial Payments,250.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200073819,1,202301,Barclaycard - Global Commercial Payments,12.99 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200077809,1,202301,Barclaycard - Global Commercial Payments,166.98 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200077810,1,202301,Barclaycard - Global Commercial Payments,23.74 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200085068,1,202301,Barclaycard - Global Commercial Payments,3.94 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200086728,1,202301,Barclaycard - Global Commercial Payments,36.26 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200092109,1,202301,Barclaycard - Global Commercial Payments,22.98 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200093677,1,202301,Barclaycard - Global Commercial Payments,23.99 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200093724,1,202301,Barclaycard - Global Commercial Payments,34.39 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Rep & Maint,200093936,1,202301,Barclaycard - Global Commercial Payments,72.30 ,26/04/2023
Public Health and Wellbeing,Premises,Rep & Maint,200093134,1,202301,Barclaycard - Global Commercial Payments,25.33 ,26/04/2023
Public Health and Wellbeing,Premises,Rep & Maint,200094680,1,202301,Barclaycard - Global Commercial Payments,38.33 ,26/04/2023
Public Health and Wellbeing,Premises,Rep & Maint,200093024,1,202301,Barclaycard - Global Commercial Payments,6.07 ,26/04/2023
Public Health and Wellbeing,Premises,Rep & Maint,200093205,1,202301,Barclaycard - Global Commercial Payments,23.99 ,26/04/2023
Schools,Premises,Rep & Maint,200093905,1,202301,Barclaycard - Global Commercial Payments,35.71 ,26/04/2023
Schools,Premises,Rep & Maint,200094206,1,202301,Barclaycard - Global Commercial Payments,16.48 ,26/04/2023
Schools,Premises,Rep & Maint,200094207,1,202301,Barclaycard - Global Commercial Payments,151.71 ,26/04/2023
Schools,Premises,Rep & Maint,200092971,1,202301,Barclaycard - Global Commercial Payments,4.39 ,26/04/2023
Schools,Premises,Rep & Maint,200092972,1,202301,Barclaycard - Global Commercial Payments,15.88 ,26/04/2023
Schools,Premises,Rep & Maint,200093166,1,202301,Barclaycard - Global Commercial Payments,6.88 ,26/04/2023
Schools,Premises,Rep & Maint,200093489,1,202301,Barclaycard - Global Commercial Payments,14.15 ,26/04/2023
Schools,Premises,Rep & Maint,200094219,1,202301,Barclaycard - Global Commercial Payments,6.14 ,26/04/2023
Schools,Premises,Rep & Maint,200094220,1,202301,Barclaycard - Global Commercial Payments,8.46 ,26/04/2023
Schools,Premises,Rep & Maint,200094506,1,202301,Barclaycard - Global Commercial Payments,63.82 ,26/04/2023
Schools,Premises,Rep & Maint,200093536,1,202301,Barclaycard - Global Commercial Payments,27.00 ,26/04/2023
Schools,Premises,Rep & Maint,200092969,1,202301,Barclaycard - Global Commercial Payments,12.41 ,26/04/2023
Schools,Premises,Rep & Maint,200091503,1,202301,Barclaycard - Global Commercial Payments,51.62 ,26/04/2023
Schools,Premises,Rep & Maint,200093494,1,202301,Barclaycard - Global Commercial Payments,32.85 ,26/04/2023
Schools,Premises,Rep & Maint,200092455,1,202301,Barclaycard - Global Commercial Payments,241.67 ,26/04/2023
Schools,Premises,Rep & Maint,200094479,1,202301,Barclaycard - Global Commercial Payments,121.63 ,26/04/2023
Schools,Premises,Ground Maint,200091505,1,202301,Barclaycard - Global Commercial Payments,116.62 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200072335,1,202301,Barclaycard - Global Commercial Payments,10.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200072634,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200072684,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200075586,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076025,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076216,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076217,1,202301,Barclaycard - Global Commercial Payments,10.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076519,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076590,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076593,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076756,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200076757,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200077015,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200077984,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200078181,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200078305,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200078719,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200078720,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200078906,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079320,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079430,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079431,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079651,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079733,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079880,1,202301,Barclaycard - Global Commercial Payments,20.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079881,1,202301,Barclaycard - Global Commercial Payments,35.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200079999,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200080194,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200082104,1,202301,Barclaycard - Global Commercial Payments,60.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200086525,1,202301,Barclaycard - Global Commercial Payments,10.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200088137,1,202301,Barclaycard - Global Commercial Payments,40.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093251,1,202301,Barclaycard - Global Commercial Payments,30.00 ,26/04/2023
"Housing, Environment and Healthy Communities",Premises,Energy,200093768,1,202301,Barclaycard - Global Commercial Payments,32.67 ,26/04/2023
