Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200096505,1,202306,Barclaycard - Global Commercial Payments,120.40 ,13/09/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200102242,1,202306,Barclaycard - Global Commercial Payments,23.00 ,13/09/2023
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200103246,1,202306,Barclaycard - Global Commercial Payments,210.00 ,25/09/2023
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200101581,1,202306,Barclaycard - Global Commercial Payments,30.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200102415,1,202306,Barclaycard - Global Commercial Payments,65.00 ,04/09/2023
Resources and Digital,Employees,Indirect Employee Expenses,200095599,1,202306,Barclaycard - Global Commercial Payments,"1,140.00 ",15/09/2023
Resources and Digital,Employees,Indirect Employee Expenses,200101595,1,202306,Barclaycard - Global Commercial Payments,83.33 ,15/09/2023
Schools,Employees,Indirect Employee Expenses,200100068,1,202306,Barclaycard - Global Commercial Payments,101.58 ,04/09/2023
Schools,Employees,Indirect Employee Expenses,200100723,1,202306,Barclaycard - Global Commercial Payments,122.46 ,04/09/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200100162,1,202306,Barclaycard - Global Commercial Payments,86.30 ,19/09/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200101879,1,202306,Barclaycard - Global Commercial Payments,70.00 ,19/09/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200102617,1,202306,Barclaycard - Global Commercial Payments,75.00 ,04/09/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200102901,1,202306,Barclaycard - Global Commercial Payments,768.00 ,13/09/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200102902,1,202306,Barclaycard - Global Commercial Payments,768.00 ,13/09/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200102903,1,202306,Barclaycard - Global Commercial Payments,768.00 ,13/09/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200103649,1,202306,Barclaycard - Global Commercial Payments,-384.00 ,13/09/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200102156,1,202306,Barclaycard - Global Commercial Payments,90.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200100635,1,202306,Barclaycard - Global Commercial Payments,48.00 ,21/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200103266,1,202306,Barclaycard - Global Commercial Payments,19.00 ,21/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200102416,1,202306,Barclaycard - Global Commercial Payments,147.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200102470,1,202306,Barclaycard - Global Commercial Payments,54.00 ,04/09/2023
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200102835,1,202306,Barclaycard - Global Commercial Payments,147.00 ,19/09/2023
Public Health and Wellbeing,Employees,Indirect Employee Expenses,200101011,1,202306,Barclaycard - Global Commercial Payments,78.75 ,04/09/2023
Schools,Employees,Indirect Employee Expenses,200100324,1,202306,Barclaycard - Global Commercial Payments,225.00 ,13/09/2023
Schools,Employees,Indirect Employee Expenses,200100349,1,202306,Barclaycard - Global Commercial Payments,45.83 ,21/09/2023
Schools,Employees,Indirect Employee Expenses,200100350,1,202306,Barclaycard - Global Commercial Payments,45.83 ,21/09/2023
Schools,Employees,Indirect Employee Expenses,200100791,1,202306,Barclaycard - Global Commercial Payments,35.00 ,13/09/2023
