Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200098135,1,202304,Barclaycard - Global Commercial Payments,137.44 ,13/07/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200098166,1,202304,Barclaycard - Global Commercial Payments,145.00 ,13/07/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200098555,1,202304,Barclaycard - Global Commercial Payments,500.00 ,13/07/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200098114,1,202304,Barclaycard - Global Commercial Payments,185.00 ,13/07/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200098004,1,202304,Barclaycard - Global Commercial Payments,52.50 ,13/07/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200099709,1,202304,Barclaycard - Global Commercial Payments,52.50 ,13/07/2023
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200097589,1,202304,Barclaycard - Global Commercial Payments,20.00 ,13/07/2023
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200096736,1,202304,Barclaycard - Global Commercial Payments,59.28 ,13/07/2023
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200098364,1,202304,Barclaycard - Global Commercial Payments,-59.28 ,19/07/2023
Integrated Adults & Social Care Services,Employees,Indirect Employee Expenses,200093564,1,202304,Barclaycard - Global Commercial Payments,23.10 ,13/07/2023
Integrated Adults & Social Care Services,Employees,Indirect Employee Expenses,200094064,1,202304,Barclaycard - Global Commercial Payments,-23.10 ,13/07/2023
Schools,Employees,Indirect Employee Expenses,200098525,1,202304,Barclaycard - Global Commercial Payments,27.00 ,13/07/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200098692,1,202304,Barclaycard - Global Commercial Payments,27.00 ,13/07/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200098257,1,202304,Barclaycard - Global Commercial Payments,67.00 ,13/07/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200098258,1,202304,Barclaycard - Global Commercial Payments,67.00 ,13/07/2023
Children's Social Care & Lifelong Learning,Employees,Indirect Employee Expenses,200099291,1,202304,Barclaycard - Global Commercial Payments,120.00 ,13/07/2023
Corporate Services & Governance,Employees,Indirect Employee Expenses,200099601,1,202304,Barclaycard - Global Commercial Payments,195.00 ,13/07/2023
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200096169,1,202304,Barclaycard - Global Commercial Payments,226.30 ,13/07/2023
