Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,12/09/2023,4834791,103,TOTAL HEALTH SUPPORT & TRAINING SERVICES,ASC Senior Management Team,-20000,Other support - not recoverabl,INTERNAL,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,20/09/2023,4837372,104,CSN CARE GROUP LTD T/A CAREWATCH,ASC Senior Management Team,-27685.51,Other support - not recoverabl,Direct Payments,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,20/09/2023,4837373,105,REALCARE+ LTD,ASC Senior Management Team,-27399.46,Other support - not recoverabl,Third Party Supplier,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,26/09/2023,4827378,107,RESIDENTIAL COMMUNITY CARE,LD Residential,-43536.39,Purchased Care,Direct Payments,CREDIT,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4826708,373906,TRAVIS PERKINS TRADING COMPANY LTD,Highways and Drainage,618.45,Materials Direct,SUB-CONTRACTOR,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4830893,373907,FERGAL CONTRACTING CO LTD,Bridge Maintenance,2935,Contractors,SUB-CONTRACTOR,STANDARD,8873,ZZZC-Capital
RBC Legal Entity,01/09/2023,4830817,373911,EVERYCARE READING,Charles Clore Court,645.99,Agency Staff,Third Party Supplier,STANDARD,5157,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4832946,373912,ASSN OF ELECTORAL ADMINISTRATORS,Electoral Registration,555,Elections,GOVERNMENT,STANDARD,2440,LAAA-Directorate of Resources
RBC Legal Entity,01/09/2023,4825454,373916,WATES MAINTENANCE SERVICES LTD,Mental Health Team,951,Equipment Purchase & Repair,Third Party Supplier,STANDARD,5253,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/09/2023,4825447,373917,DRAIN & ABLE,Corporate Maintenance Services,1125,Agency + Contracted Serv  Mng,Third Party Supplier,STANDARD,4080,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4829021,373919,TREVAL CLEANING SERVICES,South Street Operations,2033,Office Cleaning,Third Party Supplier,STANDARD,1220,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4832936,373922,HALFORDS LTD,Payroll + Payments A/c,1255.83,Holding Code,Third Party Supplier,STANDARD,9823,ZZZB-Balance Sheet
RBC Legal Entity,01/09/2023,4825970,373923,CLC CONTRACTORS LTD,Repairs,2750,Responsive Repairs,SUB-CONTRACTOR,STANDARD,5970,HAAA-Housing Revenue Account
RBC Legal Entity,01/09/2023,4825991,373924,HAGS-SMP LTD,Streetscene,531.8,CPG Maintenance,SUB-CONTRACTOR,STANDARD,4567,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4829709,373929,MEADEE FLOORING LTD,DLO Voids Trades,220,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4020,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4829709,373929,MEADEE FLOORING LTD,DLO Voids Trades,1626,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4020,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4831706,373929,MEADEE FLOORING LTD,Payroll + Payments A/c,-28,System Creditors,SUB-CONTRACTOR,CREDIT,9823,ZZZB-Balance Sheet
RBC Legal Entity,01/09/2023,4831706,373929,MEADEE FLOORING LTD,DLO Day to Day Trades,140,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4831706,373929,MEADEE FLOORING LTD,DLO Day to Day Trades,397,Subcontractors Labour,SUB-CONTRACTOR,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4832963,373932,GALLAGHER BASSETT INTERNATIONAL LTD,Core Insurance Programme from 01.04.2015,16075,Expenditure,Third Party Supplier,STANDARD,9805,ZZZB-Balance Sheet
RBC Legal Entity,01/09/2023,4825394,373933,NLC NOVA LIFT CO LTD,Repairs,927.52,Essential Cyclical Insp. + Mai,SUB-CONTRACTOR,STANDARD,5970,HAAA-Housing Revenue Account
RBC Legal Entity,01/09/2023,4825424,373934,THE OYSTER PARTNERSHIP LTD,Planning Enforcement Team,1110,Agency Staff,Third Party Supplier,STANDARD,4616,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825425,373934,THE OYSTER PARTNERSHIP LTD,Taxi & Private Hire Licensing,1400,Agency Staff,Third Party Supplier,STANDARD,4603,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825431,373935,G2 RECRUITMENT SOLUTIONS LTD,DLO Management & Strategy,1365,General & Admin & Clerical,Third Party Supplier,STANDARD,4001,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825558,373935,G2 RECRUITMENT SOLUTIONS LTD,DLO Day to Day Trades,1800,Subcontractors Labour,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825567,373935,G2 RECRUITMENT SOLUTIONS LTD,DLO Day to Day Trades,1120,Subcontractors Labour,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4826687,373935,G2 RECRUITMENT SOLUTIONS LTD,Planning Enforcement Team,1261.68,Agency Staff,Third Party Supplier,STANDARD,4616,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4830902,373935,G2 RECRUITMENT SOLUTIONS LTD,Building Control,1600,Agency Staff,Third Party Supplier,STANDARD,4701,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4831662,373935,G2 RECRUITMENT SOLUTIONS LTD,Building Control,1224.3,Agency Staff,Third Party Supplier,STANDARD,4701,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4832883,373936,OLIVER POWELL,JLT Disbursements,900,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/09/2023,4825385,373937,BK SAFETY & WORKWEAR LTD,Refuse Collection,12.02,Uniforms,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825385,373937,BK SAFETY & WORKWEAR LTD,Refuse Collection,66.39,Uniforms,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825385,373937,BK SAFETY & WORKWEAR LTD,Refuse Collection,110.65,Uniforms,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825385,373937,BK SAFETY & WORKWEAR LTD,Refuse Collection,205.76,Uniforms,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4825385,373937,BK SAFETY & WORKWEAR LTD,Refuse Collection,205.76,Uniforms,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/09/2023,4830493,373938,KCARE NURSING AGENCY LTD,PS Acquired Community Services,2049.92,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
