Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,352001,Conference Expenses,02/09/2024,4309670-INV-1045,£570.00,LOCAL AUTHORITY REGISTRATION & CORONER SERVICES ASSOCIATION.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,384500,Miscellaneous Expenses,02/09/2024,4309692-INV5533,£840.00,OAKDALE CENTRE.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/09/2024,4309697-13997,"£16,912.33",P PLUNKETT TILING CONTRACTORS LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384302,Miscellaneous Expenses,02/09/2024,4309574-1594,"£3,000.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Children and Young Peoples Services,Childrens Services Operational Support,Supplies and Services,338026,Services,02/09/2024,4309727-SH160,"£1,029.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Neighbourhoods and Climate Change,Community Protection,Supplies and Services,338027,Services,02/09/2024,4309570-28567638,£533.00,AECOM LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/09/2024,4309571-36368742,"£1,203.94",AGGREGATE INDUSTRIES UK LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,02/09/2024,4309575-1865,"£4,000.00",ALD HAIRDRESSING TRAINING ACADEMY LTD.,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338108,Services,02/09/2024,4309577-0015014,"£2,280.00",ANALYTICAL SERVICES INTERNATIONAL LTD.,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338108,Services,02/09/2024,4309577-0015595,"£13,200.00",ANALYTICAL SERVICES INTERNATIONAL LTD.,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338108,Services,02/09/2024,4309577-0015721,"£12,921.00",ANALYTICAL SERVICES INTERNATIONAL LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Premises,145050,Cleaning and Domestic Supplies,02/09/2024,4309579-3063,"£1,189.50",APM CLEANING & REPAIR LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,312009,Newspapers books and periodicals E312,02/09/2024,4309581-7068991,£622.69,ASKEWS & HOLTS LIBRARY SERVICES LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,312009,Newspapers books and periodicals E312,02/09/2024,4309581-7069049,£688.50,ASKEWS & HOLTS LIBRARY SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Vehicles Equipment Furniture and Fittings,912529,Purchase-equipment,02/09/2024,4309586-INV193217,"£1,260.00",BAXTERSTOREY LTD.,,,,,,
