Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030689,Inward Investment and Aftercare,Supplies and Services,336005,Advertising E336,01-Dec-2024,000010303172278,LinkedIn Ads 107301171,7311,Advertising other than for staff,65.51,0.00,65.51
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,01-Dec-2024,000010303172312,AMZNMktplace ED44L7K55,5999,Other consumables,3.99,0.67,3.32
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,01-Dec-2024,000010303172314,AMZNMktplace VV5ZV4T65,5999,Other consumables,5.59,0.93,4.66
Neighbourhoods and Climate Change,Environmental Services,011193,E&D - Play Area Maintenance,Supplies and Services,304999,Equipment and Materials,01-Dec-2024,000010303173196,JT ATKINSON ECOMM,5211,Misc equipment tools and materials,150.64,25.11,125.53
Children and Young Peoples Services,Head of Education and Skills,070169,Durham SSP,Supplies and Services,304999,Equipment and Materials,01-Dec-2024,000010303173766,Microsoft Microsoft 36,5816,Misc equipment tools and materials,7.99,1.33,6.66
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304999,Equipment and Materials,01-Dec-2024,000010303174300,Microsoft Ultimate 1 M,5816,Misc equipment tools and materials,14.99,0.00,14.99
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304403,Equipment and Materials,01-Dec-2024,000010303174330,SHEIN.COM,5999,Other consumables,28.38,0.00,28.38
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010303174334,AMAZON X23AW14U5,5399,Catering costs - provisions,63.76,0.00,63.76
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,304403,Equipment and Materials,01-Dec-2024,000010303174338,AMZNMktplace W11WW5BZ5,5999,Other consumables,7.99,0.00,7.99
Children and Young Peoples Services,Head of Childrens Social Care,085329,Care Leavers UASC Team,Supplies and Services,384504,Miscellaneous Expenses,01-Dec-2024,000010303174610,AMZNBusiness N77SV6165,5999,Assistance to asylum seekers,39.82,6.64,33.18
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,01-Dec-2024,000010303175354,TRAVELODGE,3615,Conferencesseminars fees etc,33.64,0.00,33.64
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,01-Dec-2024,000010303175358,TRAVELODGE,3615,Conferencesseminars fees etc,35.17,0.00,35.17
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085962,Aycliffe Secure - Durham,Supplies and Services,304403,Equipment and Materials,01-Dec-2024,000010303175724,AMZNBusiness 7W2OO8S65,5999,Other consumables,39.19,6.53,32.66
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085954,Walworth,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010303175878,TESCO STORES 6329,5411,Catering costs - provisions,109.76,0.00,109.76
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,304403,Equipment and Materials,01-Dec-2024,000010303176094,amazon.co.uk,5999,Other consumables,4.99,0.00,4.99
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,384871,Miscellaneous Expenses,01-Dec-2024,000010303176098,WWWKARTINGNORTHEASTCOM,7996,Training-other activities,38.25,0.00,38.25
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010303176364,TESCO STORES 6329,5411,Catering costs - provisions,46.27,0.00,46.27
Dedicated Schools Grant BG0015,DSG Schools Block,321301,Lanchester EP 3213 - Reception,Supplies and Services,384985,Miscellaneous Expenses,01-Dec-2024,000010303176382,AMAZON 8Q2613SO5,5399,Miscellaneous-special facilities,60.59,0.00,60.59
Regeneration Economy and Growth,Corporate Property and Land,010525,Catering - Green Lane,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010309532926,BESTWAY WHOLESALE,5300,Catering costs - provisions,132.30,22.05,110.25
Regeneration Economy and Growth,Corporate Property and Land,010525,Catering - Green Lane,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010309532926 - 1,BESTWAY WHOLESALE,5300,Catering costs - provisions,91.63,,91.63
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010309532956,BESTWAY WHOLESALE,5300,Catering costs - provisions,16.20,2.70,13.50
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010309532956 - 1,BESTWAY WHOLESALE,5300,Catering costs - provisions,137.85,,137.85
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010309532972,BESTWAY WHOLESALE,5300,Catering costs - provisions,168.54,28.09,140.45
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,01-Dec-2024,000010309532972 - 1,BESTWAY WHOLESALE,5300,Catering costs - provisions,343.87,,343.87
