Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Resources BK0010,Legal & Democratic Services,Supplies and Services,338101,Services,01/02/2023,4095229-CAB/012/2022JC,œ750.00,REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,03/02/2023,4096048-RES-02-2023-038,"œ1,456.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,384500,Miscellaneous Expenses,08/02/2023,4097532-NB1001,"œ1,875.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338099,Services,09/02/2023,4097973-20230117FL,œ542.15,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Third Party Payments,430131,Rendered by Private Contractors,09/02/2023,4098055-DCC2022009,œ616.00,REDACTED - PAYMENT TO INDIVIDUAL
Adult and Health Services,Head of Adults,Supplies and Services,338099,Services,09/02/2023,4098102-CATCH22-SEPT/OCT22,œ800.00,REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,13/02/2023,4098742-0098,"œ1,500.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338027,Services,13/02/2023,4098813-HN00254,"œ1,650.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Planning & Housing,Third Party Payments,440999,Other third party payments E440,17/02/2023,4102098-93,"œ2,250.00",REDACTED - PAYMENT TO INDIVIDUAL
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,20/02/2023,4102534-34689,œ694.65,REDACTED - PAYMENT TO INDIVIDUAL
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,20/02/2023,4102565-34714,œ868.31,REDACTED - PAYMENT TO INDIVIDUAL
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,20/02/2023,4102626-34519,œ820.50,REDACTED - PAYMENT TO INDIVIDUAL
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,22/02/2023,4103821-34972,œ936.60,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,22/02/2023,4103993-326LORAINEWALK,"œ1,570.50",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Planning & Housing,Cap Exp on Grants & Other Financial Assistance (REFCUS),918501,Exp assets not owned by authority,22/02/2023,4104105-RES-02-2023-389,"œ6,540.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,23/02/2023,4104503-41367,"œ4,720.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338027,Services,27/02/2023,4105159-012,"œ2,100.00",REDACTED - PAYMENT TO INDIVIDUAL
Adult and Health Services,Head of Adults,Supplies and Services,338089,Services,01/02/2023,4095196-707407,"œ1,998.00",CATALYST CONSULTING LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,01/02/2023,4095205-0000117762,"œ3,365.00",CLEVELAND CONTAINERS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/02/2023,4095220-4224,"œ1,978.53",CURTIS SITE SERVICES (NORTH EAST) LTD T/A CSS ELECTRICAL & MECHANICAL.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,01/02/2023,4095322-0569,"œ1,360.00",MECROW MEDICAL SERVICES LTD.
Resources BK0010,Transactional & Customer Services,Supplies and Services,372009,Subscriptions E372,01/02/2023,4095343-INV-1758,"œ14,200.00",NEW LOCAL LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,425021,Rendered by Voluntary Organisations,01/02/2023,4095359-2277,"œ41,785.25",PARK BLUE HOMES LTD.
Regeneration Economy and Growth,Planning & Housing,Third Party Payments,440999,Other third party payments E440,01/02/2023,4095388-TR63245,"œ2,311.68",READY TO RENT MANAGEMENT LLP.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,01/02/2023,4095420-1501,"œ27,567.10",STRICTLY THEATRE COMPANY LTD.
Resources - C A C,Resources - C A C- Level C,Supplies and Services,338017,Services,01/02/2023,4095446-APIO7735,œ760.85,TRUECOMMERCE (OLDHAM) LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,02/02/2023,4095492-15008433,"œ45,466.00",BARKELL LTD T/A AIREDALE INTERNATIONAL AIR CONDITIONING LTD.
Regeneration Economy and Growth,Communications Management,Supplies and Services,336005,Advertising E336,02/02/2023,4095496-INV-1290,"œ3,630.00",BEYOND DIGITAL SOLUTIONS LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384700,Miscellaneous Expenses,02/02/2023,4095524-RES-02-2023-009,"œ2,665.00",TOGETHER LEARNING PARTNERSHIP (ROSA STREET PRIMARY SCHOOL).
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384700,Miscellaneous Expenses,02/02/2023,4095562-NEI-HCL-01-2023-027,œ500.00,DURHAM FELL RUNNERS.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384302,Miscellaneous Expenses,02/02/2023,4095595-04112022,œ841.01,GATESHEAD YOUTH COUNCIL.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430128,Rendered by Private Contractors,02/02/2023,4095641-INV-0014,"œ2,060.00",JW TEWARD & SONS (HAULAGE) LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/02/2023,4095655-VOUCHER22NB-DCTY037,"œ1,000.00",LITTLETOWN CRICKET CLUB.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/02/2023,4095748-VOUCHER21TVF-EDUR004,"œ19,849.00",SOUTH HETTON PARISH COUNCIL.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,486020,Service level agreements E486,02/02/2023,4095757-03849,œ774.00,STANDBY HEALTHCARE (NORTH WEST) LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,486020,Service level agreements E486,02/02/2023,4095757-03874,œ903.00,STANDBY HEALTHCARE (NORTH WEST) LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,02/02/2023,4095758-VOUCHER22NB-WEAR009,"œ5,500.00",STANHOPE AGRICULTURAL SOCIETY.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,03/02/2023,4095817-VOUCHERCOUB13-22,œ999.00,"1ST LANGLEY PARK RAINBOWS, BROWNIES & GUIDES."
Resources BK0010,HR & Employee Services,Third Party Payments,486041,Service level agreements E486,03/02/2023,4095826-118661,"œ3,341.55",AMPLIVOX LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338089,Services,03/02/2023,4095830-15903,"œ11,820.00",APT TRAINING & CONSULTANCY LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,03/02/2023,4095834-INV-0058,"œ8,101.84",ARMIGER JOINERY LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338089,Services,03/02/2023,4095858-707408,"œ1,998.00",CATALYST CONSULTING LTD.
Dedicated Schools Grant BG0015,DSG Schools Block,Supplies and Services,384199,Miscellaneous Expenses,03/02/2023,4095888-EE1855,"œ6,316.50",EDUCATION ENTERPRISE.
