Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Resources BK0010,HR & Employee Services,Supplies and Services,384150,Miscellaneous Expenses,01/11/2024,4331806-80878,"£2,319.99",BAYMED HEALTHCARE LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,106080,Centrally Controlled Rep and Maint,01/11/2024,4331919-20012432,£660.00,KINGSPAN LIGHT & AIR LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,106080,Centrally Controlled Rep and Maint,01/11/2024,4331919-20012433,"£1,295.00",KINGSPAN LIGHT & AIR LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,106080,Centrally Controlled Rep and Maint,01/11/2024,4331919-20012468,£720.00,KINGSPAN LIGHT & AIR LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,01/11/2024,4331795-4100930221,£900.00,REDACTED - PAYMENT TO INDIVIDUAL
Adult and Health Services,Head of Adults,Supplies and Services,338066,Services,01/11/2024,4331852-UC126,£530.40,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,01/11/2024,4331877-F248SEP24,"£1,510.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/11/2024,4331982-44369,£600.00,REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,342051,Computers and Communications,01/11/2024,4331791-2208184,"£1,035.00",ACCESS UK LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,372009,Subscriptions E372,01/11/2024,4331791-2256728,"£4,031.60",ACCESS UK LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/11/2024,4331793-SI30620,"£2,363.07",AMBIC LTD.
