Body Name,Service Area Categorisation,Supplier Name,Date,Amount,Expenses Type,Category,Narrative
Police and Crime Commissioner for Derbyshire ,Police Services,Orchid Cellmark Ltd,45310,386471.24,Forensic Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C,,,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,SSS Public Safety Limited,45296,348600,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C,,,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derby SPV Ltd,45311,315455.11,Unitary Fee - PFI,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C,,,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,EDF Energy 1 Limited,45307,175604.4,Electricity,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,CelleBrite Uk Ltd,45315,150228.61,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,45306,136354,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,North East Derbyshire District Council,45307,131230,Land Purchase,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Allstar Business Solutions Ltd,45293,106561.3,Police Vehicle Fuel,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Allstar Business Solutions Ltd,45293,17.33,"Travel Misc (Car parking,Taxis etc)",A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,3676.86,Cleaning Contract,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,40324.55,Electricity,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,47.91,Fixture And Fittings,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,3498.43,Gas,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,17740.89,Rates,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,14088.25,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,4087,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,4471.7,Trade Waste Collection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,129.99,Water Charges,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,1936.4,Cleaning Consumables,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45299,1019.7,Grounds - Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,45303,82260,Recovery of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Care and Custody Limited,45294,80949.01,Medical Care of Prisoners,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,45320,77766.75,Financial Contracts,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Total Gas & Power Limited,45295,76727.72,Gas,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Black Rainbow Consulting Limited,45309,75550,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,45299,70347,Recovery of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,SSS Public Safety Limited,45296,67900,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,45306,66709,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,45316,63877.75,Vehicle Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,45302,61590.5,Vehicle Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,45306,56694,Partnerships,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Change Grow Live Services Limited,45306,54833.75,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Unit 4 Business Software Ltd,45309,52235.59,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commissioner for Essex,45307,51296.45,Borrowed Officers,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Gunnercooke LLP,45309,50000,Property Purchase,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Peugeot Motor Co Plc,45321,47771.26,Purchase of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Peugeot Motor Co Plc,45321,110,VEL / Veh Registration Fee,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,Catch 22 Charity Ltd,45306,43750,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Home Office Accounting Officer,45310,40185.77,Fees - Provision of Telecommunications Data,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,E Safety Training Ltd,45306,39632.5,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Thompson Tree Services (UK) Ltd,45313,32677.38,Grounds - Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
