Body Name,Service Area Categorisation,Supplier Name,Date,Amount,Expenses Type,Category,Narrative
Police and Crime Commissioner for Derbyshire ,Police Services,RFEA Limited,45364,9000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Hydro-X Air Ltd,45377,8872,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Heating & Process Engineering Services Ltd,45377,8855.49,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Pidcock and Beastall Ltd,45373,8678.21,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cooper Plant Transport Limited,45377,8387.95,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Supporting Victims of Sexual Violence Ltd,45363,8371.92,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Arthur J Gallagher Insurance Brokers Ltd,45376,8292.97,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Clarity Travel Limited,45379,8060.14,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Abbott Toxicology Ltd,45362,7956,Other Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Castle Water Limited,45359,7917.68,Water Charges,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,45371,7852.08,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,City of London Police,45373,7785.78,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Amplivox Limited,45357,7780,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Tailored Image,45357,7770,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cooper Plant Transport Limited,45377,7525,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Overton Electrical Services Limited,45363,7370.64,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,45371,7318.8,Equipment General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Overton Electrical Services Limited,45357,7283.7,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Erewash Borough Council,45364,7056.41,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,North East Derbyshire District Council,45362,7007.64,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Safe & Sound Derby,45359,7000,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,NPS Property Consultants Limited,45358,6825,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,45372,6661.49,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Bright Interactive Limited,45359,6468,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,45379,6414.5,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Scientific Laboratory Supplies,45363,6311.88,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mazars LLP,45352,6300,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,45357,6257.02,Infrastructure Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,45376,6246,Consultants Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Fire Safety Ltd,45356,6134.12,Buildings - Fire Precaution Work,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Viking Arms Ltd,45363,6110,Firearms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Pro Tect Safety Signs,45355,6052.1,Vehicle Equipment,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,EDF Energy 1 Limited,45358,5943.88,Electricity,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,EDF Energy 1 Limited,45355,5901.04,Electricity,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Make Consulting Limited,45363,5845.8,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,45376,5775,Consultants Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,W E Marson & Co Ltd,45363,5744.6,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45369,5654.85,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45362,5654.05,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derby Unitex Ltd,45352,5640,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Experian Limited,45370,5623.18,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Arthur J Gallagher,45376,5600,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,45364,5589.0599999999995,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The Police and Crime Commissioner for South Yorkshire,45359,5572.63,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Attenborough Doors Ltd,45377,5569,Repairs & Maintenance - Mechanical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,UK Telematics Ltd,45369,5512.95,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Adecco UK Ltd,45377,5435.540000000001,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,City Signs Print & Design Ltd,45362,5341,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,City Signs Print & Design Ltd,45366,5341,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,45377,5319.79,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,St. John Ambulance,45376,5222,Equipment General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Eagle Security Systems Ltd,45358,5178,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mehler Vario System GmbH,45370,5135.8,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Westbury Industrial Supplies Ltd,45379,5048.5,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Crown Gas and Power Ltd,45372,5045.57,Gas,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cellnex Driving Telecom Connectivity,45358,5025,Radio Equipment- Site Rental,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Treble 5 Treble 1 Limited,45362,5002.56,Subscriptions General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Quadient Finance UK Limited,45363,5000,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,45363,5000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,NSEP CIC t/a Empowering-Communities,45366,5000,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police And Crime Commissioner For Lincolnshire,45376,4929.99,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,45372,4926.3,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,EDF Energy 1 Limited,45355,4886.42,Electricity,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45372,4815.65,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police And Crime Commissioner For Lincolnshire,45376,4804.62,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SAS Water Ltd,45357,4800,Central Maintenance Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,45358,4763,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Total Hire and Sales Ltd,45363,4740,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Adecco UK Ltd,45355,4718,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Solon Security Ltd,45370,4687.2,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,United Kingdom Accreditation Service,45359,4680,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,United Kingdom Accreditation Service,45372,4680,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Orchid Cellmark Ltd,45377,4672.02,Forensic Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Pidcock and Beastall Ltd,45362,4651,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,EDF Energy 1 Limited,45359,4641.22,Electricity,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Star Traq (UK) Limited,45359,4559.67,Misc Expenditure,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,45358,4529.16,Consultants Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mike O'Dwyer Ltd,45369,4480,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Tour Construction Ltd,45372,4380,Fixture And Fittings,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,45358,4195,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,HTK Limited,45357,4171.22,Mobile Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Stobuild Limited,45382,4163,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,UK Telematics Ltd,45378,4023,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Better Times Limited,45379,3950,Engagement & Communications,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,ACS Business Supplies Ltd,45366,3944.55,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Landscapes Ltd,45376,3821.04,Grounds - Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Barclays Bank,45378,3783.77,Bank Charges,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,FI Real Estate Management Ltd,45372,3632.08,Electricity,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Just Print (UK) Ltd trading as JP-UK,45378,3539.9,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,West Yorkshire Police,45379,3535.11,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,West Yorkshire Police,45379,3535.11,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,West Yorkshire Police,45377,3534.66,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Lexica Health and Life Sciences Consultancy Limited,45370,3515,Consultants Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Veolia Environmental Services (UK),45376,3492.5,Trade Waste Collection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,West Yorkshire Police,45379,3479.31,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Tour Construction Ltd,45373,3448,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Adecco UK Ltd,45368,3378.19,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Neuropath Ltd,45365,3350,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,45366,3331.5,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,45363,3325,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Veolia Environmental Services (UK),45376,3314.1,Trade Waste Collection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,45369,3307.48,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Tour Construction Ltd,45371,3300,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Scenesafe,45356,3287.7,Materials - Consumable,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Totaljobs Group Limited,45362,3240,Recruitment & Selection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Veolia Environmental Services (UK),45376,3221.9,Trade Waste Collection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Northamptonshire Police,45363,3188.17,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,45357,3147.76,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Make Consulting Limited,45376,3101.76,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Veolia Environmental Services (UK),45376,3085.17,Trade Waste Collection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Thomas Jacks Limited,45362,3085,Equipment General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,45370,3051.31,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cooper Plant Transport Limited,45377,3050,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Police and Crime Commisioner for Bedfordshire,45357,3039.76,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Unstone Parish Council,45364,3000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Ripley Town Council,45364,3000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Pilsley Parish Council,45364,3000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Make Consulting Limited,45365,3000,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,University of Leicester,45358,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Satsuma Medical Limited,45363,2991.94,Pathologists Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,45372,2968.5,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SAS Water Ltd,45357,2941.66,Central Maintenance Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,45373,2888.11,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cooper Plant Transport Limited,45377,2855,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Cleaning and Environmental Services Ltd,45363,2834.55,Vehicle Cleaning,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cambridgeshire Police & Crime Commissioner,45369,2824.23,Subscriptions General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Peter Jones (ILG) Ltd,45379,2795.25,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Adecco UK Ltd,45358,2795.12,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Allwag Promotions Ltd,45376,2790,Equipment General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Europa Electrical Limited,45356,2787.08,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,CTO Academy Limited,45362,2750,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Eagle Security Systems Ltd,45363,2745,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,45376,2738.54,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,45368,2713.58,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,45357,2701.62,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
