Body Name,Service Area Categorisation,,,,,,Category,Narrative
Police and Crime Commissioner for Derbyshire ,Police Services,The Police and Crime Commissioner for West Midlands,7176847,45547,79748,Subscriptions General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Tour Construction Ltd,7177100,45548,68681.77,Payments to Main Contractor,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176957,45544,65352.07,Vehicle Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Specialist Computer Centres plc,7177081,45551,64876.01,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Police & Crime Commissioner for Greater Manchester,7176819,45541,60873,Professional Fees,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7176909,45544,60440,Recovery of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Jupiter Construction Ltd,7176850,45544,56047.7,Payments to Main Contractor,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7176910,45544,54896,Recovery of Vehicles,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Change Grow Live Services Limited,7177121,45553,54833.75,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Simunix Ltd,7177051,45547,43200,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176683,45553,43164,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7177016,45546,34931.48,Software Maintenance,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Europa Electrical Limited,7177473,45560,33877.09,Payments to Main Contractor,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7177297,45559,33733.75,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7175376,45546,32710,Borrowed Officers,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Airwave Solutions Ltd,3068500,45545,30286.45,Emergency Service Network (ESN),C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Airwave Solutions Ltd,3068591,45562,30036.89,Emergency Service Network (ESN),C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Willmott Dixon Construction Ltd,7177278,45558,29703,Equipment - General,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7177384,45558,29055.719999999998,Unreported Vehicle Damage (recharge),C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7176577,45544,27520.13,Borrowed Officers,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Derby City Mission,7176617,45541,26981.13,PCC Grants and/or Commissioned Services,C,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category C
Police and Crime Commissioner for Derbyshire ,Police Services,Airwave Solutions Ltd,7177070,45552,25000,Consultants Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7176553,45544,24782.44,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7176745,45547,1353,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7176745,45547,16856.5,Vehicle Recovery - Scrapped,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Burrows Recovery Limited,7176745,45547,6348,Vehicle Recovery - Auctioned,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Safelives,7176893,45545,23413,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7177092,45558,23393.4,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176750,45539,23037.88,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Sonic Communications International Ltd,7176970,45554,22875,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7176674,45538,3015,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7176674,45538,11302,Vehicle Recovery - Scrapped,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Richford Motor Services Limited,7176674,45538,8242,Vehicle Recovery - Auctioned,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,High Peak Borough Council,7176068,45548,22376.21,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,High Peak Borough Council,7176067,45539,22376.21,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Safelives,7175987,45540,22152.5,Partnerships,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176884,45544,21825.42,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176886,45547,21715.86,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7176932,45544,21116.76,Software Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Rural Action Derbyshire,7176552,45539,20000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Honeycomb Charitable Services T/A GLOW,7176938,45548,18776.92,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,BKS (Made to Measure) Ltd,7176788,45541,18551.6,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176528,45547,18377.019999999997,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Power Control Ltd (PCL),7177174,45553,18098,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7177243,45555,18077.95,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,LA International Computer Consultants Ltd,7176574,45544,17553.2,Agency Staff,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cintra Limited,7176871,45541,16402.88,Interpreters,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Apec Systems Limited,7176609,45540,15701.25,Equipment General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Eagle Security Systems Ltd,7177175,45553,15552.6,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Worcestershire Medal Service Limited,7177005,45551,15483.5,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Chesterfield Borough Council,7177249,45554,15393.22,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Barclaycard,9035988,45545,15262.4,Misc Expenditure,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Goodyear Dunlop Tyres Ltd,7176744,45539,15222.23,Tyres,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,North East Derbyshire District Council,7177247,45554,14579.51,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7177485,45561,14348.84,Circuits,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cintra Limited,7176869,45541,14335.98,Interpreters,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176755,45539,14147.48,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176527,45547,13908.470000000001,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Stuart Mitchell Pension Fund,7177122,45551,13500,Rents General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cooper Plant Transport Limited,7176511,45558,13148,Repair & Maintenance - Buildings.,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,PS Administration Limited T/A XPS Administration,7176187,45565,12922.83,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,PS Administration Limited T/A XPS Administration,7176776,45565,12922.83,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Overton Electrical Services Limited,7176485,45547,12755.44,Buildings - Fire Precaution Work,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Deafinitely Women,7177184,45558,12500,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Supporting Victims of Sexual Violence Ltd,7176692,45551,12500,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SoftwareONE UK Ltd,7176682,45538,12467.06,Productivity Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,BT Payment Services Ltd,7177038,45547,12275.1,Circuits,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Castle Water Limited,7175922,45545,12112.47,Water Charges,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mehler Vario System GmbH,7177331,45559,12101.1,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Castle Water Limited,7176919,45545,11760.47,Water Charges,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7177295,45559,11662.58,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Power Control Ltd (PCL),7176694,45565,11600,Repairs & Maintenance - Electrical,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Softcat Ltd,7176079,45541,11483,Medical Statements,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Telefonica O2 UK Limited,7177177,45553,11462.64,Mobile Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Overton Electrical Services Limited,7176648,45537,11119,Buildings - Fire Precaution Work,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Erewash Borough Council,7177251,45554,10766.88,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Total Gas & Power Limited,7177398,45559,10252.73,Gas,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7177054,45547,10165,Recovery of Vehicles,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,HealthPartners Group Ltd,7176649,45552,10158,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7177517,45561,9791.42,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,7177248,45555,9559.95,Recruitment & Selection,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Mitie Landscapes Ltd,7176537,45544,9544.33,Grounds - Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Softcat Ltd,7177049,45546,9188.35,Medical Statements,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Gallagher Bassett,7177439,45561,8640,Insurances,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,7177422,45561,8364.36,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Supporting Victims of Sexual Violence Ltd,7176719,45548,8325.58,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,7177250,45554,8316,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Primetake Ltd,7177010,45552,8214,Firearms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Apec Systems Limited,7176607,45540,8127.5,Equipment General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,LexisNexis Butterworths,7176793,45545,7848.75,Subscriptions General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Make Consulting Limited,7177023,45559,7794.4,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Experian Limited,7176665,45537,7585.23,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Rapid Secure Limited,7176301,45541,7005,Boarding-Up Premises,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Clarity Travel Limited,7176636,45537,6963.3,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,2bm Limited,7176661,45541,6960,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176691,45538,6878.2,Insurance X/S,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Derbyshire County Council,7176585,45537,6761.72,Unreported Vehicle Damage (recharge),B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,DYSE Ltd,7176738,45539,6739.31,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,7177207,45558,6691.3,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Make Consulting Limited,7177021,45547,6618.75,Professional Fees,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7177274,45555,6506.35,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Nottinghamshire Office of the Police & Crime Commissioner,7174626,45548,6329.04,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7177152,45561,6032.09,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Royal Mail Group Ltd,7176708,45538,6018.67,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,7177421,45560,5921.3,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,AMP Clean Energy,7176578,45558,5852,Bio Mass Boiler,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,UK Telematics Ltd,7177201,45552,5728.37,Vehicle Equipment,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Cubic Transportation Systems (ITMS) Limited,7177233,45561,5633.98,Equipment - Maintenance,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Government Security Group Cabinet Office,7175518,45552,5500,Equipment - General,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Abbott Toxicology Ltd,7176598,45541,5499.19,Other Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Insight Direct (UK) Limited,7176436,45545,5143.46,Hardware Purchase,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,SBI TacPro Limited,7177209,45565,5093.76,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,The OPCC for Leicestershire,7177273,45555,5019.35,Borrowed Officers,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Quadient Finance UK Limited,3068517,45548,5000,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Remedi-Restorative Services,7177301,45559,5000,PCC Grants and/or Commissioned Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Quadient Finance UK Limited,3068593,45562,5000,Postages,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7177053,45547,866,Recovery of Vehicles,A,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category A
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7177053,45547,3085.5,Vehicle Recovery - Scrapped,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,D S West Motors,7177053,45547,1014,Vehicle Recovery - Auctioned,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,College of Policing,7176939,45565,4950,Training - External Courses / Seminars,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Abbott Toxicology Ltd,7177597,45565,4942.31,Other Services,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Tailored Image,7176593,45537,4793.3,Uniforms,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,EDF Energy 1 Limited,7176962,45545,4763.67,Electricity,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Clarity Travel Limited,7177171,45552,4705.92,Financial Contracts,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
Police and Crime Commissioner for Derbyshire ,Police Services,Child Action Northwest,7177424,45561,4650.9,Appropriate Adult Service,B,The Commissioner & Chief Constable are satisfied the spend represents VFM in accordance with the requirements of Category B
