BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham Advocacy Partnerships,Supporting Minorities & Communities,10636960,45030,782.2
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham Advocacy Partnerships,Supporting Minorities & Communities,10653637,45030,903
Rotherham Metropolitan Borough Council,Regeneration & Environment,Citron Hygiene Uk Limited,Health And Hygiene Equipment,10880744,45035,741.04
Rotherham Metropolitan Borough Council,Regeneration & Environment,Roadway Uk (Tm) Ltd,Road Markings And Traffic Management,11182318,45049,884.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,Roadway Uk (Tm) Ltd,Road Markings And Traffic Management,11250957,45044,6545.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,Roadway Uk (Tm) Ltd,Road Markings And Traffic Management,11250969,45044,42.64
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham Advocacy Partnerships,Supporting Minorities & Communities,11270079,45030,273
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham Advocacy Partnerships,Supporting Minorities & Communities,11270163,45030,154
Rotherham Metropolitan Borough Council,Regeneration & Environment,Roadway Uk (Tm) Ltd,Road Markings And Traffic Management,11281180,45049,564.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Roadway Uk (Tm) Ltd,Road Markings And Traffic Management,11281180,45049,4551.82
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Fire Alarm Maintenance Or Monitoring,11318723,45041,142
Rotherham Metropolitan Borough Council,Regeneration & Environment,Roadway Uk (Tm) Ltd,Road Markings And Traffic Management,11337716,45044,3874.91
Rotherham Metropolitan Borough Council,Regeneration & Environment,Roadway Uk (Tm) Ltd,Road Markings And Traffic Management,11367354,45049,655.59
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Water Plus Ltd,Water Services,11379232,45048,-497.48
Rotherham Metropolitan Borough Council,Finance & Customer Services,Jane Wheatley,Legal Services,11381701,45033,500
Rotherham Metropolitan Borough Council,Finance & Customer Services,Jessica Southcote-Want,Legal Services,11381702,45033,500
Rotherham Metropolitan Borough Council,Adult Care & Housing,Brinsworth Boarding Kennels,Animal & Pet Supplies,11398838,45027,660
Rotherham Metropolitan Borough Council,Regeneration & Environment,Roadway Uk (Tm) Ltd,Road Markings And Traffic Management,11401961,45044,1726.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,Police And Crime Commissioner For South,Road Markings And Traffic Management,11405057,45034,28385
Rotherham Metropolitan Borough Council,Adult Care & Housing,Brinsworth Boarding Kennels,Animal & Pet Supplies,11426249,45027,682
Rotherham Metropolitan Borough Council,Regeneration & Environment,Subsite Surveys Ltd,Aerial And Ground Surveys,11433217,45037,645
Rotherham Metropolitan Borough Council,Regeneration & Environment,Acorn Industrial Services Ltd,Ppe Tools And Janitorial Supplies,11440832,45042,545
Rotherham Metropolitan Borough Council,Finance & Customer Services,Virgin Media Business,Telecomms,11445797,45030,-1746.57
Rotherham Metropolitan Borough Council,Finance & Customer Services,Virgin Media Business,Telecomms,11448081,45030,85
Rotherham Metropolitan Borough Council,Regeneration & Environment,Virgin Media Business,Telecomms,11448082,45030,85
Rotherham Metropolitan Borough Council,Regeneration & Environment,Fred Camm Recovery Ltd,Transport Services,11449492,45036,80
Rotherham Metropolitan Borough Council,Regeneration & Environment,Fred Camm Recovery Ltd,Transport Services,11449493,45036,89.4
Rotherham Metropolitan Borough Council,Finance & Customer Services,Virgin Media Business,Telecomms,11454263,45030,81.75
Rotherham Metropolitan Borough Council,Finance & Customer Services,Virgin Media Business,Telecomms,11454284,45030,40
