BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Central Services,Environment Agency,Licence & Professional Fees,11534832,45281,30286.82
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Mayoral,Levy Charges Or Fees,11534849,45278,865344.53
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Pensions,Levy Charges Or Fees,11535633,45275,5203
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Alarm Maintenance,11562370,45275,150
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11615770,45268,1222.07
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11622197,45268,963.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Door Entry System Installation,11646435,45275,333.21
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11647638,45274,221.03
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11651525,45273,512.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11658413,45273,511.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Insight Direct (Uk) Ltd,Technology,11659709,45279,315.97
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Insight Direct (Uk) Ltd,Technology,11659731,45279,315.97
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Insight Direct (Uk) Ltd,Technology,11659733,45279,315.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11669284,45278,850
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11678717,45273,594.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Button Training Ltd,Training Services,11693332,45278,1110.18
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11696298,45273,542.5
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Rogers Geotechnical Services Ltd,Consultancy,11705277,45272,1095
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Rogers Geotechnical Services Ltd,Consultancy,11705278,45272,1095
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11708014,45288,91.3
Rotherham Metropolitan Borough Council,Regeneration & Environment,Pell Frischmann Consultants Ltd,Consultancy,11711429,45279,29566.66
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ustigate Limited,Repair And Maintenance,11711592,45288,5735
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Iansyst Ltd,Training Services,11711856,45271,806
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11712087,45273,404.75
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Providence Maintenance & Electrical,Repair And Maintenance,11713343,45287,121
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11718231,45272,8722
Rotherham Metropolitan Borough Council,Regeneration & Environment,Clearance And Clean Up Ltd,Waste Disposal Inc Skip Hire,11718395,45278,450
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11720786,45274,1149
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11721974,45272,8822.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11722826,45281,320
Rotherham Metropolitan Borough Council,Central Services,Softcat Ltd,Technology,11722926,45268,1766.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Tersus Consultancy Ltd,Surveyors Architects & Auctions,11724081,45268,495
Rotherham Metropolitan Borough Council,Regeneration & Environment,Remap Surveys Limited,Surveyors Architects & Auctions,11724124,45271,675
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11724316,45266,729.37
Rotherham Metropolitan Borough Council,Regeneration & Environment,Hako Machines Ltd,Plant Hire,11727569,45271,920.39
Rotherham Metropolitan Borough Council,Regeneration & Environment,Oakley Fencing Contractors Ltd,Landscaping,11727785,45282,5000
Rotherham Metropolitan Borough Council,Regeneration & Environment,Nhs Property Services Ltd,Rent Lease & Property Management,11727835,45268,-665.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,Nhs Property Services Ltd,Rent Lease & Property Management,11727836,45268,-551.61
Rotherham Metropolitan Borough Council,Regeneration & Environment,Nhs Property Services Ltd,Rent Lease & Property Management,11727837,45268,-13750.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,Nhs Property Services Ltd,Rent Lease & Property Management,11727838,45268,-10620.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11727942,45271,328.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11728387,45268,1600
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11728417,45287,420
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11728419,45287,1100
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11729083,45278,393.27
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11729293,45272,10518.91
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cromwell Polythene Ltd,Waste Disposal Inc Skip Hire,11730744,45271,427.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11732981,45271,290
Rotherham Metropolitan Borough Council,Finance & Customer Services,Softcat Ltd,Technology,11733009,45272,1406.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11733066,45268,2887.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11734290,45287,699
Rotherham Metropolitan Borough Council,Regeneration & Environment,Tersus Consultancy Ltd,Surveyors Architects & Auctions,11734466,45268,495
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cromwell Polythene Ltd,Waste Disposal Inc Skip Hire,11734843,45274,900
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cromwell Polythene Ltd,Waste Disposal Inc Skip Hire,11734843,45274,900
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cromwell Polythene Ltd,Waste Disposal Inc Skip Hire,11734843,45274,900
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11735118,45266,418.3
Rotherham Metropolitan Borough Council,Regeneration & Environment,N E Truck Spares Ltd,Transport Operations And Logistics,11735119,45266,7041.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11735677,45282,1784.52
Rotherham Metropolitan Borough Council,Regeneration & Environment,Yorkshire Purchasing Organisation,Food And Drink,11735732,45266,84.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11735938,45268,2887.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11735990,45271,167
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11736823,45266,115.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11736909,45266,58.55
Rotherham Metropolitan Borough Council,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11736912,45281,1018.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11736912,45281,-228.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11737107,45268,2887.08
